Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Ensono-Ernesto,1668446523290,1,19399,19399,166645,0.125,0,1,1,2,1,SUCCESS,19399,OPEN,8zBEAp0-S5yGbcZvytGZGQ
ferrite,1668446506754,1,19868,19868,176993,0.375,0,3,3,2,2,SUCCESS,19868,OPEN,SRAgn9lMTCmIjaBREP7hxA
Joffe,1668435942991,1,20138,20138,163194,0.5714285714285714,1,3,4,2,3,SUCCESS,20138,OPEN,ce17e3bfe82649448e2f3w
JPMC-MUMBAI-FormulaAI,1668446509878,1,20270,20270,175484,1.0,5,2,7,2,4,SUCCESS,20270,OPEN,Gx2StgEoSza3Gxxo4Oghug
JPMC-BA-D3,1668446544815,1,20594,20594,178595,2.1666666666666665,7,6,13,2,5,SUCCESS,20594,OPEN,Fy8bvUIzSN-N-e3D74JhPw
JPMC-Singapore-FalsePositives,1668446587276,1,20668,20668,165124,3.0,6,8,15,2,6,SUCCESS,20668,OPEN,zKdKXknwQVCObGdEgutObQ
S-P-,1668431263588,1,20867,20867,156062,1.3333333333333333,1,7,8,2,7,SUCCESS,20867,OPEN,MxT5p4ZvSTOcc6ANa8VZNg
nero-DNPds,1668446556207,1,22259,22259,179790,2.0,6,6,12,2,8,SUCCESS,22259,OPEN,fdqnbHDPSbKcnf8kE5xuMQ
JPMC-HYD-CircuitBreakers,1668446518762,1,22340,22340,164590,1.0,4,2,6,2,9,SUCCESS,22340,OPEN,5Z9lAFNASzesOzD7FFfSHw
TimC,1668437650445,1,22659,22659,176100,1.5714285714285714,2,9,11,1,10,SUCCESS,22659,OPEN,5uT4nmOrSdWr814lPIdrGg
JPMC-HYD-DEEPACERS,1668446577890,1,24070,24070,160436,0.6666666666666666,1,3,4,2,11,SUCCESS,24070,OPEN,LJzDpiNuTFeHu9dsqp1APw
Fumiaki,1668446669865,1,24135,24135,156016,4.5,18,0,18,2,12,SUCCESS,24135,OPEN,5RzBNYRAQoWVausi3eyhRg
DaVinciDriver,1668426654409,1,27197,27197,146809,1.4,7,0,7,2,13,SUCCESS,27197,OPEN,XtzXYz2pRByDnXz90XNGSw
barkingdog,1668436922577,1,29038,29038,143243,1.75,1,6,7,2,14,SUCCESS,29038,OPEN,b3960b6c6f58458880ceew
Off-track,1668382607399,1,29458,29458,129325,10.5,19,2,21,2,15,SUCCESS,29458,OPEN,1R021ZoDQrqxSUiHfBvyEw
Bort,1668446650734,1,54329,54329,169260,9.333333333333334,12,16,28,2,16,SUCCESS,54329,OPEN,ja9G8Oc5R82GvO0xrE7OHg
