Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
CodeMachine,1654090735565,3,22574,21856,67724,0.0,0,0,0,1,1,SUCCESS,67724,OPEN,b_WzN_r8ToGPle_8bl2tMA
bsimonson,1654546753750,3,26042,25270,78128,0.0,0,0,0,35,2,SUCCESS,78128,OPEN,ypQ8SKQzQTOn1WsRHiJO-Q
josenk,1654042304003,3,26109,19871,78327,2.6666666666666665,0,8,8,1,3,SUCCESS,78327,OPEN,vSDg00EqSlKWFM_fJGWMjw
QualityPoint#3685,1654364411932,3,27229,25363,81689,0.6666666666666666,0,2,2,7,4,SUCCESS,81689,OPEN,KzgwQqDpSfOxLpn9Ltu0ig
TechnicalSandbox#8126,1654432251902,3,27357,24931,82073,0.6666666666666666,0,2,2,8,5,SUCCESS,82073,OPEN,P9wKcCLTQL2gSYHq94Ve7w
bsimonson-temp,1654279420502,3,27845,27400,83536,0.0,0,0,0,14,6,SUCCESS,83536,OPEN,1b91Aod3SROT0SRaRJxSFg
JPChoi,1654617369791,3,27863,25536,83589,0.3333333333333333,0,1,1,29,7,SUCCESS,83589,OPEN,ves3AMsbTryiYB3liVshLQ
AgileTag#8061,1654222468663,3,27954,23407,83864,2.3333333333333335,0,7,7,23,8,SUCCESS,83864,OPEN,VnDBpHPbQGCT7cQSVVSUWw
Rivindu,1654206266867,3,28333,23466,85000,2.3333333333333335,0,7,7,16,9,SUCCESS,85000,OPEN,lJKK4F-WQRW4Jsh947qOXw
IVaibhavMalpani,1654498690837,3,28690,26466,86072,0.6666666666666666,0,2,2,10,10,SUCCESS,86072,OPEN,_FYdDXAnQEm7GFNTfKEWUA
FunctionalHypothesis#1248,1654197652905,3,28871,27680,86614,1.3333333333333333,0,4,4,2,11,SUCCESS,86614,OPEN,6BHTXVzzRSKkWa4XoSZ-lA
Warbatron,1654618699061,3,29083,27857,87250,0.3333333333333333,0,1,1,9,12,SUCCESS,87250,OPEN,t-YUoAvFQdumRczb-WinWA
ProcessingUpgrade#4109,1654473104862,3,29396,27000,88190,2.6666666666666665,0,8,8,7,13,SUCCESS,88190,OPEN,uaBEz8DMTmuBb3YY6rOKMA
TryRandomHacksUntilItWorks,1654377258696,3,29487,27937,88462,0.6666666666666666,0,2,2,11,14,SUCCESS,88462,OPEN,ceGxaWqKTa6Ncd9aT1-_cw
ProgrammingString#9443,1654230956500,3,30308,27661,90926,0.6666666666666666,0,2,2,15,15,SUCCESS,90926,OPEN,mMlYlsZVR3aJMkctMW_8XQ
YuriiLykhitskyi,1654344591426,3,30419,28263,91258,1.6666666666666667,0,5,5,17,16,SUCCESS,91258,OPEN,yBzORUheRPua7BfczqMLVQ
DerWalrus,1654210021103,3,30551,30326,91654,0.0,0,0,0,15,17,SUCCESS,91654,OPEN,53eg7VgvS6Kz_X0pCrGlcg
PrototypeSequence#2073,1654107994037,3,30665,26525,91996,1.0,0,3,3,16,18,SUCCESS,91996,OPEN,lb4QGgKYSfOOUIgrL08FqA
Recep-Emir-SINAN,1654172499520,3,30681,30334,92045,0.0,0,0,0,1,19,SUCCESS,92045,OPEN,JtfYRkyaQGe6F90eyDO-jw
UnicodeComment#1967,1654257921600,3,30843,27929,92531,4.0,0,12,12,9,20,SUCCESS,92531,OPEN,TsKQnEEOSa-3FEdWmjhwnQ
RuffRacer,1654586678621,3,30976,26000,92928,1.3333333333333333,0,4,4,29,21,SUCCESS,92928,OPEN,U4yP4AMSSDCdZXKaPH2dYg
Racer1911,1654165208500,3,31308,30461,93924,0.0,0,0,0,3,22,SUCCESS,93924,OPEN,4WgpazINRpS1KD3yKMjkrA
OakleyRacer,1654191343201,3,31487,28067,94462,2.0,0,6,6,37,23,SUCCESS,94462,OPEN,k0dh9m_vR76HksRN0MDNPQ
Hajishirzi-Hotshots,1654566393197,3,31683,26528,95051,1.3333333333333333,0,4,4,20,24,SUCCESS,95051,OPEN,S4ZqXHHpQ_S7SuiY-ufYDQ
