Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Version-Infinite,1656188027412,3,13664,13336,40994,0.0,0,0,0,2846,1,SUCCESS,40994,OPEN,N5Bzb-oJTAup8q3QAYGZww
Tomorrowland-Speedway,1656552536260,3,15277,14859,45832,0.0,0,0,0,1324,2,SUCCESS,45832,OPEN,AuyCOezGRKOT-zoMo85Ekg
JPMC-Delaware-NightFury,1655688576666,3,16485,16268,49455,0.0,0,0,0,58,3,SUCCESS,49455,OPEN,wy53ZYAOTBeVC6RrlU2gzg
MavFung,1656471223148,3,16732,15793,50197,0.3333333333333333,0,1,1,1742,4,SUCCESS,50197,OPEN,mzaaWUl8QAiWL0N1YA4lVA
JPMC-MUMBAI-FormulaAI,1655925161425,3,18285,17937,54856,0.0,0,0,0,20,5,SUCCESS,54856,OPEN,Gx2StgEoSza3Gxxo4Oghug
CodeMachine,1656224482980,3,18904,18519,56713,0.0,0,0,0,74,6,SUCCESS,56713,OPEN,b_WzN_r8ToGPle_8bl2tMA
JPMC-RacingRhino,1656416336598,3,19506,19318,58520,0.0,0,0,0,345,7,SUCCESS,58520,OPEN,3b8cUKuuQfOWQgfjZSeVFw
Wingism,1655910339752,3,19839,19536,59519,0.0,0,0,0,2,8,SUCCESS,59519,OPEN,Spey2yUETeKA1doS2t-McQ
IterativeLambda#6270,1656598163532,3,20755,19999,62266,1.0,0,3,3,3,9,SUCCESS,62266,OPEN,vDoPLhA8SNOAaIj1lTk7fQ
Moonlauncher,1656006077981,3,20929,20855,62789,0.0,0,0,0,22,10,SUCCESS,62789,OPEN,7qUn2luhRB2DelWsfwLMKA
NekoKart-Platium,1656437760744,3,21153,21004,63460,0.0,0,0,0,196,11,SUCCESS,63460,OPEN,XLUm_PwpR9STCSh9riGWsA
JPMC-BLR-TeamRocket,1655926953725,3,22018,21398,66055,0.0,0,0,0,135,12,SUCCESS,66055,OPEN,862178ae6d6947ff88c95Q
Provectus-LB,1656099810019,3,22065,21668,66195,0.0,0,0,0,60,13,SUCCESS,66195,OPEN,4d577caab472441c88a5ew
Lars,1656609359558,3,22441,21335,67325,0.0,0,0,0,100,14,SUCCESS,67325,OPEN,d96cf1914bc54f3791b13w
Megal0man,1655718397560,3,23084,22870,69253,0.0,0,0,0,40,15,SUCCESS,69253,OPEN,jBOixZg5ROyBmCBSYg8a-Q
marco-teixeira,1656068921371,3,23619,20720,70857,0.6666666666666666,0,2,2,2,16,SUCCESS,70857,OPEN,geOD8YoYTZS17VwC_Pe1dg
beSharp,1656502549283,3,23977,23531,71931,0.0,0,0,0,32,17,SUCCESS,71931,OPEN,e-Kz-OYWR7yIsGkVksS3bA
TryRandomHacksUntilItWorks,1655611815500,3,23999,23668,71997,0.0,0,0,0,13,18,SUCCESS,71997,OPEN,ceGxaWqKTa6Ncd9aT1-_cw
ai,1656019504055,3,24020,23397,72060,0.0,0,0,0,18,19,SUCCESS,72060,OPEN,NFW3CZ9XRja1zi5nfhxcDA
TechnicalSpec#4276,1656432326741,3,24088,20941,72264,2.0,0,6,6,1,20,SUCCESS,72264,OPEN,2D_5gL9GQcSYOzxD4HmZOQ
QualityPoint#3685,1654708746517,3,24509,22862,73527,0.3333333333333333,0,1,1,19,21,SUCCESS,73527,OPEN,KzgwQqDpSfOxLpn9Ltu0ig
andyd,1655531742835,3,24575,22994,73725,0.6666666666666666,0,2,2,22,22,SUCCESS,73725,OPEN,8EHC6R6TSVCSB7BZNXRQBw
TheRealDaryl,1655469237437,3,24907,22528,74721,0.3333333333333333,0,1,1,31,23,SUCCESS,74721,OPEN,BZq_DXI2RMCThilbXUmKRA
IVaibhavMalpani,1654773452923,3,25286,23135,75859,0.6666666666666666,0,2,2,33,24,SUCCESS,75859,OPEN,_FYdDXAnQEm7GFNTfKEWUA
technopro#osamuyoshi,1655768760002,3,25310,23935,75930,0.3333333333333333,0,1,1,1,25,SUCCESS,75930,OPEN,vP7z3m8SS_mV-uvnaFPDpQ
Polaris-DNPds,1655964164129,3,25542,22127,76628,1.0,0,3,3,2,26,SUCCESS,76628,OPEN,2617874c942840f0a2fdbQ
IVECloud-student1,1655386549463,3,25619,24733,76858,0.0,0,0,0,81,27,SUCCESS,76858,OPEN,E9jZ0FDEQD67_xN9n6NkRQ
Dorifuto-kingu,1656531998104,3,25647,21073,76941,1.0,0,3,3,20,28,SUCCESS,76941,OPEN,fL6eB2hdRPqJ_3fgVGL2gg
IceManNCSU,1656613966948,3,25864,25335,77592,0.0,0,0,0,31,29,SUCCESS,77592,OPEN,3a7d947b99fb49f682909Q
InteractiveByte#2406,1656622449792,3,25930,23464,77791,0.6666666666666666,0,2,2,15,30,SUCCESS,77791,OPEN,dipuLfqKQma9lerxfW-yVA
HashableSemicolon#3665,1655913558810,3,25997,25524,77991,0.0,0,0,0,3,31,SUCCESS,77991,OPEN,3I2S3aBnTNGMyt4VUiPEyg
bsimonson,1654698187708,3,26019,24934,78059,0.0,0,0,0,45,32,SUCCESS,78059,OPEN,ypQ8SKQzQTOn1WsRHiJO-Q
BigDaddyDo,1656552063132,3,26085,25534,78257,0.0,0,0,0,8,33,SUCCESS,78257,OPEN,rhaj8Xu0Tu2OqouyGTDPpg
WorkTheMan2,1655263091513,3,26086,21726,78259,1.3333333333333333,0,4,4,8,34,SUCCESS,78259,OPEN,HpW6r0PNTd6kaw1O2pxKmg
josenk,1654042304003,3,26109,19871,78327,2.6666666666666665,0,8,8,1,35,SUCCESS,78327,OPEN,vSDg00EqSlKWFM_fJGWMjw
FluctuatingRewards,1655411901066,3,26337,25676,79012,1.0,0,3,3,33,36,SUCCESS,79012,OPEN,W2Mren9HTy2OoPjycL-G6g
BryanCheung,1655825273909,3,26485,25394,79457,0.3333333333333333,0,1,1,67,37,SUCCESS,79457,OPEN,P-ytH6NIRtaNHpNAH1CokQ
