Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Jochem,1617266161151,3,30350,27428,91052,0.6666666666666666,0,2,2,40,1,SUCCESS,91052,PRO,RBPhZc5eTVmEF_gpSV7skg
AJM-Model-1,1617255710413,3,37347,32694,112042,1.6666666666666667,1,4,5,6,2,SUCCESS,112042,PRO,gdsU9bkGRWW7LTEHP4rGgQ
atnmn,1617256926354,3,39945,33815,119835,2.0,1,5,6,44,3,SUCCESS,119835,PRO,b3960b6c6f58458880cee615ce806578
PolishThunder,1617263569418,3,40869,23599,122609,3.0,3,6,9,76,4,SUCCESS,122609,PRO,qi512oGVTry8V-KtP6j2_w
Joffe,1617261848569,3,42500,35659,127502,3.0,5,4,9,1,5,SUCCESS,127502,PRO,ce17e3bfe82649448e2f37c9df58affe
think,1617264826061,3,47879,44392,143637,3.6666666666666665,5,6,11,25,6,SUCCESS,143637,PRO,IHHC4YftQLaMAs0VyXFJzw
Rober,1617269656269,3,50700,39979,152102,4.0,5,7,12,0,7,SUCCESS,152102,PRO,KrRSYhzKTfONjRaDUc_ubQ
kimwooglae,1617271926378,3,51866,44230,155600,4.333333333333333,7,6,13,31,8,SUCCESS,155600,PRO,bOqKo-ebR_essdUaZVGO4Q
gill-bates,1617273897102,3,54106,49948,162318,2.6666666666666665,6,2,8,4,9,SUCCESS,162318,PRO,Ag9c1d4dQlGCDwdmo5SWhA
drunken-monkey,1617274419243,3,54318,50627,162954,2.3333333333333335,1,6,7,1,10,SUCCESS,162954,PRO,c7a82cb998e44f9abd469e974352461d
ABaykov,1617248589635,3,54530,46188,163590,4.666666666666667,3,11,14,1,11,SUCCESS,163590,PRO,aa28j7SWTd-LxMzvFoj_bA
Maikel,1617243526670,3,54709,40572,164129,5.333333333333333,5,11,16,4,12,SUCCESS,164129,PRO,FeKoIRn0Tsa6tACAWZ_2gw
RobinCastro-DBS,1617247804700,3,58502,41965,175507,6.0,6,12,18,1,13,SUCCESS,175507,PRO,7KrbyQXvTBOxnBa0p9YuUA
BoogieTimeProductions,1617258463886,3,61253,54194,183761,4.333333333333333,3,10,13,12,14,SUCCESS,183761,PRO,MUyQlFafT0yFhQr1sApn9Q
Karl-NAB,1617265559756,3,61268,51608,183806,6.666666666666667,5,15,20,0,15,SUCCESS,183806,PRO,4vOOxLIsSjeL2WFaO5o_fQ
nikhilkala,1617256981434,3,61325,49097,183977,3.0,1,8,9,8,16,SUCCESS,183977,PRO,UKO4WitGQRSkSrTqa8ZAIA
DBro,1617266489294,3,61456,52343,184370,6.666666666666667,2,18,20,0,17,SUCCESS,184370,PRO,jEkEOpjZRhGUbyDZIfTo_A
Mentaiko-DevelopersIO,1617272604227,3,61885,45024,185656,7.0,2,19,21,20,18,SUCCESS,185656,PRO,Wt5C8BPAS0OPlzY3-txb-w
S-P-,1617244840928,3,63331,61513,189994,5.333333333333333,10,6,16,1,19,SUCCESS,189994,PRO,MxT5p4ZvSTOcc6ANa8VZNg
Wasabi-DevelopersIO,1617275440243,3,65347,58743,196042,5.0,5,10,15,7,20,SUCCESS,196042,PRO,Fmb5j9UgQ_2xkleK0vwXOg
rosscomp1,1617242990749,3,65617,55837,196851,6.666666666666667,3,17,20,1,21,SUCCESS,196851,PRO,fb0d597a87f94697aa1c68be9366a74f
Fumiaki,1617274273530,3,67031,57878,201093,7.666666666666667,3,20,23,0,22,SUCCESS,201093,PRO,5RzBNYRAQoWVausi3eyhRg
mayurmadnani,1617247547765,3,67068,61533,201205,5.0,2,13,15,0,23,SUCCESS,201205,PRO,hr8K12KMRhSIDUEJbQT8fg
js4064,1617256397484,3,74542,66388,223627,6.333333333333333,2,17,19,1,24,SUCCESS,223627,PRO,SvmB2LCoT5aKic4BfFdX0w
Jerec,1617245630470,3,78272,69607,234816,9.666666666666666,5,24,29,0,25,SUCCESS,234816,PRO,RH6ep-5mRmmVLqHClba8_Q
nalbam-me,1617268105618,3,134382,111790,403148,19.333333333333332,3,55,58,0,26,SUCCESS,403148,PRO,PnRru4vBRkeyT4xX6LOCtw
tony,1617242642962,3,138724,131155,416172,9.666666666666666,2,26,29,0,27,SUCCESS,416172,PRO,n6J-gyvRRx-CldbnyhRhEw
kbdyd,1617272060545,3,145289,136062,435867,21.666666666666668,1,64,65,0,28,SUCCESS,435867,PRO,L5SehNBuRi2u6fKQ2fiB9g
Anser,1617246496395,3,184903,184427,554711,28.0,3,81,84,1,29,SUCCESS,554711,PRO,JYzSEWNETBGuudH_UDQx7Q
