Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1619612647587,3,19034,18652,57102,0.0,0,0,0,3771,1,SUCCESS,57102,PRO,afdcX_4vRH6Ussd0mbg5LQ
Karl-NAB,1619743309716,3,19172,18977,57516,0.0,0,0,0,4006,2,SUCCESS,57516,PRO,4vOOxLIsSjeL2WFaO5o_fQ
JPMC-RogerRabbit-Houston,1619296086249,3,19358,18789,58075,0.0,0,0,0,2934,3,SUCCESS,58075,PRO,DXXOncNRR1iiqhBvpPO-_A
flatearth,1619802725937,3,20244,19818,60734,0.0,0,0,0,230,4,SUCCESS,60734,PRO,9e3a9607a4e04ba2b1a49w
dartjason,1618443544101,3,20967,20129,62903,0.0,0,0,0,1971,5,SUCCESS,62903,PRO,JSflDq5rQgKEuA5Ots4kDQ
JPMC-DriftKing-Houston,1618414749038,3,21037,20901,63111,0.0,0,0,0,154,6,SUCCESS,63111,PRO,fngewpiZSZm11yX7YgwnMA
Ensono-Ernesto,1619785682797,3,21530,20997,64592,0.0,0,0,0,2819,7,SUCCESS,64592,PRO,8zBEAp0-S5yGbcZvytGZGQ
PolishThunder,1619465854666,3,21575,21335,64727,0.0,0,0,0,6708,8,SUCCESS,64727,PRO,qi512oGVTry8V-KtP6j2_w
Duckworth,1619354768768,3,21589,21262,64768,0.0,0,0,0,2639,9,SUCCESS,64768,PRO,VIu9BQ4-Th6gUqu60ztwUQ
AJM-Model-1,1619207714453,3,21890,21677,65672,0.0,0,0,0,0,10,SUCCESS,65672,PRO,gdsU9bkGRWW7LTEHP4rGgQ
Jochem,1619673270159,3,22092,21191,66278,0.0,0,0,0,2165,11,SUCCESS,66278,PRO,RBPhZc5eTVmEF_gpSV7skg
GT-DevelopersIO,1618827333721,3,22112,21191,66338,0.0,0,0,0,1283,12,SUCCESS,66338,PRO,8WSp4P7ZRn-jJgZLnugwkA
RobinCastro-DBS,1619705880296,3,22151,21631,66453,0.0,0,0,0,3025,13,SUCCESS,66453,PRO,7KrbyQXvTBOxnBa0p9YuUA
