Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1652290169753,3,19130,18464,57390,0.0,0,0,0,1499,1,SUCCESS,57390,PRO,afdcX_4vRH6Ussd0mbg5LQ
Jochem,1652279867791,3,21795,19596,65386,0.3333333333333333,1,0,1,2509,2,SUCCESS,65386,PRO,RBPhZc5eTVmEF_gpSV7skg
rosscomp1,1651947929597,3,22913,20540,68739,0.6666666666666666,2,0,2,2088,3,SUCCESS,68739,PRO,fb0d597a87f94697aa1c6w
CGS-Huge-Hadr0n,1652578977368,3,23241,21461,69723,0.6666666666666666,2,0,2,811,4,SUCCESS,69723,PRO,63LA0_QCQ1-fRLzXgWmAeQ
Karl-NAB,1652653606090,3,23737,19738,71213,1.0,3,0,3,1286,5,SUCCESS,71213,PRO,4vOOxLIsSjeL2WFaO5o_fQ
Doug-Racer,1652561704516,3,23844,19860,71534,1.0,1,2,3,2223,6,SUCCESS,71534,PRO,1R021ZoDQrqxSUiHfBvyEw
AIDeepRacer,1652662516023,3,23997,20536,71992,1.0,3,0,3,674,7,SUCCESS,71992,PRO,pIRbdCx6QYatgVXm2p5GbA
RobinCastro-DBS,1652052823732,3,24160,22879,72480,0.3333333333333333,0,1,1,1330,8,SUCCESS,72480,PRO,7KrbyQXvTBOxnBa0p9YuUA
TonyJ,1652670306061,3,24779,24464,74339,1.0,3,0,3,485,9,SUCCESS,74339,PRO,af962be5a4ed4c57af807w
Ensono-Ernesto,1652346003180,3,24784,21007,74353,1.0,3,0,3,1609,10,SUCCESS,74353,PRO,8zBEAp0-S5yGbcZvytGZGQ
Bandwidth-RnD,1652474523745,3,25220,22799,75661,0.6666666666666666,2,0,2,304,11,SUCCESS,75661,PRO,77V1kp1kRJCO5D4zgSrqxA
ADA,1652505868721,3,25395,21050,76187,1.3333333333333333,2,2,4,1197,12,SUCCESS,76187,PRO,KiqOhQPjTamuBXicXnKGEA
Duckworth,1652517966507,3,25916,21946,77748,1.0,3,0,3,1309,13,SUCCESS,77748,PRO,VIu9BQ4-Th6gUqu60ztwUQ
MattCamp,1652574008492,3,26040,25529,78121,1.0,3,0,3,1232,14,SUCCESS,78121,PRO,9z8BN2mkSj-Dlb_Chg_0Hw
ferrite,1652311837840,3,26473,25072,79420,1.3333333333333333,4,0,4,789,15,SUCCESS,79420,PRO,SRAgn9lMTCmIjaBREP7hxA
DaVinciDriver,1652671685802,3,26648,25267,79946,1.3333333333333333,4,0,4,1035,16,SUCCESS,79946,PRO,XtzXYz2pRByDnXz90XNGSw
JPMC-Chetak-Singapore,1652545475548,3,26814,23632,80442,1.0,3,0,3,421,17,SUCCESS,80442,PRO,LJzDpiNuTFeHu9dsqp1APw
JPMC-LONDON-HandsFree,1651790207001,3,27973,25473,83921,1.6666666666666667,4,1,5,628,18,SUCCESS,83921,PRO,DZAYqyd-Tp6eE15IopWCgQ
