Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1652290169753,3,19130,18464,57390,0.0,0,0,0,1500,1,SUCCESS,57390,PRO,afdcX_4vRH6Ussd0mbg5LQ
TonyJ,1652995445679,3,20971,20478,62914,0.0,0,0,0,4202,2,SUCCESS,62914,PRO,af962be5a4ed4c57af807w
ADA,1653954668356,3,20975,20534,62926,0.0,0,0,0,3033,3,SUCCESS,62926,PRO,KiqOhQPjTamuBXicXnKGEA
CGS-Huge-Hadr0n,1652841750262,3,21086,20802,63259,0.0,0,0,0,3536,4,SUCCESS,63259,PRO,63LA0_QCQ1-fRLzXgWmAeQ
Jochem,1652279867791,3,21795,19596,65386,0.3333333333333333,1,0,1,4671,5,SUCCESS,65386,PRO,RBPhZc5eTVmEF_gpSV7skg
rosscomp1,1653119452185,3,22219,20193,66659,0.6666666666666666,2,0,2,5317,6,SUCCESS,66659,PRO,fb0d597a87f94697aa1c6w
Karl-NAB,1653889299288,3,22328,20520,66986,0.6666666666666666,1,1,2,5013,7,SUCCESS,66986,PRO,4vOOxLIsSjeL2WFaO5o_fQ
Duckworth,1653708606244,3,22352,19951,67057,0.6666666666666666,1,1,2,4861,8,SUCCESS,67057,PRO,VIu9BQ4-Th6gUqu60ztwUQ
AIDeepRacer,1653368139439,3,22822,20065,68468,0.6666666666666666,2,0,2,2783,9,SUCCESS,68468,PRO,pIRbdCx6QYatgVXm2p5GbA
dartjason,1653513545352,3,22937,20330,68812,0.6666666666666666,2,0,2,3338,10,SUCCESS,68812,PRO,JSflDq5rQgKEuA5Ots4kDQ
JPMC-LONDON-HandsFree,1653438072796,3,23311,20742,69933,0.6666666666666666,2,0,2,1722,11,SUCCESS,69933,PRO,DZAYqyd-Tp6eE15IopWCgQ
Penguin-DNPds,1653026599041,3,23532,20256,70597,1.0,0,3,3,585,12,SUCCESS,70597,PRO,Nr3YCYWGTA631Xqa0uDPhw
JPMC-DriftKing-Houston,1653624668732,3,23599,22199,70799,0.3333333333333333,0,1,1,661,13,SUCCESS,70799,PRO,fngewpiZSZm11yX7YgwnMA
JPMC-BMTH-CTRL-PLUS-SPEED,1653743256150,3,23798,20539,71396,1.0,3,0,3,728,14,SUCCESS,71396,PRO,TSoego0RTCazPagbkqTnlw
Off-track,1652561704516,3,23844,19860,71534,1.0,1,2,3,5902,15,SUCCESS,71534,PRO,1R021ZoDQrqxSUiHfBvyEw
Ernesto-PhilJ,1653782403413,3,23931,20984,71795,1.0,3,0,3,4151,16,SUCCESS,71795,PRO,8zBEAp0-S5yGbcZvytGZGQ
MattCamp,1653600777736,3,24131,21601,72393,0.6666666666666666,2,0,2,5117,17,SUCCESS,72393,PRO,9z8BN2mkSj-Dlb_Chg_0Hw
