Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
CGS-Huge-Hadr0n,1641344897548,3,27885,25192,83655,0.6666666666666666,0,2,2,1,1,SUCCESS,25192,63LA0_QCQ1-fRLzXgWmAeQ
Yuliya,1641364866542,3,28885,26670,86656,0.6666666666666666,0,2,2,1,2,SUCCESS,26670,JWJgkv8bSKeMIGYZ9roR-A
AIDeepRacer,1641346329933,3,32172,26929,96517,1.3333333333333333,0,4,4,9,3,SUCCESS,26929,pIRbdCx6QYatgVXm2p5GbA
Aurora-DNPds,1641339778769,3,29982,27190,89946,0.6666666666666666,0,2,2,1,4,SUCCESS,27190,26fba66bedca4aa3bca47w
Doug-Racer,1641355323287,3,30541,29669,91624,0.3333333333333333,0,1,1,1,5,SUCCESS,29669,1R021ZoDQrqxSUiHfBvyEw
ssm-DevelopersIO,1641361276898,3,52419,50988,157258,2.3333333333333335,0,7,7,2,6,SUCCESS,50988,XWuPseyZQLOMJ31jSvdfog
MachineBreaker#7764,1641353160425,3,67242,65200,201728,10.666666666666666,0,32,32,5,7,SUCCESS,65200,38xH7EvSTsKmhrlbXD-fvQ
SeanL81,1641332394898,3,79772,66788,239318,9.0,0,27,27,21,8,SUCCESS,66788,zhojNWJPTpK-LJq1unGxcA
JM-Jez-NetAppRacer,1641360567164,3,74263,67324,222789,8.666666666666666,0,26,26,2,9,SUCCESS,67324,k3AuygCOTZ-bPaJ3H8HpKg
TE8-Racer,1641365260338,3,75664,70936,226994,13.0,0,39,39,1,10,SUCCESS,70936,LahkHeT6SwCC1n27s6qRYA
QualifiedWorkaround#7941,1641338355598,3,81944,72971,245834,9.666666666666666,0,29,29,2,11,SUCCESS,72971,6h2qwP9ySAW3nbyoWCXu8g
KangnamUniv,1641353711831,3,76732,75072,230198,12.333333333333334,0,37,37,1,12,SUCCESS,75072,tgTFoA9TT1yt5FOyn_Aapg
NeuralTech#2580,1641343758885,3,87618,77063,262856,11.333333333333334,0,34,34,1,13,SUCCESS,77063,HBQmwCfSQtCRuTU0p4Eb2Q
Erwan,1641359173003,3,78866,77534,236598,13.333333333333334,0,40,40,10,14,SUCCESS,77534,1TN1XoXNSOmY-0fHbsRb6g
BlockchainSystem#6009,1641329999821,3,94203,77667,282609,17.666666666666668,0,53,53,2,15,SUCCESS,77667,Rt8ay_CbQmuh8WeLOooWpA
PythonGame#0224,1641333514244,3,93597,77869,280793,11.666666666666666,0,35,35,1,16,SUCCESS,77869,ff2lQtT1Q5mLkS1zfpUJYA
AbstractUpdate#8649,1641346717323,3,88979,79868,266939,15.666666666666666,0,47,47,4,17,SUCCESS,79868,2kHWgYEwTNe5amyr0a0OEg
