Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
JJ,1643610604829,3,23215,22530,69647,0.0,0,0,0,5044,1,SUCCESS,22530,afdcX_4vRH6Ussd0mbg5LQ
Karl-NAB,1643464876671,3,23887,22682,71663,0.0,0,0,0,3205,2,SUCCESS,22682,4vOOxLIsSjeL2WFaO5o_fQ
TonyJ,1643511907227,3,26262,23392,78786,0.6666666666666666,0,2,2,2851,3,SUCCESS,23392,af962be5a4ed4c57af807w
rosscomp1,1642834684013,3,25308,23530,75925,0.3333333333333333,0,1,1,119,4,SUCCESS,23530,fb0d597a87f94697aa1c6w
Duckworth,1643488208930,3,28204,23929,84612,1.0,0,3,3,1597,5,SUCCESS,23929,VIu9BQ4-Th6gUqu60ztwUQ
flatearth,1643662607819,3,26866,24074,80598,0.6666666666666666,0,2,2,1,6,SUCCESS,24074,9e3a9607a4e04ba2b1a49w
AJM-Model-1,1641772422847,3,24551,24124,73653,0.0,0,0,0,1,7,SUCCESS,24124,gdsU9bkGRWW7LTEHP4rGgQ
CGS-Huge-Hadr0n,1643405659718,3,29463,24143,88389,1.3333333333333333,0,4,4,1145,8,SUCCESS,24143,63LA0_QCQ1-fRLzXgWmAeQ
JPMC-DriftKing-Houston,1641500300905,3,27441,24268,82323,0.6666666666666666,0,2,2,3,9,SUCCESS,24268,fngewpiZSZm11yX7YgwnMA
AIDeepRacer,1641662322298,3,24886,24330,74658,0.0,0,0,0,14,10,SUCCESS,24330,pIRbdCx6QYatgVXm2p5GbA
Penguin-DNPds,1641971530616,3,25573,24594,76719,0.0,0,0,0,14,11,SUCCESS,24594,Nr3YCYWGTA631Xqa0uDPhw
JPMC-HYD-SpeedSters,1643270508806,3,29397,24721,88192,1.3333333333333333,0,4,4,4,12,SUCCESS,24721,6fdcVCAkQtCCsyHEO0LNiA
Yuliya,1643189790770,3,27324,24734,81972,0.3333333333333333,0,1,1,1324,13,SUCCESS,24734,JWJgkv8bSKeMIGYZ9roR-A
Ensono-Ernesto,1643105269857,3,25111,24872,75334,0.0,0,0,0,1,14,SUCCESS,24872,8zBEAp0-S5yGbcZvytGZGQ
Rober-rNiubo,1643324112576,3,26708,25607,80126,0.0,0,0,0,187,15,SUCCESS,25607,KrRSYhzKTfONjRaDUc_ubQ
DBro,1641916460312,3,25919,25655,77757,0.0,0,0,0,5,16,SUCCESS,25655,jEkEOpjZRhGUbyDZIfTo_A
ZoD,1643212325803,3,31640,25919,94920,1.3333333333333333,0,4,4,717,17,SUCCESS,25919,TFtvCas4TRWchrBPMyGh0A
Joffe,1643277589952,3,26883,26388,80650,0.0,0,0,0,8,18,SUCCESS,26388,ce17e3bfe82649448e2f3w
ep-dr-racer1,1642478458240,3,33506,26595,100518,1.6666666666666667,0,5,5,142,19,SUCCESS,26595,vEZxFEnhQHeI5tKR4Tz3rQ
BackloggedLoop#1107,1642478975436,3,30082,26726,90247,0.6666666666666666,0,2,2,144,20,SUCCESS,26726,CxLK5itDR7u7cqofttCr_A
Aurora-DNPds,1642748501199,3,30531,26730,91595,1.0,0,3,3,34,21,SUCCESS,26730,26fba66bedca4aa3bca47w
ShibaInu-DevelopersIO,1642163294644,3,28139,27007,84417,0.0,0,0,0,723,22,SUCCESS,27007,q3lEztDGTfSD-GgkF5IgTg
TimC,1643092816686,3,29511,27603,88533,0.3333333333333333,0,1,1,14,23,SUCCESS,27603,5uT4nmOrSdWr814lPIdrGg
BennyLBS,1643669424127,3,31222,27794,93668,0.6666666666666666,0,2,2,68,24,SUCCESS,27794,wD3fjDFZTJaZd9AU7WRDlA
barkingdog,1642627175198,3,28861,27936,86585,0.0,0,0,0,4703,25,SUCCESS,27936,b3960b6c6f58458880ceew
JPMC-SEATTLE-RAINIER-RACERS,1643206954900,3,36797,28392,110391,2.3333333333333335,0,7,7,162,26,SUCCESS,28392,1nhNKBkaQMKwuxDtW6koQw
ferrite,1643666344521,3,30493,28813,91480,0.3333333333333333,0,1,1,63,27,SUCCESS,28813,SRAgn9lMTCmIjaBREP7hxA
GT-DevelopersIO,1642391572015,3,35531,29158,106595,2.0,0,6,6,18,28,SUCCESS,29158,8WSp4P7ZRn-jJgZLnugwkA
Ash-DNPds,1642489604706,3,30928,29341,92784,0.3333333333333333,0,1,1,122,29,SUCCESS,29341,9aced9109a634d11a3134w
Off-track,1641355323287,3,30541,29669,91624,0.3333333333333333,0,1,1,1,30,SUCCESS,29669,1R021ZoDQrqxSUiHfBvyEw
Dug-Racer,1643618683182,3,31907,30336,95721,0.0,0,0,0,158,31,SUCCESS,30336,ebaac7d1eb7b4d3f9ae5cQ
