Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
PoChun-NCTU-CGI,1603738576528,3,19743,19313,59230,0.0,0,0,0,2501,1,SUCCESS,59230,P7SrLqBvRKS2fNy2goovqw,
JJ,1603768595614,3,20667,20198,62003,0.3333333333333333,1,0,1,5538,2,SUCCESS,62003,afdcX_4vRH6Ussd0mbg5LQ,
McMurphy,1603840828250,3,22365,19409,67096,0.3333333333333333,1,0,1,822,3,SUCCESS,67096,hBmKoUwjQ_mahp-kv7jm8A,
ep-dr-racer1,1604056226723,3,23202,22617,69606,0.0,0,0,0,1844,4,SUCCESS,69606,vEZxFEnhQHeI5tKR4Tz3rQ,
JPMC-Rogue-Hyderabad,1603647865003,3,26374,23773,79122,0.6666666666666666,1,1,2,250,5,SUCCESS,79122,LKdw_hyKTSu7moFuxbmiZw,JPMorgan Chase
blueberrypie,1602901688734,3,26838,23139,80516,0.6666666666666666,2,0,2,1580,6,SUCCESS,80516,EmZsQC41RtW5hhxb6z2-xQ,
JonathanRacer,1603188384945,3,27251,25277,81754,0.3333333333333333,0,1,1,1621,7,SUCCESS,81754,nya9ln7uRZ6yFkb9tRzrOw,
Ernesto,1603589457900,3,28068,25011,84204,0.3333333333333333,1,0,1,1983,8,SUCCESS,84204,8zBEAp0-S5yGbcZvytGZGQ,
kimmizian,1602885842839,3,28554,24063,85664,0.6666666666666666,1,1,2,3319,9,SUCCESS,85664,t6NwFsqgS4mYnFeR3KVxsg,
skoota,1604173449034,3,28819,24585,86457,0.6666666666666666,2,0,2,176,10,SUCCESS,86457,-1lhRLeeRTCRUGoxx3ybDA,
Duckworth,1603181465447,3,29170,27128,87510,0.3333333333333333,0,1,1,1831,11,SUCCESS,87510,VIu9BQ4-Th6gUqu60ztwUQ,Accenture
CGS-LargeLattice,1603882064888,3,29703,29220,89110,1.0,2,1,3,160,12,SUCCESS,89110,o6NgljsnTOOelVAsofMR3g,
PolishThunder,1602910759631,3,29983,27892,89950,1.3333333333333333,3,1,4,1707,13,SUCCESS,89950,qi512oGVTry8V-KtP6j2_w,
S-P-,1602944240873,3,30981,25131,92943,1.0,3,0,3,70,14,SUCCESS,92943,MxT5p4ZvSTOcc6ANa8VZNg,
Jianlong,1601729992038,3,33416,28463,100250,0.6666666666666666,1,1,2,1209,15,SUCCESS,100250,vpsHYdBtSIq__1M9j1R21Q,DBS
nalbam-me,1602649811323,3,33848,26895,101544,1.3333333333333333,1,3,4,540,16,SUCCESS,101544,PnRru4vBRkeyT4xX6LOCtw,
Jochem,1604171317566,3,34696,30102,104089,1.6666666666666667,0,5,5,63,17,SUCCESS,104089,RBPhZc5eTVmEF_gpSV7skg,
Mungi,1604019691975,3,36203,28470,108610,1.3333333333333333,1,3,4,39,18,SUCCESS,108610,RgTvucbNQja7yiYbgh2p9A,
UncleGK-DBS,1603947970426,3,37205,31205,111615,1.3333333333333333,4,0,4,4,19,SUCCESS,111615,244me6w0SIqlFPoljSZJsw,DBS
WaveLabCup-test,1604162562138,3,37226,30347,111678,1.3333333333333333,2,2,4,144,20,SUCCESS,111678,VoDpVnVvR6CwWViNtPYWXA,
Matt,1603689913285,3,37383,35187,112150,1.3333333333333333,1,3,4,146,21,SUCCESS,112150,cVk-aYKdRUmuL0qmjyzmag,
Yxcas-DBS,1601601140139,3,37816,33039,113449,1.6666666666666667,5,0,5,3,22,SUCCESS,113449,NdVUBlBJRqiz_zbY7Xn-2g,DBS
ABaykov,1604175564457,3,38356,30797,115070,1.3333333333333333,1,3,4,67,23,SUCCESS,115070,aa28j7SWTd-LxMzvFoj_bA,
JPMC-RogerRabbit,1603735291975,3,38597,32263,115793,3.0,6,3,9,1,24,SUCCESS,115793,DXXOncNRR1iiqhBvpPO-_A,JPMorgan Chase
Tyler1,1604141067710,3,38622,31249,115867,2.3333333333333335,6,1,7,1,25,SUCCESS,115867,__WUQ2m5TtCjeNkJGhNtBw,
RichardFan-dr,1602467521713,3,42115,39675,126346,2.3333333333333335,7,0,7,2,26,SUCCESS,126346,oxm3h2AtTpGqAnGZ4vzYpg,
nbz,1604181353490,3,42612,37270,127838,1.0,3,0,3,131,27,SUCCESS,127838,8FY8Uq37SymGhEe9E3CkLw,
JPMC-HandsFree-London,1604139494368,3,42886,36823,128658,1.0,0,3,3,18,28,SUCCESS,128658,DZAYqyd-Tp6eE15IopWCgQ,JPMorgan Chase
Usin,1603963859216,3,43517,41990,130551,2.3333333333333335,4,3,7,26,29,SUCCESS,130551,0U0AhasoQkySiJ1to8xBZw,
test-race01,1603985463427,3,43818,40636,131456,0.3333333333333333,1,0,1,23,30,SUCCESS,131456,5FdlIEplTAW6oCVTei3Ucg,
Mentaiko-DevelopersIO,1603537821972,3,43922,36620,131767,2.3333333333333335,1,6,7,446,31,SUCCESS,131767,Wt5C8BPAS0OPlzY3-txb-w,
fuchida-MAINICHI,1604161174353,3,44003,30125,132011,2.6666666666666665,1,7,8,37,32,SUCCESS,132011,HGiJghg0TqyXmMhVedqfRw,
SK-DENSO,1604007910382,3,44117,39288,132353,2.3333333333333335,3,4,7,88,33,SUCCESS,132353,OY7PidANQca_8oV6j3LJ2g,
Arcjude,1603022531398,3,44662,37652,133988,2.3333333333333335,5,2,7,7,34,SUCCESS,133988,9uDvvD4JRjWEWMYrxDGdFg,
JPMC-Singapore-Chetak,1604108553657,3,44745,41765,134237,0.6666666666666666,1,1,2,10,35,SUCCESS,134237,LJzDpiNuTFeHu9dsqp1APw,JPMorgan Chase
Kire,1603760701287,3,45811,35492,137435,2.0,3,3,6,70,36,SUCCESS,137435,N0y9CR6fQN-a4UlAFsTC5Q,
think,1603722658212,3,47539,45828,142617,0.0,0,0,0,2840,37,SUCCESS,142617,IHHC4YftQLaMAs0VyXFJzw,
TienHoang-DBS,1604123507538,3,48688,36160,146064,3.3333333333333335,10,0,10,2,38,SUCCESS,146064,6IwkeVP_SV-fxpC-59lOog,DBS
tranvietdung-DBS,1602572252805,3,49676,45047,149029,2.6666666666666665,8,0,8,2,39,SUCCESS,149029,3OwVWi6tQDCpBzKpWfHj7Q,DBS
Asumi,1602800297906,3,51200,47723,153601,3.3333333333333335,2,8,10,7,40,SUCCESS,153601,Uh5qLLBPQ9-M4OuwSQJKpQ,
Test1-2,1603954278045,3,52209,43357,156628,3.6666666666666665,7,4,11,7,41,SUCCESS,156628,-gS_xaU_Rb6RiQhrUSyXLw,
Tracked,1603486318695,3,53009,50228,159028,2.6666666666666665,5,3,8,2,42,SUCCESS,159028,SZC-aFkLTd6eEpSMMv8dEA,
Demo01,1603264094797,3,54386,47594,163160,3.3333333333333335,4,6,10,74,43,SUCCESS,163160,XaDWpf3zQEqZHiWOO7gGvA,
kawatakzk-practice-01,1604027614963,3,54643,47518,163931,1.6666666666666667,3,2,5,31,44,SUCCESS,163931,jy5_7zoaRh68o3X6mU1YwQ,
Team3D-Internal-Race1,1603860343833,3,54809,42702,164429,4.333333333333333,7,6,13,15,45,SUCCESS,164429,5lCt1HnXRXiBB0FnmKAaIg,
n-kaiyugyo,1603924251316,3,55165,53646,165497,1.3333333333333333,1,3,4,490,46,SUCCESS,165497,wXMifvNSThyJvRyry6l2LQ,
satussy777,1603021606225,3,55491,53029,166474,2.6666666666666665,6,2,8,1,47,SUCCESS,166474,IYaF6LtbRWmZE9xBm87JmQ,
CruzRamirez,1602177539670,3,55968,47577,167905,2.3333333333333335,6,1,7,7,48,SUCCESS,167905,Zx_FEQUGTo-DLKNy6O2y-g,
