Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
Jochem,1606916003369,1,25020.0,25020.0,165685.0,0.6666666666666666,2,2,4,0,1,SUCCESS,25020,RBPhZc5eTVmEF_gpSV7skg
Joffe,1606916843344,1,30456.0,30456.0,134913.0,1.75,4,3,7,0,2,SUCCESS,30456,ce17e3bfe82649448e2f3w
Duckworth,1606905863012,1,30680.0,30680.0,149232.0,1.75,7,0,7,0,3,SUCCESS,30680,VIu9BQ4-Th6gUqu60ztwUQ
Ensono-Ernesto,1606915656812,1,31761.0,31761.0,139144.0,1.5,6,0,6,0,4,SUCCESS,31761,8zBEAp0-S5yGbcZvytGZGQ
DBro,1606916726937,1,33295.0,33295.0,178226.0,2.4,6,6,12,1,5,SUCCESS,33295,jEkEOpjZRhGUbyDZIfTo_A
MattCamp,1606901866143,1,34200.0,34200.0,178402.0,3.5,9,5,14,0,6,SUCCESS,34200,9z8BN2mkSj-Dlb_Chg_0Hw
Jackandwho,1606914588324,1,39993.0,39993.0,135375.0,7.5,14,1,15,0,7,SUCCESS,39993,3d91d2b9dc6f46e3847abw
Giacomo,1606916917466,1,52711.0,52711.0,128582.0,4.5,8,1,9,1,8,SUCCESS,52711,W0KfevJdRWiQfxwL4NH15g
Bandi-ShallowMind,1606916203932,1,65325.0,65325.0,156947.0,9.5,18,1,19,0,9,SUCCESS,65325,YJiS57vXT3azuaFuG5gIXw
Galileo,1606916710233,1,67432.0,67432.0,138779.0,9.5,10,9,19,3,10,SUCCESS,67432,Y79AzaaOR-u4LVKMxu1Mdw
SebVast,1606894834858,1,68224.0,68224.0,177519.0,8.0,16,0,16,0,11,SUCCESS,68224,da9eff02c3484988bd329w
Yeti,1606916712236,1,152074.0,152074.0,152074.0,25.0,21,4,25,1,12,SUCCESS,152074,1SGxAyrnQ96tWb-rolMeBQ
GummyBear,1606914541038,0,,,,0.0,0,0,0,0,13,SUCCESS,9223372036854775710,6ec0eaaca4ea4f518879cw
