Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
JJ,1614624654115,3,41064,39773,123193,1.0,2,1,3,2,1,SUCCESS,123193
kimmizian,1614615933897,3,44612,43936,133837,0.0,0,0,0,160,2,SUCCESS,133837
ShinyThings-DBS,1614651902525,3,49873,49238,149620,0.0,0,0,0,6,3,SUCCESS,149620
BoogieTimeProductions,1614627578625,3,67708,64465,203125,2.6666666666666665,1,7,8,42,4,SUCCESS,203125
DBro,1614608526178,3,84070,79832,252210,3.6666666666666665,1,10,11,4,5,SUCCESS,252210
ABaykov,1614605821824,3,87433,82689,262299,3.0,2,7,9,6,6,SUCCESS,262299
RichardFan,1614574202482,3,94864,88037,284592,6.0,0,18,18,2,7,SUCCESS,284592
kimwooglae,1614649377087,3,99921,89155,299764,9.0,2,25,27,108,8,SUCCESS,299764
think,1614656166996,3,100175,85543,300525,10.666666666666666,1,31,32,112,9,SUCCESS,300525
atnmn,1614578142056,3,103207,97497,309623,11.0,2,31,33,1,10,SUCCESS,309623
evapag,1614563707383,3,109884,108674,329654,1.0,1,2,3,0,11,SUCCESS,329654
mayurmadnani,1614626206734,3,117177,112495,351531,14.0,3,39,42,3,12,SUCCESS,351531
IVE-FYP-DeepRacerEvo,1614614959488,3,120656,110299,361968,9.0,0,27,27,0,13,SUCCESS,361968
AJM-Model-1,1614655494829,3,125633,119569,376899,13.0,1,38,39,3,14,SUCCESS,376899
nalbam-me,1614604261693,3,126291,109700,378874,16.0,3,45,48,0,15,SUCCESS,378874
Kire,1614608293771,3,133112,122006,399338,17.0,2,49,51,4,16,SUCCESS,399338
Maikel,1614605732891,3,134413,130620,403241,17.666666666666668,5,48,53,1,17,SUCCESS,403241
London-1-Racers,1614624891706,3,152377,147970,457131,19.666666666666668,1,58,59,0,18,SUCCESS,457131
JPMC-LesBleus,1614619941291,3,162916,148641,488750,20.666666666666668,1,61,62,2,19,SUCCESS,488750
Breadcentric,1614587425769,3,173200,164791,519600,23.333333333333332,1,69,70,0,20,SUCCESS,519600
MattCamp,1614619007855,3,182211,152353,546634,25.0,0,75,75,0,21,SUCCESS,546634
RobinCastro-DBS,1614568897415,3,185431,165331,556293,26.666666666666668,2,78,80,0,22,SUCCESS,556293
TonyKim,1614569279381,3,206595,188515,619785,9.0,1,26,27,0,23,SUCCESS,619785
Galileo,1614621548340,3,228233,211105,684700,32.0,0,96,96,0,24,SUCCESS,684700
Jochem,1614605964801,3,236188,211710,708564,36.333333333333336,1,108,109,1,25,SUCCESS,708564
TonyJ,1614564987190,3,307908,300079,923725,46.333333333333336,4,135,139,0,26,SUCCESS,923725
PolishThunder,1614566516135,3,417898,381616,1253694,69.0,5,202,207,0,27,SUCCESS,1253694
