Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1615655048395,3,29389,29056,88167,0.0,0,0,0,1767,1,SUCCESS,88167,PRO,afdcX_4vRH6Ussd0mbg5LQ
RogerRabbit,1615769108958,3,30974,30323,92924,0.0,0,0,0,1042,2,SUCCESS,92924,PRO,DXXOncNRR1iiqhBvpPO-_A
Jochem,1615741045490,3,32609,32259,97827,0.0,0,0,0,762,3,SUCCESS,97827,PRO,RBPhZc5eTVmEF_gpSV7skg
Duckworth,1615364647675,3,32924,32184,98774,0.0,0,0,0,911,4,SUCCESS,98774,PRO,VIu9BQ4-Th6gUqu60ztwUQ
DBro,1615767935079,3,33022,32656,99067,0.0,0,0,0,331,5,SUCCESS,99067,PRO,jEkEOpjZRhGUbyDZIfTo_A
AJM-Model-1,1615206115693,3,34672,33823,104016,0.0,0,0,0,1376,6,SUCCESS,104016,PRO,gdsU9bkGRWW7LTEHP4rGgQ
PolishThunder,1615301554522,3,34676,32252,104028,0.3333333333333333,1,0,1,2190,7,SUCCESS,104028,PRO,qi512oGVTry8V-KtP6j2_w
Ernesto,1615792956324,3,34789,32398,104367,0.3333333333333333,1,0,1,1416,8,SUCCESS,104367,PRO,8zBEAp0-S5yGbcZvytGZGQ
Maikel,1615446523576,3,36237,33924,108713,0.3333333333333333,0,1,1,611,9,SUCCESS,108713,PRO,FeKoIRn0Tsa6tACAWZ_2gw
dartjason,1615763279062,3,38321,37801,114965,0.0,0,0,0,957,10,SUCCESS,114965,PRO,JSflDq5rQgKEuA5Ots4kDQ
atnmn,1615727364513,3,39833,37492,119500,0.3333333333333333,1,0,1,913,11,SUCCESS,119500,PRO,b3960b6c6f58458880cee615ce806578
ep-dr-racer1,1615763698325,3,42621,40142,127865,0.3333333333333333,0,1,1,442,12,SUCCESS,127865,PRO,vEZxFEnhQHeI5tKR4Tz3rQ
kimwooglae,1615647369000,3,42662,42399,127988,1.0,0,3,3,2310,13,SUCCESS,127988,PRO,bOqKo-ebR_essdUaZVGO4Q
blueberrypie,1615518557766,3,42726,42602,128178,0.0,0,0,0,305,14,SUCCESS,128178,PRO,EmZsQC41RtW5hhxb6z2-xQ
Deepak-dpk,1615284582967,3,43205,42595,129617,0.0,0,0,0,1394,15,SUCCESS,129617,PRO,gDTBFK77TM6wD6uObZlulA
Penguin-DNPds,1615779085733,3,43418,38549,130254,1.6666666666666667,0,5,5,221,16,SUCCESS,130254,PRO,Nr3YCYWGTA631Xqa0uDPhw
