Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1616791688494,3,28975,28676,86927,0.0,0,0,0,4402,1,SUCCESS,86927,PRO,afdcX_4vRH6Ussd0mbg5LQ
flatearth,1616564646054,3,29933,29325,89800,0.0,0,0,0,1667,2,SUCCESS,89800,PRO,9e3a9607a4e04ba2b1a49w
JPMC-RogerRabbit-Houston,1615828869237,3,30067,29277,90203,0.0,0,0,0,3605,3,SUCCESS,90203,PRO,DXXOncNRR1iiqhBvpPO-_A
DBro,1616671215958,3,30422,29935,91268,0.0,0,0,0,3580,4,SUCCESS,91268,PRO,jEkEOpjZRhGUbyDZIfTo_A
Fumiaki,1616846442005,3,31851,31202,95555,0.0,0,0,0,2041,5,SUCCESS,95555,PRO,5RzBNYRAQoWVausi3eyhRg
PolishThunder,1617077231332,3,31883,31607,95649,0.0,0,0,0,5209,6,SUCCESS,95649,PRO,qi512oGVTry8V-KtP6j2_w
Duckworth,1615974128026,3,31930,31727,95791,0.0,0,0,0,1259,7,SUCCESS,95791,PRO,VIu9BQ4-Th6gUqu60ztwUQ
Karl-NAB,1616052992637,3,32165,31596,96495,0.0,0,0,0,278,8,SUCCESS,96495,PRO,4vOOxLIsSjeL2WFaO5o_fQ
Jochem,1616867052509,3,32261,31500,96783,0.0,0,0,0,2527,9,SUCCESS,96783,PRO,RBPhZc5eTVmEF_gpSV7skg
GT-DevelopersIO,1617156651409,3,32370,31756,97110,0.0,0,0,0,512,10,SUCCESS,97110,PRO,8WSp4P7ZRn-jJgZLnugwkA
Ernesto,1616541156857,3,32395,31607,97185,0.0,0,0,0,3573,11,SUCCESS,97185,PRO,8zBEAp0-S5yGbcZvytGZGQ
dartjason,1617231411521,3,32752,31831,98257,0.0,0,0,0,3546,12,SUCCESS,98257,PRO,JSflDq5rQgKEuA5Ots4kDQ
RobinCastro-DBS,1616927939916,3,32834,32302,98503,0.0,0,0,0,3217,13,SUCCESS,98503,PRO,7KrbyQXvTBOxnBa0p9YuUA
JPMC-DriftKing-Houston,1617117025955,3,32943,32246,98829,0.0,0,0,0,400,14,SUCCESS,98829,PRO,fngewpiZSZm11yX7YgwnMA
Maikel,1616880788529,3,33224,32740,99672,0.0,0,0,0,1313,15,SUCCESS,99672,PRO,FeKoIRn0Tsa6tACAWZ_2gw
Joffe,1617202657168,3,33922,32559,101768,0.0,0,0,0,469,16,SUCCESS,101768,PRO,ce17e3bfe82649448e2f3w
AJM-Model-1,1615206115693,3,34672,33823,104016,0.0,0,0,0,1888,17,SUCCESS,104016,PRO,gdsU9bkGRWW7LTEHP4rGgQ
Yxcas-DBS,1617066294259,3,35012,34254,105038,0.0,0,0,0,2807,18,SUCCESS,105038,PRO,NdVUBlBJRqiz_zbY7Xn-2g
ep-dr-racer1,1617182551021,3,36267,32579,108801,0.6666666666666666,2,0,2,2337,19,SUCCESS,108801,PRO,vEZxFEnhQHeI5tKR4Tz3rQ
