Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,JPMC-BA-MiguelG,1722943219006,3,12818,12467,38455,0.0,0,0,0,5,SUCCESS,12818,ITPfFYXmSXKi3TqsvUHRKw
2,ZoD,1722536649725,3,12863,12734,38589,0.0,0,0,0,1,SUCCESS,12863,TFtvCas4TRWchrBPMyGh0A
3,Fr3d,1722748047027,3,13176,13003,39530,0.0,0,0,0,4,SUCCESS,13176,7x6nmMRlQiWawqJ8wUE7jA
4,JPMC-Rogue-COL,1722862438962,3,13308,12933,39925,0.0,0,0,0,5,SUCCESS,13308,_W5Y-ICNSuGKBn7bvv8qzw
5,janicedal,1723038771448,3,13375,12806,40125,0.0,0,0,0,3,SUCCESS,13375,OwKO9HTAS66Q0EhLegROgg
6,Jerec,1722919532387,3,13506,13198,40519,0.0,0,0,0,15,SUCCESS,13506,RH6ep-5mRmmVLqHClba8_Q
7,DaVinciDriver,1722843010351,3,13511,13130,40533,0.0,0,0,0,2,SUCCESS,13511,XtzXYz2pRByDnXz90XNGSw
8,CodeMachine,1722635730040,3,13775,13468,41325,0.0,0,0,0,2,SUCCESS,13775,b_WzN_r8ToGPle_8bl2tMA
9,tranvietdung-DBS,1722903601121,3,14176,14067,42528,0.0,0,0,0,14,SUCCESS,14176,3OwVWi6tQDCpBzKpWfHj7Q
10,PITS-TK,1722691457389,3,14330,13809,42992,0.0,0,0,0,9,SUCCESS,14330,PVc7jVR2RxqbPMpBIhjZ0g
11,-SANTACLAWS-,1722903004342,3,14332,13068,42997,0.0,0,0,0,1,SUCCESS,14332,X_dNmJilS8SDBQ44yzd2fg
12,Eviden-Surojit2024,1722860230671,3,14353,13994,43061,0.0,0,0,0,21,SUCCESS,14353,J1wwkIv7THCEOtq7arFvXA
13,JPMC-Speedy-Gonzales-LATAM,1722867113703,3,14353,13942,43061,0.0,0,0,0,3,SUCCESS,14353,McOa_W8cTW2EErfZhOoKxA
14,YA#88,1722961088725,3,14708,14201,44125,0.0,0,0,0,7,SUCCESS,14708,KBCP86t4SpaGJhXNb26AcQ
15,BSi,1722909599152,3,14842,12808,44528,0.3333333333333333,0,1,1,6,SUCCESS,14842,2eb231b0a43f4940bfed3w
16,DarkStar,1722738276295,3,14843,14076,44530,0.0,0,0,0,9,SUCCESS,14843,RqPwhBT9R1Oxro8xj4XNmA
17,IntelligentArchitect#1764,1723005742291,3,15223,14804,45669,0.0,0,0,0,35,SUCCESS,15223,7uPrHQ7sROeWEXcww5RhRA
18,IcePandaBoom,1722491327965,3,15862,15197,47588,0.0,0,0,0,1,SUCCESS,15862,BTPWujqqTBOWGAFvEKyRaA
19,Guga,1722549376907,3,15999,15595,47997,0.0,0,0,0,3,SUCCESS,15999,617e83d68c1240be8b9abw
20,JPMC-Spyder-HongKong,1722471372077,3,16111,13999,48333,0.3333333333333333,0,1,1,3,SUCCESS,16111,zKdKXknwQVCObGdEgutObQ
21,Navn33t-Singh,1722596087409,3,16329,15931,48989,0.0,0,0,0,7,SUCCESS,16329,RMXf5sdlS-y4EWrenTSTbg
22,Kire,1722709212505,3,16466,16125,49399,0.0,0,0,0,3,SUCCESS,16466,N0y9CR6fQN-a4UlAFsTC5Q
23,harinezumi-DNPds,1722998758033,3,16595,16063,49785,0.0,0,0,0,8,SUCCESS,16595,6hha6WtBQLCivJX9auQn6A
24,Seab,1722614103126,3,16753,16462,50260,0.0,0,0,0,5,SUCCESS,16753,mjD1OGTXQfKTXMPWVq29rg
25,Jianlong,1722561582416,3,17130,16868,51392,0.0,0,0,0,6,SUCCESS,17130,vpsHYdBtSIq__1M9j1R21Q
26,TimJWhite,1722585762996,3,17555,17196,52665,0.0,0,0,0,12,SUCCESS,17555,3dDHylmQSi-Rzd9uUamhlQ
27,HimaChand#78,1723013192806,3,17619,17069,52857,0.0,0,0,0,37,SUCCESS,17619,KWPBROM4QeuQvuJCrvuJUQ
28,PITS-Kura,1722987807833,3,17840,17404,53520,0.0,0,0,0,7,SUCCESS,17840,0KlPowM7Rsm-6depdUzXOg
29,Rads1212,1722806078169,3,17883,17659,53650,0.0,0,0,0,8,SUCCESS,17883,3keqP30TQMS6jO8SRw_1uw
30,VVIK,1722482212015,3,17974,17866,53924,0.0,0,0,0,1,SUCCESS,17974,9K4Cz2EiTz2YB5ZrAauVRA
31,Dexxtz,1722471611272,3,18753,18532,56259,0.0,0,0,0,8,SUCCESS,18753,tabxmSFdSiuDVkEWW34mTA
32,CloudArmee-Chuck,1722626552645,3,18820,18663,56462,0.0,0,0,0,9,SUCCESS,18820,Aozo2oixSJysh5iSzSBcpg
33,KingoftheTrack,1722816577460,3,18952,18862,56856,0.0,0,0,0,2,SUCCESS,18952,ACg6IYaIQNi--irQmpdiHg
34,Alind,1722894748192,3,19086,16923,57258,0.3333333333333333,0,1,1,6,SUCCESS,19086,WQ9eQJteSeiuzRYlPqqljQ
35,acoela-DNPds,1722919417100,3,19175,18332,57525,0.0,0,0,0,5,SUCCESS,19175,0lZyn5CUSVK9Llk2oSaS3w
36,StanCode-TeamBest,1722618597486,3,19197,17133,57591,0.3333333333333333,0,1,1,3,SUCCESS,19197,7qJcRpRSTGmam2s8NrErHg
37,FabioMaxV,1722873059116,3,19200,18602,57602,0.0,0,0,0,7,SUCCESS,19200,fkCXzcxUQAu40C7Qxc3EzA
38,JPMC-Gla-CloudRacers,1722957270909,3,19269,16659,57807,0.3333333333333333,0,1,1,1,SUCCESS,19269,c134eede4abe4ba2bec68w
39,barkingdog,1722525612066,3,19330,19131,57991,1.0,0,3,3,1,SUCCESS,19330,b3960b6c6f58458880ceew
40,rapirapi-BIP,1722816308600,3,19377,16664,58131,0.6666666666666666,0,2,2,1,SUCCESS,19377,qsYR-A-0S2OHA1cvbeFfSg
41,Ric-Mtl,1722873000125,3,19419,18937,58258,0.0,0,0,0,5,SUCCESS,19419,R5muw8HbTAmpfHCNU9rVpw
42,TPC-Tech,1722543436714,3,19730,15998,59190,0.6666666666666666,0,2,2,1,SUCCESS,19730,iEfWhIPLS865MMzpmLNdqQ
43,Badgercaim,1722713184006,3,19775,19529,59327,0.0,0,0,0,28,SUCCESS,19775,8Kb4MsxhS-SIZiV6wGQiZg
44,Origami,1722928056579,3,19930,19267,59790,0.0,0,0,0,50,SUCCESS,19930,xOcXWdU4QdeaSGZy6VYZjQ
45,GoodEveningWeAreFromUkraine,1722625715490,3,19974,18264,59923,0.3333333333333333,0,1,1,12,SUCCESS,19974,oX4dpYxLTFG2UU6NprA-7g
46,Cinderpelt,1722732153610,3,19975,19259,59926,0.0,0,0,0,4,SUCCESS,19975,1UgtHyGoRa-lnh8JgVEtuw
