Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,ZoD,1724995205548,3,11862,11599,35588,0.0,0,0,0,50,SUCCESS,11862,TFtvCas4TRWchrBPMyGh0A
2,rosscomp1,1725119133673,3,11863,11668,35591,0.0,0,0,0,50,SUCCESS,11863,fb0d597a87f94697aa1c6w
3,Nariox,1724965202584,3,12041,11802,36124,0.0,0,0,0,50,SUCCESS,12041,AUWR9HasSr2j2V1bbAptNw
4,AIDeepRacer,1725065133027,3,12063,11800,36191,0.0,0,0,0,48,SUCCESS,12063,pIRbdCx6QYatgVXm2p5GbA
5,CodeMachine,1725148591300,3,12066,11867,36198,0.0,0,0,0,22,SUCCESS,12066,b_WzN_r8ToGPle_8bl2tMA
6,MarkRoss,1724945519439,3,12154,11800,36462,0.0,0,0,0,50,SUCCESS,12154,9OT4p4dXQ2K2J5pOUfeGfg
7,JJ,1724507499169,3,12197,11866,36592,0.0,0,0,0,12,SUCCESS,12197,afdcX_4vRH6Ussd0mbg5LQ
8,Liao,1724504925066,3,12218,11802,36655,0.0,0,0,0,48,SUCCESS,12218,1mW7p6I1Q0-cB3Up-esBeQ
9,flatearth,1725140833438,3,12263,11928,36790,0.0,0,0,0,7,SUCCESS,12263,9e3a9607a4e04ba2b1a49w
10,JPMC-BA-MiguelG,1725101782458,3,12309,12068,36929,0.0,0,0,0,50,SUCCESS,12309,ITPfFYXmSXKi3TqsvUHRKw
11,DBro,1725135159905,3,12421,12069,37264,0.0,0,0,0,38,SUCCESS,12421,jEkEOpjZRhGUbyDZIfTo_A
12,Deepak-dpk,1725114476277,3,12532,12138,37598,0.0,0,0,0,48,SUCCESS,12532,gDTBFK77TM6wD6uObZlulA
13,IcePandaBoom,1725103144834,3,12551,12197,37655,0.0,0,0,0,50,SUCCESS,12551,BTPWujqqTBOWGAFvEKyRaA
14,BSi,1725108814736,3,12575,12201,37727,0.0,0,0,0,50,SUCCESS,12575,2eb231b0a43f4940bfed3w
15,LeadingAI,1725141132981,3,12618,12334,37856,0.0,0,0,0,38,SUCCESS,12618,VP5wwaH5T4GciaMX2ocEvQ
16,DaVinciDriver,1725082079683,3,12641,12058,37923,0.0,0,0,0,50,SUCCESS,12641,XtzXYz2pRByDnXz90XNGSw
17,BennyLBS,1725148715416,3,12727,12454,38183,0.0,0,0,0,49,SUCCESS,12727,wD3fjDFZTJaZd9AU7WRDlA
18,AsynchronousSpec#1681,1725144876899,3,12730,12329,38192,0.0,0,0,0,13,SUCCESS,12730,4bq1EB_VR_mojDz6q1J1eg
19,janicedal,1725110464164,3,12753,12463,38261,0.0,0,0,0,50,SUCCESS,12753,OwKO9HTAS66Q0EhLegROgg
20,TonyJ,1724941864316,3,12773,12469,38321,0.0,0,0,0,50,SUCCESS,12773,af962be5a4ed4c57af807w
21,m45,1725098614409,3,12773,12467,38320,0.0,0,0,0,50,SUCCESS,12773,EUSWllrrTRep0vB4VQ4RSg
22,nickyl,1725091894986,3,12797,12469,38392,0.0,0,0,0,48,SUCCESS,12797,O0GALYAoRfGA0kUV6ftgqQ
23,JPMC-Rogue-COL,1725119591014,3,12820,12727,38462,0.0,0,0,0,48,SUCCESS,12820,_W5Y-ICNSuGKBn7bvv8qzw
24,MattCamp,1724319142573,3,12820,12660,38460,0.0,0,0,0,50,SUCCESS,12820,9z8BN2mkSj-Dlb_Chg_0Hw
25,Fr3d,1724001431883,3,12820,12599,38460,0.0,0,0,0,47,SUCCESS,12820,7x6nmMRlQiWawqJ8wUE7jA
26,JPMC-RacingRhino,1725077061290,3,12839,12673,38519,0.0,0,0,0,50,SUCCESS,12839,3b8cUKuuQfOWQgfjZSeVFw
27,SuperShawn,1725147823612,3,12864,12665,38593,0.0,0,0,0,43,SUCCESS,12864,ua_u7fduQnCT1hn-GumqVQ
28,Eviden-Simon,1724922682255,3,12886,12588,38660,0.0,0,0,0,49,SUCCESS,12886,3XLO68TWRzyd6zo4IaoNYQ
29,RaptorsCA,1724203978397,3,12886,12599,38660,0.0,0,0,0,7,SUCCESS,12886,SLiCNy3KQr-X3LCO9wrkoA
30,Kamiloj-ADL,1724806281970,3,12887,12665,38663,0.0,0,0,0,44,SUCCESS,12887,jmVlUw3DTUubDDSk3oOaPA
31,-Just-Be-Better-,1725107438054,3,12888,12737,38664,0.0,0,0,0,49,SUCCESS,12888,X_dNmJilS8SDBQ44yzd2fg
32,Duckworth,1725112084959,3,12931,12789,38793,0.0,0,0,0,50,SUCCESS,12931,VIu9BQ4-Th6gUqu60ztwUQ
33,barkingdog,1725038323431,3,12952,12529,38857,0.0,0,0,0,47,SUCCESS,12952,b3960b6c6f58458880ceew
34,sxpnp,1725120441746,3,13040,12607,39122,0.0,0,0,0,50,SUCCESS,13040,GPJ-D-O9QSaDEqnHgTcAhQ
35,JerryLee,1725072041945,3,13198,12803,39594,0.0,0,0,0,50,SUCCESS,13198,BMjoJ3L7ShGsF5gA1lHdkw
36,Jerec,1725106974832,3,13263,13002,39790,0.0,0,0,0,50,SUCCESS,13263,RH6ep-5mRmmVLqHClba8_Q
37,AJM-Model-1,1725026297187,3,13375,12801,40127,0.0,0,0,0,13,SUCCESS,13375,gdsU9bkGRWW7LTEHP4rGgQ
38,SteveW-BJSS,1725102469909,3,13396,13203,40190,0.0,0,0,0,25,SUCCESS,13396,bt0g0Yx0R7KyvbtojGlP4A
