Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
rosscomp1,1649688257812,1,25535,25535,157943,0.0,0,0,0,1,1,SUCCESS,25535,OPEN,fb0d597a87f94697aa1c6w
DBro,1649688037414,1,25801,25801,161387,0.16666666666666666,0,1,1,1,2,SUCCESS,25801,OPEN,jEkEOpjZRhGUbyDZIfTo_A
Duckworth,1649593927225,1,25802,25802,162373,0.16666666666666666,0,1,1,1,3,SUCCESS,25802,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
Karl-NAB,1649678044363,1,26472,26472,170931,0.5,0,3,3,1,4,SUCCESS,26472,OPEN,4vOOxLIsSjeL2WFaO5o_fQ
TonyJ,1649678730946,1,26542,26542,174850,0.5,1,2,3,1,5,SUCCESS,26542,OPEN,af962be5a4ed4c57af807w
ZoD,1649674604240,1,27249,27249,158926,1.2,1,5,6,1,6,SUCCESS,27249,OPEN,TFtvCas4TRWchrBPMyGh0A
Deepak-dpk,1649688032786,1,27933,27933,174463,0.16666666666666666,0,1,1,1,7,SUCCESS,27933,OPEN,gDTBFK77TM6wD6uObZlulA
Rober,1649679044269,1,28603,28603,150805,0.4,0,2,2,1,8,SUCCESS,28603,OPEN,KrRSYhzKTfONjRaDUc_ubQ
AJM-Model-1,1649621119205,1,29666,29666,163330,0.6,0,3,3,1,9,SUCCESS,29666,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
RobinCastro-DBS,1649687370847,1,31672,31672,179064,1.8,9,0,9,1,10,SUCCESS,31672,OPEN,7KrbyQXvTBOxnBa0p9YuUA
PolishThunder,1649687834317,1,31938,31938,170798,4.0,3,13,16,1,11,SUCCESS,31938,OPEN,qi512oGVTry8V-KtP6j2_w
AIDeepRacer,1649687925826,1,32268,32268,173071,1.6,0,8,8,1,12,SUCCESS,32268,OPEN,pIRbdCx6QYatgVXm2p5GbA
Ensono-Ernesto,1649661526418,1,33939,33939,79245,2.5,3,2,5,1,13,SUCCESS,33939,OPEN,8zBEAp0-S5yGbcZvytGZGQ
JPMC-DriftKing-Houston,1649685808878,1,68407,68407,168259,13.5,20,7,27,1,14,SUCCESS,68407,OPEN,fngewpiZSZm11yX7YgwnMA
