Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
flatearth,1649686881768,1,25071,25071,162992,0.3333333333333333,1,1,2,2,1,SUCCESS,25071,OPEN,9e3a9607a4e04ba2b1a49w
JJ,1649694543147,1,25134,25134,156924,0.16666666666666666,0,1,1,2,2,SUCCESS,25134,OPEN,afdcX_4vRH6Ussd0mbg5LQ
rosscomp1,1649688257812,1,25535,25535,157943,0.0,0,0,0,2,3,SUCCESS,25535,OPEN,fb0d597a87f94697aa1c6w
DBro,1649688037414,1,25801,25801,161387,0.16666666666666666,0,1,1,2,4,SUCCESS,25801,OPEN,jEkEOpjZRhGUbyDZIfTo_A
Duckworth,1649593927225,1,25802,25802,162373,0.16666666666666666,0,1,1,2,5,SUCCESS,25802,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
Karl-NAB,1649694851069,1,26329,26329,168177,0.3333333333333333,0,2,2,2,6,SUCCESS,26329,OPEN,4vOOxLIsSjeL2WFaO5o_fQ
TonyJ,1649678730946,1,26542,26542,174850,0.5,1,2,3,2,7,SUCCESS,26542,OPEN,af962be5a4ed4c57af807w
ZoD,1649674604240,1,27249,27249,158926,1.2,1,5,6,2,8,SUCCESS,27249,OPEN,TFtvCas4TRWchrBPMyGh0A
Deepak-dpk,1649688032786,1,27933,27933,174463,0.16666666666666666,0,1,1,2,9,SUCCESS,27933,OPEN,gDTBFK77TM6wD6uObZlulA
Rober-rNiubo,1649694541899,1,27936,27936,155657,0.6,0,2,3,2,10,SUCCESS,27936,OPEN,KrRSYhzKTfONjRaDUc_ubQ
AJM-Model-1,1649621119205,1,29666,29666,163330,0.6,0,3,3,2,11,SUCCESS,29666,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
AIDeepRacer,1649694860831,1,30128,30128,169003,1.2,0,6,6,2,12,SUCCESS,30128,OPEN,pIRbdCx6QYatgVXm2p5GbA
RobinCastro-DBS,1649687370847,1,31672,31672,179064,1.8,9,0,9,2,13,SUCCESS,31672,OPEN,7KrbyQXvTBOxnBa0p9YuUA
PolishThunder,1649687834317,1,31938,31938,170798,4.0,3,13,16,2,14,SUCCESS,31938,OPEN,qi512oGVTry8V-KtP6j2_w
Ernesto-PhilJ,1649694598805,1,32543,32543,144675,2.0,6,2,8,2,15,SUCCESS,32543,OPEN,8zBEAp0-S5yGbcZvytGZGQ
JPMC-DriftKing-Houston,1649685808878,1,68407,68407,168259,13.5,20,7,27,2,16,SUCCESS,68407,OPEN,fngewpiZSZm11yX7YgwnMA
