Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,GiangCao,1694488957151,3,17818,17465,53456,0.0,0,0,0,6,SUCCESS,53456,SvCT5KRiSwSjBHDgsrmksg
2,IcePandaBoom,1694247516987,3,18151,17801,54455,0.0,0,0,0,4,SUCCESS,54455,BTPWujqqTBOWGAFvEKyRaA
3,PolishThunder,1694546609602,3,18486,18137,55460,0.0,0,0,0,10,SUCCESS,55460,qi512oGVTry8V-KtP6j2_w
4,CodeMachine,1693898102398,3,18511,18134,55533,0.0,0,0,0,13,SUCCESS,55533,b_WzN_r8ToGPle_8bl2tMA
5,TonyJ,1694513311832,3,18511,18209,55535,0.0,0,0,0,1,SUCCESS,55535,af962be5a4ed4c57af807w
6,DoomBuggy,1694049699853,3,18863,18528,56591,0.0,0,0,0,9,SUCCESS,56591,QakV_nzOTm2q_NhqUMwIJw
7,DaVinciDriver,1694499189255,3,18932,18661,56797,0.0,0,0,0,10,SUCCESS,56797,XtzXYz2pRByDnXz90XNGSw
8,Off-track,1694136587632,3,18956,18466,56869,0.0,0,0,0,9,SUCCESS,56869,1R021ZoDQrqxSUiHfBvyEw
9,JPMC-Speedy-Gonzales-LATAM,1694520747898,3,19374,19263,58122,0.0,0,0,0,10,SUCCESS,58122,McOa_W8cTW2EErfZhOoKxA
10,KM-Harrier,1694445240197,3,19795,19534,59386,0.0,0,0,0,6,SUCCESS,59386,3b8cUKuuQfOWQgfjZSeVFw
11,BSi,1693979599131,3,19818,19206,59454,0.0,0,0,0,15,SUCCESS,59454,2eb231b0a43f4940bfed3w
12,RobinCastro-DBS,1694557444960,3,19953,19672,59860,0.0,0,0,0,3,SUCCESS,59860,7KrbyQXvTBOxnBa0p9YuUA
13,JPMC-LONDON-HandsFree,1693762791425,3,20061,19734,60184,0.0,0,0,0,4,SUCCESS,60184,DZAYqyd-Tp6eE15IopWCgQ
14,Eviden-Mark-Ross,1693595907919,3,20508,20195,61526,0.0,0,0,0,1,SUCCESS,61526,F_ThjPFRSx-guPadHlwEuA
15,XMaroRadoX,1694196722340,3,21153,20587,63460,0.0,0,0,0,16,SUCCESS,63460,ZMEvNhxmRoeSePlAzJQDqA
16,-SANTACLAWS-,1694506552846,3,21153,21077,63460,0.0,0,0,0,12,SUCCESS,63460,X_dNmJilS8SDBQ44yzd2fg
17,tranvietdung-DBS,1694146475970,3,21307,21199,63921,0.0,0,0,0,14,SUCCESS,63921,3OwVWi6tQDCpBzKpWfHj7Q
18,makit,1693736343071,3,21508,21132,64524,0.0,0,0,0,8,SUCCESS,64524,FQ4kxx42Rn-ywzWMVEad0A
19,stu024,1694043219416,3,21554,21006,64664,0.0,0,0,0,49,SUCCESS,64664,dBGHfillQDyA4X4ypNB-Cw
20,barkingdog,1693912982643,3,21571,19991,64713,0.3333333333333333,0,1,1,2,SUCCESS,64713,b3960b6c6f58458880ceew
21,chuncheon-15,1694116612997,3,21946,21267,65840,0.0,0,0,0,7,SUCCESS,65840,U4WdYXuIToK-CiBlwYOqDA
22,Bugek,1694356587662,3,21972,21464,65918,0.0,0,0,0,4,SUCCESS,65918,JpsQKJ8SRvGcKCfABVyMkQ
23,ITS-Kura,1694161675127,3,22040,21668,66122,0.0,0,0,0,17,SUCCESS,66122,0KlPowM7Rsm-6depdUzXOg
24,bjsong,1694053225274,3,22198,22002,66595,0.0,0,0,0,50,SUCCESS,66595,WLPl8806RBmGR6WsZaOBDQ
25,FocusedTest#1892,1694242754296,3,22221,21610,66665,0.0,0,0,0,12,SUCCESS,66665,L5fWMLwORF6XlcDzi83xYA
26,TimJWhite,1693810977094,3,22328,22197,66985,0.0,0,0,0,16,SUCCESS,66985,3dDHylmQSi-Rzd9uUamhlQ
27,Evidently-Rob-Rixson,1694581620273,3,22332,22058,66996,0.0,0,0,0,1,SUCCESS,66996,IZ3qRbf-R9mgpUp1M53zjA
28,JPMC-London-Adam,1694224846266,3,22371,22196,67113,0.0,0,0,0,15,SUCCESS,67113,MKyQktY7RcKa36uMHbmmJQ
29,chuncheon-16,1693998490942,3,22394,21730,67182,0.0,0,0,0,20,SUCCESS,67182,S_HtSVJ1RTOEWu-IHHDAVQ
30,Marco-Eviden,1693742539787,3,22601,20471,67804,0.3333333333333333,0,1,1,1,SUCCESS,67804,Hg2CJNXMRmijQmd_jMSJyw
31,chuncheon-17,1694099614900,3,22707,22528,68121,0.0,0,0,0,4,SUCCESS,68121,-d4p1dIPT1CEfwKSwlHsNA
32,chuncheon-20,1694019335285,3,22775,21733,68327,0.0,0,0,0,14,SUCCESS,68327,C9GQ90uLRlCOFgpF10rxfw
33,chuncheon-08,1693977903149,3,22883,22592,68651,0.0,0,0,0,5,SUCCESS,68651,ujPctfPCSOi_xEpO_84efQ
34,PITS-1,1694579311313,3,22885,21201,68656,0.3333333333333333,0,1,1,6,SUCCESS,68656,CThkSPLERtyRM5OptykzEQ
35,chuncheon-07,1694005524678,3,22907,22882,68722,0.0,0,0,0,26,SUCCESS,68722,JfPm1ByPTfyx8wh4Q-iz1A
36,Mungi,1694313119173,3,23041,22672,69124,0.0,0,0,0,2,SUCCESS,69124,RgTvucbNQja7yiYbgh2p9A
37,chuncheon-25,1694113811831,3,23176,22803,69530,0.0,0,0,0,34,SUCCESS,69530,O1fsqfsCRbWjRnTQIEQkNQ
38,GoodEveningWeAreFromUkraine,1694110740667,3,23329,22727,69987,0.0,0,0,0,7,SUCCESS,69987,oX4dpYxLTFG2UU6NprA-7g
39,Galileo,1694369397290,3,23361,20270,70084,0.6666666666666666,0,2,2,7,SUCCESS,70084,Y79AzaaOR-u4LVKMxu1Mdw
40,733612726221-SG23-Jianlong,1693578899863,3,23461,22862,70383,0.0,0,0,0,10,SUCCESS,70383,vpsHYdBtSIq__1M9j1R21Q
41,chuncheon-06,1694141648426,3,23485,22260,70456,0.3333333333333333,0,1,1,7,SUCCESS,70456,KG6Ru4gfSI6u7G1Bmp6A5w
42,ITS-yam,1694423191070,3,23724,22077,71174,0.3333333333333333,0,1,1,32,SUCCESS,71174,4VWteXpBTQePbAKgQCbTjw
43,CYC-NYCU,1694543089735,3,23799,22660,71399,0.6666666666666666,0,2,2,2,SUCCESS,71399,j5tp4OH7Tg22hlwnPfhtvQ
44,chuncheon-04,1693815608765,3,23839,23677,71519,0.0,0,0,0,9,SUCCESS,71519,x11EdWlWT6WQZyh_9WclVw
45,nalbam-me,1693967186059,3,23887,23146,71661,0.0,0,0,0,8,SUCCESS,71661,PnRru4vBRkeyT4xX6LOCtw
46,JPMC-AngryWookie-Columbus,1694398181799,3,23959,23604,71879,1.0,0,3,3,1,SUCCESS,71879,rIIziACfQnGou4zeDTbyTg
47,CH-Shin#technopro,1694284067867,3,24219,23602,72659,0.0,0,0,0,22,SUCCESS,72659,z_o7oTr8SwyPS6Qq-D4Uvw
