Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1695649306308,3,17325,17124,51977,0.0,0,0,0,48,SUCCESS,51977,fb0d597a87f94697aa1c6w
2,JJ,1696041065176,3,17597,17201,52791,0.0,0,0,0,31,SUCCESS,52791,afdcX_4vRH6Ussd0mbg5LQ
3,GiangCao,1694488957151,3,17818,17465,53456,0.0,0,0,0,11,SUCCESS,53456,SvCT5KRiSwSjBHDgsrmksg
4,Yoway-NYCU-CGI,1695832397592,3,17859,17595,53579,0.0,0,0,0,1,SUCCESS,53579,1fBE9Y-DR4aOhdY6ydu-rA
5,GaoRanger96,1694671437012,3,17975,17862,53926,0.0,0,0,0,2,SUCCESS,53926,l7ZU5e64ToWJAKgDYUDeyQ
6,TonyJ,1696031826002,3,18010,17696,54031,0.0,0,0,0,47,SUCCESS,54031,af962be5a4ed4c57af807w
7,IcePandaBoom,1695706867528,3,18104,17669,54313,0.0,0,0,0,45,SUCCESS,54313,BTPWujqqTBOWGAFvEKyRaA
8,Duckworth,1696067508177,3,18134,17657,54402,0.0,0,0,0,27,SUCCESS,54402,VIu9BQ4-Th6gUqu60ztwUQ
9,ZhengYi-NYCU-CGI,1695292259063,3,18260,18063,54780,0.0,0,0,0,1,SUCCESS,54780,qY4J9IzvQS6a1N-KZXwviA
10,AJM-Model-1,1695141801980,3,18262,17929,54786,0.0,0,0,0,24,SUCCESS,54786,gdsU9bkGRWW7LTEHP4rGgQ
11,PolishThunder,1694546609602,3,18486,18137,55460,0.0,0,0,0,50,SUCCESS,55460,qi512oGVTry8V-KtP6j2_w
12,DaVinciDriver,1696099695860,3,18505,18273,55515,0.0,0,0,0,48,SUCCESS,55515,XtzXYz2pRByDnXz90XNGSw
13,CodeMachine,1693898102398,3,18511,18134,55533,0.0,0,0,0,20,SUCCESS,55533,b_WzN_r8ToGPle_8bl2tMA
14,RayG-DBS,1696118373456,3,18548,18195,55645,0.0,0,0,0,35,SUCCESS,55645,YNrvM9f5RteeSrCl7oFC5w
