Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1655700607522,3,18333,18131,54999,0.0,0,0,0,2927,1,SUCCESS,54999,PRO,afdcX_4vRH6Ussd0mbg5LQ
rosscomp1,1655546169375,3,19420,19025,58261,0.0,0,0,0,917,2,SUCCESS,58261,PRO,fb0d597a87f94697aa1c6w
Karl-NAB,1655799313587,3,19528,19068,58584,0.0,0,0,0,3220,3,SUCCESS,58584,PRO,4vOOxLIsSjeL2WFaO5o_fQ
ADA,1655119458125,3,19569,19397,58708,0.0,0,0,0,767,4,SUCCESS,58708,PRO,KiqOhQPjTamuBXicXnKGEA
ZoD,1655803566549,3,19706,19399,59118,0.0,0,0,0,3555,5,SUCCESS,59118,PRO,TFtvCas4TRWchrBPMyGh0A
TonyJ,1655768947774,3,19810,19648,59431,0.0,0,0,0,3789,6,SUCCESS,59431,PRO,af962be5a4ed4c57af807w
Ensono-Ernesto,1655412482660,3,20000,19583,60002,0.0,0,0,0,1428,7,SUCCESS,60002,PRO,8zBEAp0-S5yGbcZvytGZGQ
dartjason,1655584544363,3,20025,19600,60075,0.0,0,0,0,1611,8,SUCCESS,60075,PRO,JSflDq5rQgKEuA5Ots4kDQ
MattCamp,1655773217859,3,20119,19662,60359,0.0,0,0,0,3611,9,SUCCESS,60359,PRO,9z8BN2mkSj-Dlb_Chg_0Hw
Duckworth,1655831406715,3,20131,19927,60394,0.0,0,0,0,774,10,SUCCESS,60394,PRO,VIu9BQ4-Th6gUqu60ztwUQ
JPMC-LONDON-HandsFree,1655759865507,3,20221,19604,60663,0.0,0,0,0,391,11,SUCCESS,60663,PRO,DZAYqyd-Tp6eE15IopWCgQ
DaVinciDriver,1654966027626,3,20610,20282,61830,0.0,0,0,0,102,12,SUCCESS,61830,PRO,XtzXYz2pRByDnXz90XNGSw
JPMC-TeamOne-BuenosAires,1655440676339,3,20666,20481,61999,0.0,0,0,0,575,13,SUCCESS,61999,PRO,Fy8bvUIzSN-N-e3D74JhPw
Doug-Racer,1655736543832,3,20686,20189,62059,0.0,0,0,0,1086,14,SUCCESS,62059,PRO,1R021ZoDQrqxSUiHfBvyEw
ferrite,1655061637561,3,20768,20403,62304,0.0,0,0,0,872,15,SUCCESS,62304,PRO,SRAgn9lMTCmIjaBREP7hxA
mattpurc,1655727557026,3,21022,20850,63068,0.0,0,0,0,1578,16,SUCCESS,63068,PRO,6Z34CS1gR_y9iNV07S4pjQ
AJM-Model-1,1655816402143,3,21086,20728,63260,0.0,0,0,0,510,17,SUCCESS,63260,PRO,gdsU9bkGRWW7LTEHP4rGgQ
LeadingAI,1655720994691,3,21309,20872,63927,0.0,0,0,0,211,18,SUCCESS,63927,PRO,VP5wwaH5T4GciaMX2ocEvQ
