Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1655700607522,3,18333,18131,54999,0.0,0,0,0,5463,1,SUCCESS,54999,PRO,afdcX_4vRH6Ussd0mbg5LQ
rosscomp1,1656245220228,3,19328,18999,57986,0.0,0,0,0,2840,2,SUCCESS,57986,PRO,fb0d597a87f94697aa1c6w
Karl-NAB,1656377312281,3,19347,19131,58041,0.0,0,0,0,5497,3,SUCCESS,58041,PRO,4vOOxLIsSjeL2WFaO5o_fQ
ADA,1655119458125,3,19569,19397,58708,0.0,0,0,0,767,4,SUCCESS,58708,PRO,KiqOhQPjTamuBXicXnKGEA
ZoD,1656482044937,3,19670,19339,59010,0.0,0,0,0,5763,5,SUCCESS,59010,PRO,TFtvCas4TRWchrBPMyGh0A
Duckworth,1656252007026,3,19797,19468,59393,0.0,0,0,0,1961,6,SUCCESS,59393,PRO,VIu9BQ4-Th6gUqu60ztwUQ
TonyJ,1655768947774,3,19810,19648,59431,0.0,0,0,0,6260,7,SUCCESS,59431,PRO,af962be5a4ed4c57af807w
JPMC-LONDON-HandsFree,1656095831164,3,19820,19603,59461,0.0,0,0,0,547,8,SUCCESS,59461,PRO,DZAYqyd-Tp6eE15IopWCgQ
Jochem,1656284203821,3,19844,19399,59534,0.0,0,0,0,1550,9,SUCCESS,59534,PRO,RBPhZc5eTVmEF_gpSV7skg
MattCamp,1655971475929,3,19998,19610,59995,0.0,0,0,0,5382,10,SUCCESS,59995,PRO,9z8BN2mkSj-Dlb_Chg_0Hw
Ernesto-PhilJ,1655412482660,3,20000,19583,60002,0.0,0,0,0,2738,11,SUCCESS,60002,PRO,8zBEAp0-S5yGbcZvytGZGQ
dartjason,1655584544363,3,20025,19600,60075,0.0,0,0,0,3099,12,SUCCESS,60075,PRO,JSflDq5rQgKEuA5Ots4kDQ
Fumiaki,1656594037563,3,20067,19812,60202,0.0,0,0,0,2136,13,SUCCESS,60202,PRO,5RzBNYRAQoWVausi3eyhRg
Off-track,1656532686123,3,20152,19871,60456,0.0,0,0,0,3449,14,SUCCESS,60456,PRO,1R021ZoDQrqxSUiHfBvyEw
AJM-Model-1,1656561781729,3,20241,19599,60725,0.0,0,0,0,1565,15,SUCCESS,60725,PRO,gdsU9bkGRWW7LTEHP4rGgQ
JPMC-BMTH-CTRL-PLUS-SPEED,1655948166182,3,20316,19952,60949,0.0,0,0,0,775,16,SUCCESS,60949,PRO,TSoego0RTCazPagbkqTnlw
RobinCastro-DBS,1656631260500,3,20416,20191,61248,0.0,0,0,0,861,17,SUCCESS,61248,PRO,7KrbyQXvTBOxnBa0p9YuUA
JPMC-BA-D3,1656105066933,3,20507,20206,61522,0.0,0,0,0,1238,18,SUCCESS,61522,PRO,Fy8bvUIzSN-N-e3D74JhPw
DaVinciDriver,1654966027626,3,20610,20282,61830,0.0,0,0,0,102,19,SUCCESS,61830,PRO,XtzXYz2pRByDnXz90XNGSw
ferrite,1656622238132,3,20618,20329,61855,0.0,0,0,0,1315,20,SUCCESS,61855,PRO,SRAgn9lMTCmIjaBREP7hxA
LeadingAI,1656630075584,3,20618,20471,61855,0.0,0,0,0,1829,21,SUCCESS,61855,PRO,VP5wwaH5T4GciaMX2ocEvQ
JPMC-DriftKing-Houston,1656572861444,3,20633,20260,61900,0.0,0,0,0,438,22,SUCCESS,61900,PRO,fngewpiZSZm11yX7YgwnMA
mattpurc,1656024042962,3,21016,20590,63048,0.0,0,0,0,3205,23,SUCCESS,63048,PRO,6Z34CS1gR_y9iNV07S4pjQ
Aurora-DNPds,1656423005997,3,21335,20649,64006,0.0,0,0,0,1985,24,SUCCESS,64006,PRO,26fba66bedca4aa3bca47w
barkingdog,1655510752375,3,21377,20463,64132,0.0,0,0,0,3223,25,SUCCESS,64132,PRO,b3960b6c6f58458880ceew
SG-JPMC-03,1656369294276,3,21405,20672,64217,0.0,0,0,0,1106,26,SUCCESS,64217,PRO,LJzDpiNuTFeHu9dsqp1APw
CGS-Huge-Hadr0n,1654752156704,3,21423,21012,64269,0.0,0,0,0,377,27,SUCCESS,64269,PRO,63LA0_QCQ1-fRLzXgWmAeQ
AIDeepRacer,1656415836157,3,21503,20288,64511,0.3333333333333333,0,1,1,368,28,SUCCESS,64511,PRO,pIRbdCx6QYatgVXm2p5GbA
