Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
TRINITY,1662056687092,3,23107,21340,69323,0.6666666666666666,0,2,2,2,1,SUCCESS,69323,OPEN,RKxYLURSQdq1QzBnc72XhA
DeepInterface#1383,1662202431274,3,24574,24330,73722,0.0,0,0,0,26,2,SUCCESS,73722,OPEN,JjmVAhaTQUeLJzyDaefuIQ
Team-CatchUp-Gus,1662027749208,3,25330,24935,75990,1.0,0,3,3,15,3,SUCCESS,75990,OPEN,Bi7enumLQEa2v8nZX5k3IA
KmartFreshFacedAndFlawlessCooperMarshall,1662082067640,3,25710,24999,77132,1.0,0,3,3,23,4,SUCCESS,77132,OPEN,bJqc1CwQRh22pyW-s12MZw
Donahue,1662043031931,3,25795,24470,77387,1.3333333333333333,0,4,4,1,5,SUCCESS,77387,OPEN,ZnOs1_qxTaaaV7bBPRmMkA
NewMachineLearners-RK,1662034895918,3,25907,24592,77723,1.3333333333333333,0,4,4,2,6,SUCCESS,77723,OPEN,aWi829QsQreOlXsPVJbNoA
FocusedValue#6330,1662144889194,3,26021,24668,78063,1.3333333333333333,0,4,4,12,7,SUCCESS,78063,OPEN,fg9dadsFTFC1Hr1KEkGqvQ
BetaDescriptor#3564,1662036004196,3,26287,24801,78862,0.3333333333333333,0,1,1,1,8,SUCCESS,78862,OPEN,oNXWB8SCQ92IsYahVV_BTw
ArtificialAnalyst#1602,1662076380461,3,26361,24401,79084,0.3333333333333333,0,1,1,7,9,SUCCESS,79084,OPEN,JH8cP-X8TZ-RvRNBbzRMcw
OfficeworksRacerTXAnthonyCampbell,1662010143452,3,26820,23442,80460,2.0,0,6,6,38,10,SUCCESS,80460,OPEN,xmIdUOrnQoK_cbTHT8emdA
flybuys-bayesian-networks-sumanta-roy,1662108334480,3,27085,24599,81257,0.6666666666666666,0,2,2,7,11,SUCCESS,81257,OPEN,BGUe4eYvQzex-SABGyCB8w
Dynamite,1662041438045,3,27108,25464,81324,1.3333333333333333,0,4,4,30,12,SUCCESS,81324,OPEN,Qxo9qjeITRCimrJE78huHQ
Brick2,1662033915821,3,27574,24997,82724,2.0,0,6,6,4,13,SUCCESS,82724,OPEN,tJMfqKOwReuFufGOOoSHBA
FB-DimensionalityReduction-RP,1662033800078,3,27619,26195,82859,1.3333333333333333,0,4,4,8,14,SUCCESS,82859,OPEN,rZeq1OBCR7y5K13kTxdnOQ
Officeworks-RacerTX-SantiagoA,1662074012700,3,27620,27472,82861,1.0,0,3,3,13,15,SUCCESS,82861,OPEN,yopkvXFgQUyBOrDq3Eg7Nw
TeamAutopilot,1662055487719,3,27667,22997,83003,2.3333333333333335,0,7,7,2,16,SUCCESS,83003,OPEN,5IiBkZx4TheXqbhpKpNMzQ
ElasticLobster,1662236992564,3,27731,26069,83194,0.3333333333333333,0,1,1,7,17,SUCCESS,83194,OPEN,VQ3UbZR8QDKgYZItIgeacg
Catch-me-if-you-can-Alex-Ong,1662154732082,3,27889,24670,83668,1.0,0,3,3,3,18,SUCCESS,83668,OPEN,bwHp4cgcQuqd5iqYLQpcww
Elodie,1661997413273,3,27933,27599,83801,1.0,0,3,3,1,19,SUCCESS,83801,OPEN,M45-X2uvRn-AW83AVrQVaA
Officeworks-RacerTX-MichaelClark,1662107199064,3,28130,27394,84391,1.0,0,3,3,24,20,SUCCESS,84391,OPEN,LImS6RpgTJKj4lbTiOR-qw
DigitalLine#4305,1662231763604,3,28263,26864,84791,0.3333333333333333,0,1,1,9,21,SUCCESS,84791,OPEN,nskC2N1QTFi-bQxWbtt06g
Catch-me-if-you-can-Jack-Benatar,1662153562198,3,28264,24001,84793,2.0,0,6,6,21,22,SUCCESS,84793,OPEN,sb2ICVwaTJ2pYw7rgIc8aA
OneDigitalSupernovaAnnaShevchenko,1662208253176,3,28319,25400,84957,0.6666666666666666,0,2,2,2,23,SUCCESS,84957,OPEN,7C3l1YXkRMqLIZe6hpwZRQ
Maomei1,1662036732241,3,28487,24399,85462,1.0,0,3,3,13,24,SUCCESS,85462,OPEN,4f9E_ZXBQ_GGlea45GRnVQ
FungibleFormula#7683,1662235510510,3,28731,28405,86193,1.0,0,3,3,1,25,SUCCESS,86193,OPEN,Y7RronWOTcer6hILVZOaBA
KAS-F1Tesla-RaviMudhol,1662111142533,3,28842,27865,86527,0.3333333333333333,0,1,1,13,26,SUCCESS,86527,OPEN,pe1fkljjRBSAYFGlgt5fnw
LiLingYin,1662041159128,3,28842,28471,86528,0.0,0,0,0,9,27,SUCCESS,86528,OPEN,7rvXTft9S-KqGNVSMNcwJQ
IterativeNode#2598,1662024365109,3,28889,28668,86668,1.0,0,3,3,7,28,SUCCESS,86668,OPEN,m4XlAR9JRSKafDCcMhMA1w
fire-colintan,1662146607791,3,28975,27739,86926,1.3333333333333333,0,4,4,24,29,SUCCESS,86926,OPEN,zf7tCfrzSAOi6kJe-iisqg
NewMachineLearners-RM,1662125280320,3,29064,28867,87194,1.0,0,3,3,3,30,SUCCESS,87194,OPEN,bJsn4Sv9S2G03xxrIQeqJw
NullServer#9880,1662171984009,3,29089,27474,87267,1.3333333333333333,0,4,4,6,31,SUCCESS,87267,OPEN,iWZF3-eMQyOaTvXo-yvrVA
NullSchematic#0616,1662122373947,3,29108,23530,87325,2.6666666666666665,0,8,8,2,32,SUCCESS,87325,OPEN,pUDqX82PTYqVFEPkz8GdHQ
WekRacer,1662034910518,3,29152,28194,87456,0.3333333333333333,0,1,1,2,33,SUCCESS,87456,OPEN,LiNdKnlNSoqjuaSIBcviBA
ConnectedSystem#0236,1662040467452,3,29153,25722,87459,1.6666666666666667,0,5,5,14,34,SUCCESS,87459,OPEN,mQuLZDUgTtKvYcW6C5z1NA
PUMA,1662118126730,3,29180,21528,87541,2.0,0,6,6,9,35,SUCCESS,87541,OPEN,SBWlvhgAS0Sn3H2ZQtbsNA
OFC,1662153597002,3,29221,28123,87665,2.3333333333333335,0,7,7,15,36,SUCCESS,87665,OPEN,beiWS5yvQRyCxY3iwH6edQ
Ninabit,1661997646542,3,29232,28395,87696,1.0,0,3,3,2,37,SUCCESS,87696,OPEN,sWa4qIEsQWqdhNprFx26Ag
TUIFastAndFurious,1662128950748,3,29307,26733,87922,0.6666666666666666,0,2,2,3,38,SUCCESS,87922,OPEN,-HVpKPgBQjeABi7w8uEDKQ
Xiomar,1662084993884,3,29316,22950,87949,2.6666666666666665,0,8,8,1,39,SUCCESS,87949,OPEN,bNG-BKCUTVyy3SQXMiS7zA
TechnicalClass#5704,1662044185955,3,29397,28994,88193,0.0,0,0,0,1,40,SUCCESS,88193,OPEN,SwGyWubxRN-EX46HMKdPEA
Umi,1662088507198,3,29463,28792,88390,1.0,0,3,3,1,41,SUCCESS,88390,OPEN,Azk3FzcnT0O2XRstJrye_Q
NullToken#5797,1662045354295,3,29509,27137,88527,0.6666666666666666,0,2,2,1,42,SUCCESS,88527,OPEN,UveqbHHYRsa-NP870fkgHg
Bucknell-Eric-dev,1661991188098,3,29574,29200,88724,2.0,0,6,6,1,43,SUCCESS,88724,OPEN,pMo7RWCKQruBLNMWexNEZg
0xRuntimeTerror,1662192877741,3,29574,26929,88724,1.3333333333333333,0,4,4,4,44,SUCCESS,88724,OPEN,L1BwtfriSKabyt1C3LZ5Kg
GlobalSwitch#8608,1662037167733,3,29618,29131,88854,0.0,0,0,0,1,45,SUCCESS,88854,OPEN,YR55p7kwS6um1hLv9OYBcA
FunctionalPoint#8084,1662037274245,3,29620,28864,88860,0.0,0,0,0,1,46,SUCCESS,88860,OPEN,jcrC7ivOSgmwRMcfDkfwyg
DigitalGlyph#1063,1662085353945,3,29641,27456,88925,0.3333333333333333,0,1,1,8,47,SUCCESS,88925,OPEN,SG4CqO4-RM2y6u-obyzWdw
Officeworks-2Fast2Furious-zelong-cong,1662139654119,3,29798,29199,89396,1.0,0,3,3,21,48,SUCCESS,89396,OPEN,uc494qqjTPKHWPzWr-Qy2Q
JayLearnsDLv2,1662143253965,3,29865,27668,89597,1.6666666666666667,0,5,5,19,49,SUCCESS,89597,OPEN,B6uctE6STNS8bJAWe8tdYw
JavaFormula#2502,1662079233292,3,30041,28066,90125,1.3333333333333333,0,4,4,14,50,SUCCESS,90125,OPEN,BIlc8B84RLaxl6BtSKL8eQ
BackloggedDataset#9933,1662044939214,3,30200,27924,90600,0.6666666666666666,0,2,2,1,51,SUCCESS,90600,OPEN,c2F3rPtkS5enXDsz8NV5Ow
PuzzledImplement#1930,1662111980159,3,30331,26335,90993,2.0,0,6,6,12,52,SUCCESS,90993,OPEN,Ka-dJBRgTFqAm1brHWVV8w
iRocket,1662155683299,3,30465,25126,91396,2.6666666666666665,0,8,8,6,53,SUCCESS,91396,OPEN,6UyROmePSCy8dNiH66C5ag
MemoryVariable#8297,1662044777174,3,30508,30389,91525,0.0,0,0,0,1,54,SUCCESS,91525,OPEN,7wme1YGoQU-P3GSWNre07g
