Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
EP-RIO,1664405195128,3,15417,15200,46253,0.0,0,0,0,274,1,SUCCESS,46253,OPEN,_ARh_JWqRH-khggA_9cN0Q
Velocity-5dl,1663945266958,3,15729,15385,47187,0.0,0,0,0,729,2,SUCCESS,47187,OPEN,DBVc9n_uQ0-r-Cqkz3YweA
CatchMeIfUCan,1663646399861,3,16152,15855,48458,0.0,0,0,0,35,3,SUCCESS,48458,OPEN,bYJtsgACTjKD23DZIjRtEA
RT22,1663975984779,3,16772,16660,50317,0.0,0,0,0,41,4,SUCCESS,50317,OPEN,R7HnUxFsR7WSiNVQ8L4-tA
Officeworks-RacerTX-SantiagoA,1662938170223,3,16953,16665,50861,0.0,0,0,0,127,5,SUCCESS,50861,OPEN,yopkvXFgQUyBOrDq3Eg7Nw
--Aziz--,1663672309619,3,17842,17605,53527,0.0,0,0,0,38,6,SUCCESS,53527,OPEN,GPNPp_iMStGjxTirRZJREA
LeetWorkaround#9088,1663758927663,3,18087,17932,54261,0.0,0,0,0,6,7,SUCCESS,54261,OPEN,bGc4gvRSSrmed0EUZ2EbUw
InteractiveClass#4616,1664034578398,3,18375,17064,55125,0.3333333333333333,0,1,1,297,8,SUCCESS,55125,OPEN,-6ZNiBr3R3CGt3RZzYKvFQ
TPA-PCCSComrades,1664563740855,3,18397,18202,55192,0.0,0,0,0,29,9,SUCCESS,55192,OPEN,WTUg-fcURfyu_1IFEzaAng
Pipsqueak6993,1664149794840,3,18620,18269,55861,0.0,0,0,0,45,10,SUCCESS,55861,OPEN,t0OrSHOwSJGIh_E80UL8Jg
ComplicatedResource#5251,1663648204997,3,18732,18002,56196,0.0,0,0,0,47,11,SUCCESS,56196,OPEN,XpwLSsuqQLGQImTB_Az0Rg
