Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,BSi,1728030590399,3,17742,17742,76720,0.6666666666666666,0,2,2,4,SUCCESS,17742,2eb231b0a43f4940bfed3w
2,DaVinciDriver,1728232372055,3,18132,18132,54992,0.0,0,0,0,3,SUCCESS,18132,XtzXYz2pRByDnXz90XNGSw
3,JPMC-Rogue-COL,1728225823726,3,18134,18134,55325,0.0,0,0,0,1,SUCCESS,18134,_W5Y-ICNSuGKBn7bvv8qzw
4,YA#88,1727932438889,3,18538,18538,88193,1.0,0,3,3,7,SUCCESS,18538,KBCP86t4SpaGJhXNb26AcQ
5,Eviden-Simon,1727873151580,3,18660,18660,67993,0.3333333333333333,0,1,1,2,SUCCESS,18660,3XLO68TWRzyd6zo4IaoNYQ
6,JPMC-London-Griffc,1727797499445,3,18871,18871,91392,1.0,0,3,3,2,SUCCESS,18871,S1EcBZeaRjW2s85WNzBBog
7,-Just-Be-Better-,1728273175161,3,19934,19934,71946,0.3333333333333333,0,1,1,2,SUCCESS,19934,X_dNmJilS8SDBQ44yzd2fg
8,barkingdog,1727850140669,3,20198,20198,72587,0.3333333333333333,0,1,1,1,SUCCESS,20198,b3960b6c6f58458880ceew
9,harinezumi-DNPds,1727893800589,3,20332,20332,103932,1.3333333333333333,0,4,4,3,SUCCESS,20332,6hha6WtBQLCivJX9auQn6A
10,DoomBuggy,1728193122437,3,20465,20465,92657,1.0,0,3,3,1,SUCCESS,20465,QakV_nzOTm2q_NhqUMwIJw
11,Nevertari,1728207612617,3,20732,20732,73729,0.3333333333333333,0,1,1,4,SUCCESS,20732,x1u5je_jTyqq0Gi1E4OBMA
12,DarkStar,1728122939706,3,20926,20926,85796,0.6666666666666666,0,2,2,1,SUCCESS,20926,RqPwhBT9R1Oxro8xj4XNmA
13,DesRacer,1728131167191,3,22185,22185,78119,0.3333333333333333,0,1,1,5,SUCCESS,22185,QBPLdoq3S1C9s7GzPusBxA
14,IcePandaBoom,1727761369461,3,22391,22391,88464,0.6666666666666666,0,2,2,1,SUCCESS,22391,BTPWujqqTBOWGAFvEKyRaA
15,MiLKB,1728141418657,3,22665,22665,90190,0.6666666666666666,0,2,2,9,SUCCESS,22665,8KL8u0H3RIWxgP14x_RC6w
16,Dexxtz,1727921590927,3,22678,22678,79296,0.3333333333333333,0,1,1,8,SUCCESS,22678,tabxmSFdSiuDVkEWW34mTA
17,TimJWhite,1727755939091,3,23205,23205,91067,0.6666666666666666,0,2,2,6,SUCCESS,23205,3dDHylmQSi-Rzd9uUamhlQ
18,Kire,1728116599121,3,23272,23272,126007,1.6666666666666667,0,4,5,2,SUCCESS,23272,N0y9CR6fQN-a4UlAFsTC5Q
19,Jianlong,1727888426221,3,23400,23400,83194,0.3333333333333333,0,1,1,12,SUCCESS,23400,vpsHYdBtSIq__1M9j1R21Q
