Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1730418225587,3,16061,16061,49524,0.0,0,0,0,49,SUCCESS,16061,fb0d597a87f94697aa1c6w
2,MarkRoss,1730201712819,3,16128,16128,60661,0.3333333333333333,0,1,1,50,SUCCESS,16128,9OT4p4dXQ2K2J5pOUfeGfg
3,DBro,1730418489230,3,16191,16191,49859,0.0,0,0,0,50,SUCCESS,16191,jEkEOpjZRhGUbyDZIfTo_A
4,ZoD,1730052903032,3,16201,16201,128525,2.3333333333333335,0,6,7,50,SUCCESS,16201,TFtvCas4TRWchrBPMyGh0A
5,Nariox,1730361602295,3,16262,16262,50593,0.0,0,0,0,50,SUCCESS,16262,AUWR9HasSr2j2V1bbAptNw
6,CodeMachine,1729941120981,3,16265,16265,60455,0.3333333333333333,0,1,1,41,SUCCESS,16265,b_WzN_r8ToGPle_8bl2tMA
7,JPMC-Jackie,1730418397331,3,16327,16327,50598,0.0,0,0,0,1,SUCCESS,16327,VCdtKL9VREqhVYwqDpL9cw
8,Duckworth,1730283124147,3,16469,16469,51335,0.0,0,0,0,50,SUCCESS,16469,VIu9BQ4-Th6gUqu60ztwUQ
9,JJ,1729565950722,3,16473,16473,61344,0.3333333333333333,0,1,1,23,SUCCESS,16473,afdcX_4vRH6Ussd0mbg5LQ
10,Hao-NYCU,1730417191528,3,16474,16474,50598,0.0,0,0,0,2,SUCCESS,16474,pXebJfIPTbmtuOBWc75yCQ
11,JPMC-London,1730415206912,3,16530,16530,50857,0.0,0,0,0,6,SUCCESS,16530,X2LBMvp2Rsm8ZN7o94gplQ
12,Muyang-NYCU,1730411767398,3,16531,16531,93854,1.3333333333333333,0,4,4,4,SUCCESS,16531,RyDbD9EqRYGN_EeL6W_Nnw
13,DR-Driven,1730389916665,3,16533,16533,61192,0.3333333333333333,0,1,1,4,SUCCESS,16533,a60d925f516c41178dae1w
14,Yize-NYCU,1730406947575,3,16595,16595,105327,1.6666666666666667,0,5,5,2,SUCCESS,16595,D0Wdvh9lSjqBTv3K_nR56Q
15,AiSolutions-Joe,1730384878082,3,16598,16598,93477,1.3333333333333333,0,4,4,8,SUCCESS,16598,d12875dc48634d6daedcdw
16,AIDeepRacer,1730411463737,3,16599,16599,62455,0.3333333333333333,0,1,1,16,SUCCESS,16599,pIRbdCx6QYatgVXm2p5GbA
17,JMPC-Jerta,1730418791788,3,16599,16599,117529,2.0,0,6,6,4,SUCCESS,16599,LCdhTUamQO6KIdqE4bfQGQ
18,DeepRacer-v2024,1730402403027,3,16657,16657,61391,0.3333333333333333,0,1,1,3,SUCCESS,16657,pi6_quH_R-qvRwo-bwNL9A
19,JPMC-lastdance,1730417499840,3,16663,16663,62460,0.3333333333333333,0,1,1,1,SUCCESS,16663,EAQjCQK0Q5Kylf9OCe_LOg
20,TonyJ,1730291284276,3,16733,16733,52456,0.0,0,0,0,50,SUCCESS,16733,af962be5a4ed4c57af807w
21,Zan-NYCU,1730418858852,3,16734,16734,51054,0.0,0,0,0,1,SUCCESS,16734,vNyB0XCFRnqPtEVVfE6ECQ
22,MattCamp,1730367567829,3,16795,16795,52580,0.0,0,0,0,50,SUCCESS,16795,9z8BN2mkSj-Dlb_Chg_0Hw
23,flatearth,1730339804780,3,16803,16803,51060,0.0,0,0,0,5,SUCCESS,16803,9e3a9607a4e04ba2b1a49w
24,Deepak-dpk,1730406353298,3,16868,16868,52522,0.0,0,0,0,44,SUCCESS,16868,gDTBFK77TM6wD6uObZlulA
25,Ernesto-PhilJ,1730309488573,3,16871,16871,52193,0.0,0,0,0,50,SUCCESS,16871,8zBEAp0-S5yGbcZvytGZGQ
26,DaVinciDriver,1730299424063,3,16942,16942,83395,1.0,0,3,3,50,SUCCESS,16942,XtzXYz2pRByDnXz90XNGSw
27,JPMC-RacingRhino,1730385555541,3,16992,16992,53454,0.0,0,0,0,50,SUCCESS,16992,3b8cUKuuQfOWQgfjZSeVFw
28,Liao,1729751489235,3,16994,16994,51931,0.0,0,0,0,3,SUCCESS,16994,1mW7p6I1Q0-cB3Up-esBeQ
29,JPMC-Rogue-COL,1730413164686,3,17007,17007,53128,0.0,0,0,0,48,SUCCESS,17007,_W5Y-ICNSuGKBn7bvv8qzw
30,kapil-kdn,1730410252978,3,17074,17074,95276,1.3333333333333333,0,4,4,7,SUCCESS,17074,vrUZUm-aQQCQ0rEZjXcfOA
31,HArchitect,1730405732817,3,17196,17196,74856,0.6666666666666666,0,2,2,50,SUCCESS,17196,aqP98N4YStyJh1TjCqjiMQ
32,m45,1730355566686,3,17196,17196,52527,0.0,0,0,0,50,SUCCESS,17196,EUSWllrrTRep0vB4VQ4RSg
33,janicedal,1730386414117,3,17202,17202,65529,0.3333333333333333,0,1,1,10,SUCCESS,17202,OwKO9HTAS66Q0EhLegROgg
34,Eviden-Simon,1730401043937,3,17263,17263,53393,0.0,0,0,0,33,SUCCESS,17263,3XLO68TWRzyd6zo4IaoNYQ
35,Marco-Solo,1729841069331,3,17269,17269,53059,0.0,0,0,0,50,SUCCESS,17269,Hg2CJNXMRmijQmd_jMSJyw
36,LeadingAI,1730401713169,3,17269,17269,75064,0.6666666666666666,0,2,2,11,SUCCESS,17269,VP5wwaH5T4GciaMX2ocEvQ
37,IcePandaBoom,1730394039226,3,17328,17328,65783,0.3333333333333333,0,0,1,26,SUCCESS,17328,BTPWujqqTBOWGAFvEKyRaA
38,JPMC-BA-MiguelG,1730414992679,3,17333,17333,74062,0.6666666666666666,0,2,2,49,SUCCESS,17333,ITPfFYXmSXKi3TqsvUHRKw
39,BSi,1729492123667,3,17533,17533,64252,0.3333333333333333,0,1,1,50,SUCCESS,17533,2eb231b0a43f4940bfed3w
40,SuperShawn,1730325763614,3,17535,17535,95660,1.3333333333333333,0,4,4,9,SUCCESS,17535,ua_u7fduQnCT1hn-GumqVQ
41,Fr3d,1730418413194,3,17539,17539,65587,0.3333333333333333,0,1,1,48,SUCCESS,17539,7x6nmMRlQiWawqJ8wUE7jA
42,ChrisC,1730397312415,3,17600,17600,64529,0.3333333333333333,0,1,1,2,SUCCESS,17600,zok8IapxQ5uKzjlI958JQw
43,MattKreder,1730394164586,3,17660,17660,77392,0.6666666666666666,0,1,2,50,SUCCESS,17660,cVk-aYKdRUmuL0qmjyzmag
44,BennyLBS,1730381152898,3,17801,17801,55929,0.0,0,0,0,20,SUCCESS,17801,wD3fjDFZTJaZd9AU7WRDlA
45,Kamiloj-ADL,1730046585706,3,17861,17861,55058,0.0,0,0,0,39,SUCCESS,17861,jmVlUw3DTUubDDSk3oOaPA
46,-Just-Be-Better-,1730365486576,3,17867,17867,86462,1.0,0,3,3,36,SUCCESS,17867,X_dNmJilS8SDBQ44yzd2fg
47,nickyl,1730361848703,3,17924,17924,66723,0.3333333333333333,0,1,1,50,SUCCESS,17924,O0GALYAoRfGA0kUV6ftgqQ
48,Parmila,1730401952407,3,18000,18000,66257,0.3333333333333333,0,1,1,13,SUCCESS,18000,PPllYOoFTxm_aJyzm_Jz4A
49,barkingdog,1730394314145,3,18000,18000,65798,0.3333333333333333,0,1,1,25,SUCCESS,18000,b3960b6c6f58458880ceew
50,YA#88,1730398329682,3,18009,18009,66661,0.3333333333333333,0,1,1,45,SUCCESS,18009,KBCP86t4SpaGJhXNb26AcQ
51,LeoLau,1730366425989,3,18010,18010,66924,0.3333333333333333,0,1,1,1,SUCCESS,18010,a3NExXjQTOeLky5dASh-Aw
52,LaineRose,1730371578363,3,18065,18065,77857,0.6666666666666666,0,2,2,2,SUCCESS,18065,SAbeLseFTMOXOlyLO2r4WA
53,Eviden-Rob-Rixson,1730386783708,3,18120,18120,89535,1.0,0,3,3,48,SUCCESS,18120,YrXDx-_iShCKFcvX5KDIUw
54,JerryLee,1730373053014,3,18132,18132,78325,0.6666666666666666,0,2,2,47,SUCCESS,18132,BMjoJ3L7ShGsF5gA1lHdkw
55,BobbieSoro,1729084109347,3,18134,18134,55597,0.0,0,0,0,1,SUCCESS,18134,aiBTBJ8VTSmeKae9xfJMLg
56,LinZhenTao2024,1730366246450,3,18198,18198,56128,0.0,0,0,0,1,SUCCESS,18198,r0XAFVl-Sj6vy6RCVFgAWw
57,HenyLen,1730366624823,3,18200,18200,66597,0.3333333333333333,0,1,1,1,SUCCESS,18200,EbTJWl_zQRCTf0OwFXIFsA
58,JPMC-Devops-LJY,1730367767254,3,18201,18201,55325,0.0,0,0,0,1,SUCCESS,18201,YY_S8vPeS2W-7HdF0_JpTg
59,sxpnp,1730380610678,3,18286,18286,57068,0.0,0,0,0,43,SUCCESS,18286,GPJ-D-O9QSaDEqnHgTcAhQ
60,SteveW-BJSS,1728977449184,3,18336,18336,70061,0.3333333333333333,0,0,1,32,SUCCESS,18336,bt0g0Yx0R7KyvbtojGlP4A
61,JoelGenne,1730378035553,3,18394,18394,67113,0.3333333333333333,0,1,1,14,SUCCESS,18394,GK1dvHjzRfScm1ft6bTw8Q
