Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1620986408293,3,21559,21080,64678,0.0,0,0,0,1500,1,SUCCESS,64678,PRO,afdcX_4vRH6Ussd0mbg5LQ
Karl-NAB,1621005007913,3,21663,21310,64990,0.0,0,0,0,2123,2,SUCCESS,64990,PRO,4vOOxLIsSjeL2WFaO5o_fQ
dartjason,1621400998981,3,24058,23730,72174,0.0,0,0,0,802,3,SUCCESS,72174,PRO,JSflDq5rQgKEuA5Ots4kDQ
Jochem,1621357582585,3,24167,23606,72501,0.0,0,0,0,70,4,SUCCESS,72501,PRO,RBPhZc5eTVmEF_gpSV7skg
rosscomp1,1621216715586,3,25404,24179,76213,0.0,0,0,0,1030,5,SUCCESS,76213,PRO,fb0d597a87f94697aa1c68be9366a74f
Duckworth,1621218005825,3,25832,25006,77497,0.0,0,0,0,604,6,SUCCESS,77497,PRO,VIu9BQ4-Th6gUqu60ztwUQ
Ernesto,1621238523119,3,26268,24982,78804,0.0,0,0,0,164,7,SUCCESS,78804,PRO,8zBEAp0-S5yGbcZvytGZGQ
Matt,1621304631150,3,26691,26365,80075,0.0,0,0,0,956,8,SUCCESS,80075,PRO,cVk-aYKdRUmuL0qmjyzmag
Yi-LI-NYCU-CGI,1621400195801,3,32897,29119,98691,0.6666666666666666,0,2,2,61,9,SUCCESS,98691,PRO,jrJHq8pZQAyj4gGqMw8-DQ
alexj,1621319748299,3,32903,30559,98709,0.0,0,0,0,38,10,SUCCESS,98709,PRO,Km6btE1_SFCCCqWJ4H6Fyg
PolishThunder,1620657219755,3,36407,30706,109222,1.6666666666666667,0,5,5,2912,11,SUCCESS,109222,PRO,qi512oGVTry8V-KtP6j2_w
SorinB,1620724085433,3,37373,35092,112120,0.3333333333333333,0,1,1,1782,12,SUCCESS,112120,PRO,TFtvCas4TRWchrBPMyGh0A
GregRacing,1621386371553,3,40167,38331,120502,1.3333333333333333,0,4,4,22,13,SUCCESS,120502,PRO,Ub6W3fjfSfyP6XPNdIJ-7g
kimwooglae,1620132042535,3,40251,37243,120753,2.3333333333333335,0,7,7,2626,14,SUCCESS,120753,PRO,bOqKo-ebR_essdUaZVGO4Q
ep-dr-racer1,1620934700003,3,40852,34039,122557,2.3333333333333335,0,7,7,905,15,SUCCESS,122557,PRO,vEZxFEnhQHeI5tKR4Tz3rQ
kimmizian,1620285258368,3,41165,38536,123496,1.3333333333333333,0,4,4,1520,16,SUCCESS,123496,PRO,t6NwFsqgS4mYnFeR3KVxsg
think,1620721180088,3,41320,37170,123960,2.6666666666666665,1,7,8,1444,17,SUCCESS,123960,PRO,IHHC4YftQLaMAs0VyXFJzw
blueberrypie,1620801733170,3,43152,40313,129456,2.6666666666666665,2,6,8,930,18,SUCCESS,129456,PRO,EmZsQC41RtW5hhxb6z2-xQ
ABaykov,1621348065637,3,43167,36520,129503,1.3333333333333333,2,2,4,143,19,SUCCESS,129503,PRO,aa28j7SWTd-LxMzvFoj_bA
drunken-monkey,1619955579561,3,43233,40900,129700,0.3333333333333333,0,1,1,5,20,SUCCESS,129700,PRO,c7a82cb998e44f9abd469e974352461d
kim,1620964992401,3,44477,43931,133432,1.0,1,2,3,24,21,SUCCESS,133432,PRO,cgo09VQyRNmKhJfNfwbAgQ
Si,1621379405465,3,45165,38001,135497,1.3333333333333333,1,3,4,63,22,SUCCESS,135497,PRO,vfIYqrhHRayVCk5rIL2-dw
ProteusXplorer,1621173550735,3,46183,37541,138551,1.3333333333333333,2,2,4,74,23,SUCCESS,138551,PRO,iRqwbBoKQY-tP2tGpIMlxA
Ohrid,1620187030428,3,46339,44380,139019,0.3333333333333333,1,0,1,46,24,SUCCESS,139019,PRO,78e6a549fe0a4a8e90b4125cdc40589f
AJM-Model-1,1620251734977,3,48011,29572,144034,3.6666666666666665,4,7,11,14,25,SUCCESS,144034,PRO,gdsU9bkGRWW7LTEHP4rGgQ
MING-CHUN,1621224791441,3,49586,41722,148758,2.3333333333333335,1,6,7,33,26,SUCCESS,148758,PRO,qoQoafc4RhGMzWx_fwBp4w
Penguin-DNPds,1621397544372,3,50660,41584,151982,4.666666666666667,2,12,14,17,27,SUCCESS,151982,PRO,Nr3YCYWGTA631Xqa0uDPhw
msckris77,1621133261316,3,51207,49003,153621,0.3333333333333333,0,1,1,71,28,SUCCESS,153621,PRO,7v9zv1EGScSoJ0crCfRVnA
RobinCastro-DBS,1619926853756,3,53201,40041,159605,5.333333333333333,0,16,16,8,29,SUCCESS,159605,PRO,7KrbyQXvTBOxnBa0p9YuUA
Rober,1619834253992,3,53653,45750,160959,5.333333333333333,2,14,16,0,30,SUCCESS,160959,PRO,KrRSYhzKTfONjRaDUc_ubQ
TheMontrealTurtle,1620649010106,3,54802,53077,164406,0.3333333333333333,0,1,1,4,31,SUCCESS,164406,PRO,piUAsloQT36bjs2JHuVcpw
JPMC-HandsFree-London,1621184706692,3,55465,45665,166396,4.333333333333333,4,9,13,45,32,SUCCESS,166396,PRO,DZAYqyd-Tp6eE15IopWCgQ
Mungi,1620052307981,3,55530,50221,166592,4.666666666666667,0,14,14,4,33,SUCCESS,166592,PRO,RgTvucbNQja7yiYbgh2p9A
Doug-Racer,1620429631570,3,55829,52569,167488,0.0,0,0,0,92,34,SUCCESS,167488,PRO,1R021ZoDQrqxSUiHfBvyEw
GT-DevelopersIO,1620367764771,3,56704,44141,170112,6.0,4,13,18,1,35,SUCCESS,170112,PRO,8WSp4P7ZRn-jJgZLnugwkA
MeAgain,1621340163773,3,56787,51573,170362,2.0,1,5,6,19,36,SUCCESS,170362,PRO,_kH7SId6QaCb50zUbBVONw
SumoBoy,1620794602941,3,57658,53139,172974,2.6666666666666665,2,6,8,86,37,SUCCESS,172974,PRO,LfKFez5GSgC9oENReriiHA
Maikel,1620322498352,3,59493,57547,178479,6.333333333333333,7,12,19,21,38,SUCCESS,178479,PRO,FeKoIRn0Tsa6tACAWZ_2gw
MiLKB,1621011216814,3,60291,57565,180873,4.0,3,9,12,37,39,SUCCESS,180873,PRO,8KL8u0H3RIWxgP14x_RC6w
Paul-NAB,1621032113797,3,63429,48817,190288,3.6666666666666665,2,9,11,16,40,SUCCESS,190288,PRO,06339a1ca89d41a5b6d982da9671f3a7
Deepak-dpk,1620280564277,3,64400,51270,193200,5.333333333333333,4,12,16,0,41,SUCCESS,193200,PRO,gDTBFK77TM6wD6uObZlulA
S-P-,1620750512503,3,64737,62008,194212,2.3333333333333335,0,7,7,0,42,SUCCESS,194212,PRO,MxT5p4ZvSTOcc6ANa8VZNg
mayurmadnani,1619850730125,3,64982,61615,194948,1.6666666666666667,0,5,5,3,43,SUCCESS,194948,PRO,hr8K12KMRhSIDUEJbQT8fg
ShibaInu-DevelopersIO,1621274105021,3,66091,59662,198274,7.0,0,21,21,263,44,SUCCESS,198274,PRO,q3lEztDGTfSD-GgkF5IgTg
scottsfirstmodel,1619882256345,3,66744,61772,200234,2.0,1,5,6,0,45,SUCCESS,200234,PRO,90f6898176614ec8b5b88b372552059e
DBro,1620029679509,3,67617,64444,202853,7.333333333333333,2,20,22,1,46,SUCCESS,202853,PRO,jEkEOpjZRhGUbyDZIfTo_A
Mentaiko-DevelopersIO,1620386075083,3,68514,58916,205544,8.0,3,21,24,1,47,SUCCESS,205544,PRO,Wt5C8BPAS0OPlzY3-txb-w
Wasabi-DevelopersIO,1621300211704,3,68848,59261,206545,2.3333333333333335,1,6,7,223,48,SUCCESS,206545,PRO,Fmb5j9UgQ_2xkleK0vwXOg
m-hosokawa-nes,1620370456225,3,69350,64065,208051,6.0,6,12,18,0,49,SUCCESS,208051,PRO,X-M2s3pcRlWb653f9qu09A
Awaken,1619968026777,3,69383,62872,208151,2.3333333333333335,0,7,7,0,50,SUCCESS,208151,PRO,mbSnus44R8erkCVWzACUAQ
BoogieTimeProductions,1620367402155,3,70229,58472,210689,5.333333333333333,2,14,16,54,51,SUCCESS,210689,PRO,MUyQlFafT0yFhQr1sApn9Q
nine9,1620832343698,3,70316,58797,210949,3.0,0,9,9,8,52,SUCCESS,210949,PRO,nh20eR6wSW2uOCJ_nRnUvg
