Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1622399767167,3,21242,21097,63726,0.0,0,0,0,4312,1,SUCCESS,63726,PRO,afdcX_4vRH6Ussd0mbg5LQ
Karl-NAB,1621517802374,3,21592,21219,64776,0.0,0,0,0,5246,2,SUCCESS,64776,PRO,4vOOxLIsSjeL2WFaO5o_fQ
JPMC-DriftKing-Houston,1621975957984,3,21834,21473,65503,0.0,0,0,0,243,3,SUCCESS,65503,PRO,fngewpiZSZm11yX7YgwnMA
Joffe,1622419717520,3,22336,21871,67008,0.0,0,0,0,864,4,SUCCESS,67008,PRO,ce17e3bfe82649448e2f3w
Jochem,1622173398109,3,22350,21737,67052,0.0,0,0,0,750,5,SUCCESS,67052,PRO,RBPhZc5eTVmEF_gpSV7skg
ZhengYi-NYCU-CGI,1622463620675,3,22448,22147,67346,0.0,0,0,0,259,6,SUCCESS,67346,PRO,qY4J9IzvQS6a1N-KZXwviA
Ensono-Ernesto,1622311503026,3,22566,22339,67698,0.0,0,0,0,1839,7,SUCCESS,67698,PRO,8zBEAp0-S5yGbcZvytGZGQ
Yoway-NYCU-CGI,1622478484306,3,22678,21999,68035,0.0,0,0,0,322,8,SUCCESS,68035,PRO,1fBE9Y-DR4aOhdY6ydu-rA
flatearth,1622505024456,3,23108,20815,69325,0.3333333333333333,1,0,1,3,9,SUCCESS,69325,PRO,9e3a9607a4e04ba2b1a49w
Yi-LI-NYCU-CGI,1622475473635,3,23155,22341,69465,0.0,0,0,0,331,10,SUCCESS,69465,PRO,jrJHq8pZQAyj4gGqMw8-DQ
Duckworth,1621920486177,3,23821,23053,71465,0.0,0,0,0,1475,11,SUCCESS,71465,PRO,VIu9BQ4-Th6gUqu60ztwUQ
dartjason,1621407508540,3,24005,23908,72016,0.0,0,0,0,1257,12,SUCCESS,72016,PRO,JSflDq5rQgKEuA5Ots4kDQ
Penguin-DNPds,1622449697502,3,24614,24150,73842,0.0,0,0,0,416,13,SUCCESS,73842,PRO,Nr3YCYWGTA631Xqa0uDPhw
Matt,1622413888922,3,25027,24063,75083,0.0,0,0,0,3034,14,SUCCESS,75083,PRO,cVk-aYKdRUmuL0qmjyzmag
rosscomp1,1621216715586,3,25404,24179,76213,0.0,0,0,0,1662,15,SUCCESS,76213,PRO,fb0d597a87f94697aa1c6w
Breadcentric,1622471779276,3,25653,25225,76961,0.0,0,0,0,1481,16,SUCCESS,76961,PRO,SjNec5b-SpOk7y9b6rh4KQ
Rober,1622443131794,3,26477,25514,79433,0.0,0,0,0,871,17,SUCCESS,79433,PRO,KrRSYhzKTfONjRaDUc_ubQ
AJM-Model-1,1622504459898,3,26543,25594,79631,0.0,0,0,0,1620,18,SUCCESS,79631,PRO,gdsU9bkGRWW7LTEHP4rGgQ
JPMC-HandsFree-London,1622492992217,3,27064,25065,81194,0.3333333333333333,0,1,1,425,19,SUCCESS,81194,PRO,DZAYqyd-Tp6eE15IopWCgQ
GT-DevelopersIO,1622461534487,3,27197,25512,81592,0.3333333333333333,0,1,1,970,20,SUCCESS,81592,PRO,8WSp4P7ZRn-jJgZLnugwkA
JPMC-RogerRabbit-Houston,1622487605036,3,27653,21831,82961,1.0,3,0,3,40,21,SUCCESS,82961,PRO,DXXOncNRR1iiqhBvpPO-_A
alexj,1621493665913,3,32039,31159,96117,0.0,0,0,0,63,22,SUCCESS,96117,PRO,Km6btE1_SFCCCqWJ4H6Fyg
ShibaInu-DevelopersIO,1622409640324,3,32728,31746,98186,0.0,0,0,0,1899,23,SUCCESS,98186,PRO,q3lEztDGTfSD-GgkF5IgTg
AIDeepRacer,1621970522404,3,33934,30938,101802,0.3333333333333333,0,1,1,28,24,SUCCESS,101802,PRO,pIRbdCx6QYatgVXm2p5GbA
RobinCastro-DBS,1622202979792,3,34007,31685,102023,0.3333333333333333,0,1,1,1116,25,SUCCESS,102023,PRO,7KrbyQXvTBOxnBa0p9YuUA
MiLKB,1622499177255,3,36291,34537,108874,0.3333333333333333,0,1,1,792,26,SUCCESS,108874,PRO,8KL8u0H3RIWxgP14x_RC6w
PolishThunder,1620657219755,3,36407,30706,109222,1.6666666666666667,0,5,5,4322,27,SUCCESS,109222,PRO,qi512oGVTry8V-KtP6j2_w
SorinB,1620724085433,3,37373,35092,112120,0.3333333333333333,0,1,1,2235,28,SUCCESS,112120,PRO,TFtvCas4TRWchrBPMyGh0A
GregRacing,1622129907113,3,37579,34299,112737,0.6666666666666666,2,0,2,44,29,SUCCESS,112737,PRO,Ub6W3fjfSfyP6XPNdIJ-7g
Si,1621825892258,3,38707,38208,116123,0.0,0,0,0,155,30,SUCCESS,116123,PRO,vfIYqrhHRayVCk5rIL2-dw
Mungi,1622481646386,3,39104,31496,117314,2.3333333333333335,1,6,7,95,31,SUCCESS,117314,PRO,RgTvucbNQja7yiYbgh2p9A
kimwooglae,1620132042535,3,40251,37243,120753,2.3333333333333335,0,7,7,3754,32,SUCCESS,120753,PRO,bOqKo-ebR_essdUaZVGO4Q
kimmizian,1622422720549,3,40622,34405,121867,1.0,0,3,3,2765,33,SUCCESS,121867,PRO,t6NwFsqgS4mYnFeR3KVxsg
ep-dr-racer1,1620934700003,3,40852,34039,122557,2.3333333333333335,0,7,7,1953,34,SUCCESS,122557,PRO,vEZxFEnhQHeI5tKR4Tz3rQ
ABaykov,1621946069214,3,40992,31720,122977,1.6666666666666667,2,3,5,392,35,SUCCESS,122977,PRO,aa28j7SWTd-LxMzvFoj_bA
think,1621585432735,3,41243,38128,123731,2.6666666666666665,0,8,8,2344,36,SUCCESS,123731,PRO,IHHC4YftQLaMAs0VyXFJzw
kim,1622441295100,3,42000,38358,126002,0.3333333333333333,0,1,1,29,37,SUCCESS,126002,PRO,cgo09VQyRNmKhJfNfwbAgQ
blueberrypie,1622350617613,3,42635,38757,127906,2.6666666666666665,1,7,8,1981,38,SUCCESS,127906,PRO,EmZsQC41RtW5hhxb6z2-xQ
drunken-monkey,1619955579561,3,43233,40900,129700,0.3333333333333333,0,1,1,5,39,SUCCESS,129700,PRO,c7a82cb998e44f9abd469Q
ProteusXplorer,1621173550735,3,46183,37541,138551,1.3333333333333333,2,2,4,97,40,SUCCESS,138551,PRO,iRqwbBoKQY-tP2tGpIMlxA
Ohrid,1620187030428,3,46339,44380,139019,0.3333333333333333,1,0,1,46,41,SUCCESS,139019,PRO,78e6a549fe0a4a8e90b41w
MING-CHUN,1621599650490,3,46781,42479,140343,1.3333333333333333,0,4,4,59,42,SUCCESS,140343,PRO,qoQoafc4RhGMzWx_fwBp4w
msckris77,1621846380771,3,50258,45110,150776,0.6666666666666666,1,1,2,197,43,SUCCESS,150776,PRO,7v9zv1EGScSoJ0crCfRVnA
MeAgain,1622490405165,3,53778,48286,161334,2.0,1,5,6,27,44,SUCCESS,161334,PRO,_kH7SId6QaCb50zUbBVONw
PauloLosse,1622487023851,3,54394,43249,163184,2.0,4,2,6,4,45,SUCCESS,163184,PRO,_HWsEjILTaWle9Px3hq6VQ
TheMontrealTurtle,1620649010106,3,54802,53077,164406,0.3333333333333333,0,1,1,4,46,SUCCESS,164406,PRO,piUAsloQT36bjs2JHuVcpw
Doug-Racer,1620429631570,3,55829,52569,167488,0.0,0,0,0,96,47,SUCCESS,167488,PRO,1R021ZoDQrqxSUiHfBvyEw
Paul-NAB,1621548364790,3,56020,54000,168061,1.3333333333333333,1,3,4,20,48,SUCCESS,168061,PRO,06339a1ca89d41a5b6d98w
SumoBoy,1620794602941,3,57658,53139,172974,2.6666666666666665,2,6,8,96,49,SUCCESS,172974,PRO,LfKFez5GSgC9oENReriiHA
LeaveMeAloneKimi,1622471046697,3,58237,52157,174711,2.0,0,6,6,102,50,SUCCESS,174711,PRO,h8dZa8BuTpqNhCdo6cftgg
Maikel,1620322498352,3,59493,57547,178479,6.333333333333333,7,12,19,30,51,SUCCESS,178479,PRO,FeKoIRn0Tsa6tACAWZ_2gw
TonyJ,1622103185922,3,62135,58475,186405,3.6666666666666665,6,5,11,2,52,SUCCESS,186405,PRO,af962be5a4ed4c57af807w
Vinay17,1621755279076,3,62158,55288,186476,4.333333333333333,2,11,13,55,53,SUCCESS,186476,PRO,B0aZsH_oRROvABvp7xzTgg
S-P-,1622202024445,3,63383,60840,190151,4.333333333333333,2,11,13,2,54,SUCCESS,190151,PRO,MxT5p4ZvSTOcc6ANa8VZNg
Deepak-dpk,1620280564277,3,64400,51270,193200,5.333333333333333,4,12,16,0,55,SUCCESS,193200,PRO,gDTBFK77TM6wD6uObZlulA
mayurmadnani,1619850730125,3,64982,61615,194948,1.6666666666666667,0,5,5,3,56,SUCCESS,194948,PRO,hr8K12KMRhSIDUEJbQT8fg
scottsfirstmodel,1619882256345,3,66744,61772,200234,2.0,1,5,6,0,57,SUCCESS,200234,PRO,90f6898176614ec8b5b88Q
DBro,1620029679509,3,67617,64444,202853,7.333333333333333,2,20,22,1,58,SUCCESS,202853,PRO,jEkEOpjZRhGUbyDZIfTo_A
UnlimitedHappiness-2,1621443141474,3,67697,61430,203093,4.333333333333333,3,10,13,71,59,SUCCESS,203093,PRO,o-0H8EssSnOdpnutp931MA
EnBW-Flitzer,1622268003147,3,67799,57529,203397,7.333333333333333,2,20,22,141,60,SUCCESS,203397,PRO,je1HIMgRQtibB3H9325TRw
Mentaiko-DevelopersIO,1620386075083,3,68514,58916,205544,8.0,3,21,24,1,61,SUCCESS,205544,PRO,Wt5C8BPAS0OPlzY3-txb-w
Wasabi-DevelopersIO,1621300211704,3,68848,59261,206545,2.3333333333333335,1,6,7,529,62,SUCCESS,206545,PRO,Fmb5j9UgQ_2xkleK0vwXOg
m-hosokawa-nes,1620370456225,3,69350,64065,208051,6.0,6,12,18,0,63,SUCCESS,208051,PRO,X-M2s3pcRlWb653f9qu09A
Awaken,1619968026777,3,69383,62872,208151,2.3333333333333335,0,7,7,0,64,SUCCESS,208151,PRO,mbSnus44R8erkCVWzACUAQ
BoogieTimeProductions,1621437888383,3,69529,59153,208589,6.0,3,15,18,93,65,SUCCESS,208589,PRO,MUyQlFafT0yFhQr1sApn9Q
msckrishna,1622097667325,3,69786,68135,209358,6.0,3,15,18,23,66,SUCCESS,209358,PRO,0WzrOeJ0QKWImSlHFOkcYQ
nine9,1620832343698,3,70316,58797,210949,3.0,0,9,9,11,67,SUCCESS,210949,PRO,nh20eR6wSW2uOCJ_nRnUvg
AndrewMarsh,1621082498781,3,70520,61972,211562,2.6666666666666665,2,6,8,0,68,SUCCESS,211562,PRO,Vu7kxweARLisMbGYXy1IVA
alexk,1620605819561,3,70810,60169,212430,5.666666666666667,1,16,17,39,69,SUCCESS,212430,PRO,7ONk_o1xQ9eJWBBSAslcdw
Galileo,1620074233276,3,71305,69037,213915,5.333333333333333,1,15,16,31,70,SUCCESS,213915,PRO,Y79AzaaOR-u4LVKMxu1Mdw
Fumiaki,1622505547116,3,73679,69582,221037,8.666666666666666,3,23,26,0,71,SUCCESS,221037,PRO,5RzBNYRAQoWVausi3eyhRg
DR-1,1621497393015,3,74256,63769,222768,6.666666666666667,0,20,20,43,72,SUCCESS,222768,PRO,wKjd3aKFT92GgNNXw4U9dg
Redfalcon5,1619965287564,3,74577,53446,223731,4.666666666666667,0,14,14,1,73,SUCCESS,223731,PRO,72fe3611f672449f8be96Q
ZivHsu,1622138299540,3,74676,66634,224029,4.666666666666667,3,11,14,2,74,SUCCESS,224029,PRO,Na5iYWG-SNmNOFGcUo9Pxw
dhuTest,1622481808901,3,74898,65057,224694,3.6666666666666665,2,8,11,2,75,SUCCESS,224694,PRO,FucTbbD6RRSzhXndhBZ2vQ
nalbam-me,1620455623696,3,75189,70062,225567,8.0,0,24,24,221,76,SUCCESS,225567,PRO,PnRru4vBRkeyT4xX6LOCtw
jgamblin,1620853438279,3,75727,69700,227182,6.333333333333333,5,14,19,4,77,SUCCESS,227182,PRO,6Uvs4jMuRN-eb6OFm6Lncw
mxd,1621423933134,3,76124,61122,228372,4.666666666666667,1,13,14,2,78,SUCCESS,228372,PRO,5UBo6jsOTC-bqPZeeOWV5g
Hong-HK,1620407348949,3,76664,72660,229992,6.666666666666667,2,18,20,13,79,SUCCESS,229992,PRO,qREdi4HSRtyT8dbivqeyow
gill-bates,1619986018263,3,77189,69179,231567,7.333333333333333,8,14,22,0,80,SUCCESS,231567,PRO,Ag9c1d4dQlGCDwdmo5SWhA
AM730,1622007650304,3,77417,69045,232252,5.333333333333333,0,16,16,46,81,SUCCESS,232252,PRO,BVyCq7XIT-ObuDsJfFVtDA
GoodmanKR,1620259270213,3,78301,76648,234905,6.333333333333333,1,18,19,6,82,SUCCESS,234905,PRO,f905b742ca594aadb529eQ
Kire,1620465657944,3,78381,73041,235144,8.666666666666666,2,24,26,1,83,SUCCESS,235144,PRO,N0y9CR6fQN-a4UlAFsTC5Q
badger,1620140874911,3,78681,68507,236045,5.0,2,13,15,1,84,SUCCESS,236045,PRO,9Vk5nDXNR-WZArdn86jCoA
Merfoulis,1622480506700,3,79720,66728,239160,5.333333333333333,0,16,16,10,85,SUCCESS,239160,PRO,ZXo038NgQoikG6lL_A5fVQ
TrickSumo,1620710271586,3,81073,70271,243221,7.333333333333333,3,19,22,43,86,SUCCESS,243221,PRO,2VZnWnmAS86BvHyXuyJoXw
CaliSchwiizer,1621003061504,3,81084,69535,243253,7.0,4,17,21,0,87,SUCCESS,243253,PRO,5058375c4d2440908e5b1Q
firnnauriel,1622419229275,3,82174,77939,246522,10.666666666666666,3,29,32,8,88,SUCCESS,246522,PRO,YdZNdGJDQuqSPa35TqZ3jA
s1thind,1619847142435,3,83385,72448,250155,9.0,2,25,27,3,89,SUCCESS,250155,PRO,VW2LZeOaQP2xEkygggDjUg
nikhilkala,1619968245434,3,83887,78685,251663,7.0,4,17,21,1,90,SUCCESS,251663,PRO,UKO4WitGQRSkSrTqa8ZAIA
