Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
BennyLBS,1675214803441,3,26863,26402,80590,0.0,0,0,0,2,1,SUCCESS,80590,wD3fjDFZTJaZd9AU7WRDlA
-SANTACLAWS-,1675219355373,3,41464,39061,124392,4.333333333333333,0,13,13,7,2,SUCCESS,124392,X_dNmJilS8SDBQ44yzd2fg
CircuitBreaker-BA,1675217764940,3,41599,38125,124797,3.0,0,9,9,2,3,SUCCESS,124797,Nei0UMFmTw-RGAa9f4sQ7w
CleanHacker#1729,1675212248023,3,44256,39625,132770,1.6666666666666667,0,5,5,3,4,SUCCESS,132770,2DKXcqsqSKCgFZSLE5b83A
BlockchainDiff#4163,1675222045093,3,44797,43261,134391,2.3333333333333335,0,7,7,3,5,SUCCESS,134391,1x2nPhTIQke-G-yBTR9Ofg
amkerr,1675213896364,3,48285,47195,144855,4.333333333333333,0,13,13,1,6,SUCCESS,144855,2R1bsOUiRceGpNP9wKliAw
FocusedTest#3059,1675220821576,3,49530,46931,148592,1.6666666666666667,0,5,5,1,7,SUCCESS,148592,sempluNuQNetJCI_3z_DaQ
Kire,1675224861916,3,49965,49336,149896,5.333333333333333,0,16,16,1,8,SUCCESS,149896,N0y9CR6fQN-a4UlAFsTC5Q
SparkPlugs#2022,1675223343566,3,51484,50797,154454,0.0,0,0,0,3,9,SUCCESS,154454,rug-T76fS-SEq4fQqOCFnA
UrgentState#8907,1675218231723,3,52270,50269,156810,4.333333333333333,0,13,13,1,10,SUCCESS,156810,WIFP1VNQT6yuLfxI5niUAw
Mentaiko-DevelopersIO,1675221049449,3,55820,53267,167461,7.666666666666667,0,23,23,1,11,SUCCESS,167461,Wt5C8BPAS0OPlzY3-txb-w
TabletObject#1301,1675226711559,3,59800,58402,179401,0.0,0,0,0,1,12,SUCCESS,179401,HjCGbXKCTS6BsDf3K9pimQ
ssm-DevelopersIO,1675225255822,3,61056,54432,183169,7.0,0,21,21,1,13,SUCCESS,183169,XWuPseyZQLOMJ31jSvdfog
Deepak-dpk,1675212832964,3,61663,57326,184991,10.333333333333334,0,31,31,1,14,SUCCESS,184991,gDTBFK77TM6wD6uObZlulA
PassingUpdate#4020,1675221002312,3,73229,71800,219687,11.333333333333334,0,34,34,2,15,SUCCESS,219687,9udxMjnnSPC27-sAITj85A
HigherDocumentation#0293,1675218102690,3,92976,84608,278930,11.333333333333334,0,34,34,1,16,SUCCESS,278930,O0HQl0PWT-qXOdJwD9yAzw
Yuliya,1675225013779,3,103310,91926,309930,21.0,0,63,63,2,17,SUCCESS,309930,JWJgkv8bSKeMIGYZ9roR-A
LoopingCharacter#7624,1675225544572,3,111397,106059,334193,13.666666666666666,0,41,41,2,18,SUCCESS,334193,HfHKiUrBRxqfwCpxlBMdsQ
nickyl,1675224262310,3,112821,100865,338463,25.333333333333332,0,76,76,1,19,SUCCESS,338463,O0GALYAoRfGA0kUV6ftgqQ
ferrite,1675227714989,3,114886,107797,344660,26.0,0,78,78,1,20,SUCCESS,344660,SRAgn9lMTCmIjaBREP7hxA
AM730,1675223518452,3,120797,108801,362392,26.333333333333332,0,79,79,1,21,SUCCESS,362392,BVyCq7XIT-ObuDsJfFVtDA
DesktopContext#0079,1675213294658,3,150108,146863,450326,34.0,0,102,102,1,22,SUCCESS,450326,slLeyibPS3KBVuCX-wKouQ
Sauner#9329,1675217996661,3,278717,268886,836153,71.0,0,213,213,1,23,SUCCESS,836153,aRTETr61T12PIve5wg-v3Q
