Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
rosscomp1,1677331406637,3,17443,17134,52329,0.0,0,0,0,2681,1,SUCCESS,52329,fb0d597a87f94697aa1c6w
JJ,1677548726516,3,17620,17334,52860,0.0,0,0,0,2533,2,SUCCESS,52860,afdcX_4vRH6Ussd0mbg5LQ
ZoD,1676396887103,3,18441,18062,55323,0.0,0,0,0,3513,3,SUCCESS,55323,TFtvCas4TRWchrBPMyGh0A
JPMC-London-Griffc,1677100726509,3,18665,18397,55995,0.0,0,0,0,313,4,SUCCESS,55995,S1EcBZeaRjW2s85WNzBBog
BennyLBS,1677627459347,3,18752,18463,56256,0.0,0,0,0,188,5,SUCCESS,56256,wD3fjDFZTJaZd9AU7WRDlA
Karl-NAB,1677480735186,3,18753,18398,56261,0.0,0,0,0,3166,6,SUCCESS,56261,4vOOxLIsSjeL2WFaO5o_fQ
ferrite,1677206437910,3,18818,18531,56454,0.0,0,0,0,705,7,SUCCESS,56454,SRAgn9lMTCmIjaBREP7hxA
MattCamp,1677513333657,3,19043,18794,57129,0.0,0,0,0,7024,8,SUCCESS,57129,9z8BN2mkSj-Dlb_Chg_0Hw
Version-Infinite,1677586105667,3,19063,18800,57190,0.0,0,0,0,3721,9,SUCCESS,57190,N5Bzb-oJTAup8q3QAYGZww
DaVinciDriver,1677625140881,3,19084,18870,57253,0.0,0,0,0,1512,10,SUCCESS,57253,XtzXYz2pRByDnXz90XNGSw
TonyJ,1677618006731,3,19177,18737,57531,0.0,0,0,0,451,11,SUCCESS,57531,af962be5a4ed4c57af807w
RayG-DBS,1677241561940,3,19241,18998,57725,0.0,0,0,0,3428,12,SUCCESS,57725,YNrvM9f5RteeSrCl7oFC5w
Off-track,1676386263776,3,19597,19002,58791,0.0,0,0,0,2905,13,SUCCESS,58791,1R021ZoDQrqxSUiHfBvyEw
ADA,1677493910578,3,19708,19530,59126,0.0,0,0,0,1077,14,SUCCESS,59126,KiqOhQPjTamuBXicXnKGEA
DBro,1677076256957,3,19796,19392,59390,0.0,0,0,0,15,15,SUCCESS,59390,jEkEOpjZRhGUbyDZIfTo_A
AJM-Model-1,1676942903329,3,19953,19466,59861,0.0,0,0,0,16,16,SUCCESS,59861,gdsU9bkGRWW7LTEHP4rGgQ
Deepak-dpk,1677626738472,3,20350,19864,61050,0.0,0,0,0,2875,17,SUCCESS,61050,gDTBFK77TM6wD6uObZlulA
dartjason,1677141036658,3,20353,19932,61060,0.0,0,0,0,1121,18,SUCCESS,61060,JSflDq5rQgKEuA5Ots4kDQ
nickyl,1677447294237,3,20373,19997,61119,0.0,0,0,0,369,19,SUCCESS,61119,O0GALYAoRfGA0kUV6ftgqQ
RobinCastro-DBS,1677191587406,3,20443,20137,61330,0.0,0,0,0,7,20,SUCCESS,61330,7KrbyQXvTBOxnBa0p9YuUA
AIDeepRacer,1676869165809,3,20464,19607,61393,0.0,0,0,0,10,21,SUCCESS,61393,pIRbdCx6QYatgVXm2p5GbA
PolishThunder,1676259522846,3,20640,20197,61921,0.0,0,0,0,3071,22,SUCCESS,61921,qi512oGVTry8V-KtP6j2_w
Atubee,1677595130898,3,20819,20732,62458,0.0,0,0,0,5,23,SUCCESS,62458,1z0O0ZjuQH6joGqmg1qXtA
MattKreder,1677579532828,3,21087,20801,63262,0.0,0,0,0,1293,24,SUCCESS,63262,cVk-aYKdRUmuL0qmjyzmag
kashi,1676496115204,3,21487,20735,64462,0.0,0,0,0,5,25,SUCCESS,64462,oq7yCLy5QAeEP6k7o53L8A
JPMC-DriftKing-Houston,1676990654654,3,21552,20936,64657,0.0,0,0,0,21,26,SUCCESS,64657,fngewpiZSZm11yX7YgwnMA
JPMC-LONDON-HandsFree,1677381710405,3,21642,21066,64926,0.0,0,0,0,165,27,SUCCESS,64926,DZAYqyd-Tp6eE15IopWCgQ
JPMC-Speedy-Gonzales-LATAM,1677574209580,3,21751,21595,65255,0.0,0,0,0,99,28,SUCCESS,65255,McOa_W8cTW2EErfZhOoKxA
JPMC-HYD-02,1677262015490,3,21994,21593,65983,0.0,0,0,0,6,29,SUCCESS,65983,LKdw_hyKTSu7moFuxbmiZw
