Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1687488807908,3,17309,17001,51929,0.0,0,0,0,49,SUCCESS,51929,fb0d597a87f94697aa1c6w
2,JJ,1688167272052,3,17508,17267,52526,0.0,0,0,0,34,SUCCESS,52526,afdcX_4vRH6Ussd0mbg5LQ
3,TonyJ,1688165894573,3,18042,17939,54128,0.0,0,0,0,50,SUCCESS,54128,af962be5a4ed4c57af807w
4,Karl-NAB,1687913252142,3,18219,18064,54659,0.0,0,0,0,50,SUCCESS,54659,4vOOxLIsSjeL2WFaO5o_fQ
5,PolishThunder,1687459870986,3,18354,18000,55063,0.0,0,0,0,50,SUCCESS,55063,qi512oGVTry8V-KtP6j2_w
6,Duckworth,1688148695107,3,18486,18129,55459,0.0,0,0,0,48,SUCCESS,55459,VIu9BQ4-Th6gUqu60ztwUQ
7,AJM-Model-1,1687902808922,3,18486,18397,55459,0.0,0,0,0,47,SUCCESS,55459,gdsU9bkGRWW7LTEHP4rGgQ
8,ferrite,1686885050994,3,18620,18395,55860,0.0,0,0,0,44,SUCCESS,55860,SRAgn9lMTCmIjaBREP7hxA
9,Ernesto-PhilJ,1687711424677,3,18752,18528,56258,0.0,0,0,0,50,SUCCESS,56258,8zBEAp0-S5yGbcZvytGZGQ
10,RayG-DBS,1688141210837,3,18798,18537,56396,0.0,0,0,0,50,SUCCESS,56396,YNrvM9f5RteeSrCl7oFC5w
11,nickyl,1688161348033,3,18865,18601,56596,0.0,0,0,0,50,SUCCESS,56596,O0GALYAoRfGA0kUV6ftgqQ
12,DaVinciDriver,1687722879728,3,18885,18526,56657,0.0,0,0,0,50,SUCCESS,56657,XtzXYz2pRByDnXz90XNGSw
13,Off-track,1688161088967,3,18889,18533,56668,0.0,0,0,0,50,SUCCESS,56668,1R021ZoDQrqxSUiHfBvyEw
14,Hins,1688152953037,3,18929,18668,56789,0.0,0,0,0,50,SUCCESS,56789,TrdfMZyuRVWfUUCH-IYRKg
