Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Yi-LI-NYCU-CGI,1665406950680,1,17932,17932,157064,0.25,0,2,2,1,1,SUCCESS,17932,OPEN,jrJHq8pZQAyj4gGqMw8-DQ
ZhengYi-NYCU-CGI,1665414690093,1,18332,18332,165336,0.5,1,2,4,1,2,SUCCESS,18332,OPEN,qY4J9IzvQS6a1N-KZXwviA
Yoway-NYCU-CGI,1665414563725,1,18335,18335,168329,0.0,0,0,0,1,3,SUCCESS,18335,OPEN,1fBE9Y-DR4aOhdY6ydu-rA
JPMC-TeamOne-BuenosAires,1665412712293,1,18667,18667,143794,1.1666666666666667,5,2,7,1,4,SUCCESS,18667,OPEN,Fy8bvUIzSN-N-e3D74JhPw
Ensono-Ernesto,1665414699931,1,19469,19469,165034,0.125,1,0,1,1,5,SUCCESS,19469,OPEN,8zBEAp0-S5yGbcZvytGZGQ
JPMC-MUMBAI-FormulaAI,1665411291231,1,19740,19740,172731,0.375,1,2,3,1,6,SUCCESS,19740,OPEN,Gx2StgEoSza3Gxxo4Oghug
ferrite,1665412553238,1,20002,20002,179464,0.5,1,3,4,1,7,SUCCESS,20002,OPEN,SRAgn9lMTCmIjaBREP7hxA
RobinCastro-DBS,1665414333570,1,20056,20056,175996,1.4285714285714286,5,5,10,1,8,SUCCESS,20056,OPEN,7KrbyQXvTBOxnBa0p9YuUA
Doug-Racer,1665412556059,1,20137,20137,177140,1.1428571428571428,6,2,8,1,9,SUCCESS,20137,OPEN,1R021ZoDQrqxSUiHfBvyEw
JPMC-KWGKMY-HongKong,1665407526404,1,22598,22598,160859,2.4,8,4,12,1,10,SUCCESS,22598,OPEN,zKdKXknwQVCObGdEgutObQ
TimC,1665412868974,1,27598,27598,171106,3.8,2,17,19,1,11,SUCCESS,27598,OPEN,5uT4nmOrSdWr814lPIdrGg
DaVinciDriver,1665413112347,1,28795,28795,158809,4.5,18,0,18,1,12,SUCCESS,28795,OPEN,XtzXYz2pRByDnXz90XNGSw
barkingdog,1665402295093,1,28870,28870,154474,1.4,5,2,7,1,13,SUCCESS,28870,OPEN,b3960b6c6f58458880ceew
LeadingAI,1665412613714,1,28993,28993,151390,4.0,6,10,16,1,14,SUCCESS,28993,OPEN,VP5wwaH5T4GciaMX2ocEvQ
Joffe,1665412535656,1,28999,28999,158865,2.6,11,2,13,1,15,SUCCESS,28999,OPEN,ce17e3bfe82649448e2f3w
JPMC-RogerRabbit-Houston,1665406169393,1,41074,41074,143260,12.0,20,4,24,1,16,SUCCESS,41074,OPEN,TSoego0RTCazPagbkqTnlw
