Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Yi-LI-NYCU-CGI,1665406950680,1,17932,17932,157064,0.25,0,2,2,2,1,SUCCESS,17932,OPEN,jrJHq8pZQAyj4gGqMw8-DQ
ZhengYi-NYCU-CGI,1665418893822,1,17937,17937,165597,0.5,1,3,4,2,2,SUCCESS,17937,OPEN,qY4J9IzvQS6a1N-KZXwviA
Yoway-NYCU-CGI,1665418959726,1,18198,18198,175664,0.2222222222222222,1,1,2,2,3,SUCCESS,18198,OPEN,1fBE9Y-DR4aOhdY6ydu-rA
JPMC-BA-D3,1665412712293,1,18667,18667,143794,1.1666666666666667,5,2,7,2,4,SUCCESS,18667,OPEN,Fy8bvUIzSN-N-e3D74JhPw
JPMC-MUMBAI-FormulaAI,1665418894525,1,18802,18802,161379,0.7142857142857143,2,2,5,2,5,SUCCESS,18802,OPEN,Gx2StgEoSza3Gxxo4Oghug
Ernesto-PhilJ,1665418852588,1,19257,19257,170892,0.375,3,0,3,2,6,SUCCESS,19257,OPEN,8zBEAp0-S5yGbcZvytGZGQ
RobinCastro-DBS,1665418924880,1,19605,19605,164465,2.0,6,6,12,2,7,SUCCESS,19605,OPEN,7KrbyQXvTBOxnBa0p9YuUA
ferrite,1665412553238,1,20002,20002,179464,0.5,1,3,4,2,8,SUCCESS,20002,OPEN,SRAgn9lMTCmIjaBREP7hxA
Off-track,1665418837457,1,20135,20135,178174,1.2857142857142858,9,0,9,2,9,SUCCESS,20135,OPEN,1R021ZoDQrqxSUiHfBvyEw
Joffe,1665418862301,1,20273,20273,168615,2.0,4,8,12,2,10,SUCCESS,20273,OPEN,ce17e3bfe82649448e2f3w
LeadingAI,1665418906157,1,21660,21660,179259,3.8,4,15,19,2,11,SUCCESS,21660,OPEN,VP5wwaH5T4GciaMX2ocEvQ
JPMC-Singapore-FalsePositives,1665407526404,1,22598,22598,160859,2.4,8,4,12,2,12,SUCCESS,22598,OPEN,zKdKXknwQVCObGdEgutObQ
DaVinciDriver,1665418870194,1,26000,26000,177304,0.8333333333333334,3,2,5,2,13,SUCCESS,26000,OPEN,XtzXYz2pRByDnXz90XNGSw
TimC,1665412868974,1,27598,27598,171106,3.8,2,17,19,2,14,SUCCESS,27598,OPEN,5uT4nmOrSdWr814lPIdrGg
barkingdog,1665402295093,1,28870,28870,154474,1.4,5,2,7,2,15,SUCCESS,28870,OPEN,b3960b6c6f58458880ceew
JPMC-BMTH-CTRL-PLUS-SPEED,1665406169393,1,41074,41074,143260,12.0,20,4,24,2,16,SUCCESS,41074,OPEN,TSoego0RTCazPagbkqTnlw
