Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Xavier,1630455282598,3,32555,30500,97665,0.6666666666666666,0,2,2,17,1,SUCCESS,97665,PRO,pPhTbPBRSg-L3tYPKcCjcA
atnmn,1630455116954,3,35716,32587,107148,3.0,0,9,9,1,2,SUCCESS,107148,PRO,b3960b6c6f58458880cee615ce806578
AJM-Model-1,1630461289850,3,40175,34830,120525,3.6666666666666665,2,9,11,3,3,SUCCESS,120525,PRO,gdsU9bkGRWW7LTEHP4rGgQ
Deepak-dpk,1630457199888,3,41992,37776,125977,1.6666666666666667,1,4,5,2,4,SUCCESS,125977,PRO,gDTBFK77TM6wD6uObZlulA
CGS-Slipstream,1630456538260,3,42572,38725,127716,0.6666666666666666,1,1,2,2,5,SUCCESS,127716,PRO,N6W21hRAQAqs-12kYgYM6Q
Yuliya,1630464198811,3,43331,36286,129993,3.0,2,7,9,4,6,SUCCESS,129993,PRO,JWJgkv8bSKeMIGYZ9roR-A
Carvai,1630464114706,3,47109,41711,141328,6.0,2,16,18,1,7,SUCCESS,141328,PRO,SsDvF8JeRvaeXye0kQfvpA
CGS-NoobRacer,1630455775025,3,48253,43747,144760,5.0,3,12,15,2,8,SUCCESS,144760,PRO,aAzrnsy5RA-xhP44Su0AWg
CGS-9Mile,1630455043106,3,48395,44215,145186,2.0,2,4,6,1,9,SUCCESS,145186,PRO,ZPCD0DNvQwqWdAt7zw4C0Q
ABaykov,1630462595297,3,48489,42144,145467,5.666666666666667,1,16,17,1,10,SUCCESS,145467,PRO,aa28j7SWTd-LxMzvFoj_bA
KK-Gamma,1630463112150,3,49549,47375,148647,2.0,1,5,6,4,11,SUCCESS,148647,PRO,SUzu0ImUSkOv8U68lX_4Pg
CGS-on-your-12-hopefully,1630456548221,3,50091,42717,150274,7.0,1,20,21,6,12,SUCCESS,150274,PRO,C4LEAeusQ8uY4gJ45GcKlg
BLR-1-AWSTruck,1630462693639,3,50776,47742,152330,4.666666666666667,4,10,14,1,13,SUCCESS,152330,PRO,5QgNJ6hLRwOy2hUwgMKdig
Elika,1630456380025,3,54463,43689,163390,4.0,4,8,12,1,14,SUCCESS,163390,PRO,ttQ3BR0RTiGi0tdduIXIzA
gist,1630458755453,3,57937,54609,173812,3.3333333333333335,5,5,10,5,15,SUCCESS,173812,PRO,PBQyfsfCSf-G_w5-0w58fg
Hong-HK,1630464390335,3,58111,54806,174334,4.666666666666667,4,10,14,1,16,SUCCESS,174334,PRO,qREdi4HSRtyT8dbivqeyow
JPMC-HandsFree-London,1630455998919,3,68930,58734,206791,11.666666666666666,2,33,35,1,17,SUCCESS,206791,PRO,DZAYqyd-Tp6eE15IopWCgQ
