Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1657442766203,3,19216,18534,57650,0.0,0,0,0,1897,1,SUCCESS,57650,PRO,afdcX_4vRH6Ussd0mbg5LQ
rosscomp1,1657841969939,3,19818,19670,59455,0.0,0,0,0,1645,2,SUCCESS,59455,PRO,fb0d597a87f94697aa1c6w
Duckworth,1657810686596,3,20129,19727,60388,0.0,0,0,0,1037,3,SUCCESS,60388,PRO,VIu9BQ4-Th6gUqu60ztwUQ
TonyJ,1657936626582,3,20306,20002,60918,0.0,0,0,0,252,4,SUCCESS,60918,PRO,af962be5a4ed4c57af807w
Karl-NAB,1657930986534,3,20660,20322,61981,0.0,0,0,0,858,5,SUCCESS,61981,PRO,4vOOxLIsSjeL2WFaO5o_fQ
ferrite,1657455036832,3,20819,20133,62458,0.0,0,0,0,623,6,SUCCESS,62458,PRO,SRAgn9lMTCmIjaBREP7hxA
JPMC-LONDON-HandsFree,1657220270357,3,20865,20008,62595,0.0,0,0,0,272,7,SUCCESS,62595,PRO,DZAYqyd-Tp6eE15IopWCgQ
ADA,1657038990686,3,20886,20596,62658,0.0,0,0,0,630,8,SUCCESS,62658,PRO,KiqOhQPjTamuBXicXnKGEA
JPMC-MUMBAI-FormulaAI,1657868307884,3,20985,20460,62956,0.0,0,0,0,743,9,SUCCESS,62956,PRO,Gx2StgEoSza3Gxxo4Oghug
Ensono-Ernesto,1657926962491,3,20998,20604,62994,0.0,0,0,0,801,10,SUCCESS,62994,PRO,8zBEAp0-S5yGbcZvytGZGQ
LeadingAI,1657727990854,3,21348,20742,64045,0.0,0,0,0,1404,11,SUCCESS,64045,PRO,VP5wwaH5T4GciaMX2ocEvQ
dartjason,1657885531630,3,22108,21061,66326,0.0,0,0,0,1155,12,SUCCESS,66326,PRO,JSflDq5rQgKEuA5Ots4kDQ
barkingdog,1657791210352,3,22239,21994,66718,0.0,0,0,0,1852,13,SUCCESS,66718,PRO,b3960b6c6f58458880ceew
DoomBuggy,1657823999232,3,22397,22253,67193,0.0,0,0,0,23,14,SUCCESS,67193,PRO,QakV_nzOTm2q_NhqUMwIJw
JPMC-Chetak-Singapore,1657945355784,3,22503,22330,67510,0.0,0,0,0,749,15,SUCCESS,67510,PRO,LJzDpiNuTFeHu9dsqp1APw
JPMC-DriftKing-Houston,1657654168961,3,22552,22194,67657,0.0,0,0,0,90,16,SUCCESS,67657,PRO,fngewpiZSZm11yX7YgwnMA
TimC,1657939411570,3,22704,21064,68114,0.3333333333333333,1,0,1,111,17,SUCCESS,68114,PRO,5uT4nmOrSdWr814lPIdrGg
tranvietdung-DBS,1657489317040,3,23050,22528,69150,0.0,0,0,0,948,18,SUCCESS,69150,PRO,3OwVWi6tQDCpBzKpWfHj7Q
Doug-Racer,1657724222485,3,23267,21587,69801,0.3333333333333333,0,1,1,1052,19,SUCCESS,69801,PRO,1R021ZoDQrqxSUiHfBvyEw
AJM-Model-1,1656816591481,3,24839,24195,74518,0.0,0,0,0,493,20,SUCCESS,74518,PRO,gdsU9bkGRWW7LTEHP4rGgQ
BoltronRacingTeam,1657950487153,3,24994,24595,74982,0.0,0,0,0,60,21,SUCCESS,74982,PRO,Lkrg6gQPQ5qwn61K16MHhg
DaVinciDriver,1657869698957,3,25236,23598,75708,0.3333333333333333,1,0,1,4,22,SUCCESS,75708,PRO,XtzXYz2pRByDnXz90XNGSw
Greenhive,1657300676116,3,25463,25397,76390,0.0,0,0,0,606,23,SUCCESS,76390,PRO,bHj4ARa2QxaqpIhff1Xf_Q
Tomorrowland-Speedway,1657622235406,3,25753,24674,77261,0.0,0,0,0,1165,24,SUCCESS,77261,PRO,AuyCOezGRKOT-zoMo85Ekg
Mentaiko-DevelopersIO,1657749580994,3,26261,25938,78785,0.0,0,0,0,667,25,SUCCESS,78785,PRO,Wt5C8BPAS0OPlzY3-txb-w
ShibaInu-DevelopersIO,1657859203028,3,27277,26341,81832,0.0,0,0,0,447,26,SUCCESS,81832,PRO,q3lEztDGTfSD-GgkF5IgTg
Mungi,1656942788037,3,27539,24796,82618,0.6666666666666666,1,1,2,6,27,SUCCESS,82618,PRO,RgTvucbNQja7yiYbgh2p9A
JPMC-MEXICO-FuerzaBruta,1657407435886,3,27577,26331,82731,0.3333333333333333,1,0,1,24,28,SUCCESS,82731,PRO,ja9G8Oc5R82GvO0xrE7OHg
RobinCastro-DBS,1657928807981,3,28139,25418,84418,0.6666666666666666,2,0,2,8,29,SUCCESS,84418,PRO,7KrbyQXvTBOxnBa0p9YuUA
KM-Harrier,1657858952265,3,29482,26066,88446,0.6666666666666666,0,2,2,240,30,SUCCESS,88446,PRO,3b8cUKuuQfOWQgfjZSeVFw
Galileo,1657184267786,3,29597,25530,88791,1.0,0,3,3,124,31,SUCCESS,88791,PRO,Y79AzaaOR-u4LVKMxu1Mdw
JPMC-BMTH-RacersOfTheLostArk,1657746304943,3,29797,27869,89391,1.6666666666666667,0,5,5,11,32,SUCCESS,89391,PRO,4607b3c36ab4490cad7a4w
JPMC-KWGKMY-HongKong,1657820742711,3,31109,26660,93327,1.3333333333333333,2,2,4,50,33,SUCCESS,93327,PRO,zKdKXknwQVCObGdEgutObQ
Ash-DNPds,1657075325570,3,32864,32268,98593,1.0,2,1,3,9,34,SUCCESS,98593,PRO,9aced9109a634d11a3134w
gabrielkoo#HongKong,1657564566396,3,33264,30941,99794,0.6666666666666666,2,0,2,1129,35,SUCCESS,99794,PRO,ydUnMZutQDmeS4U2pIDYLg
DBro,1656713893405,3,34123,26870,102370,3.0,2,7,9,4,36,SUCCESS,102370,PRO,jEkEOpjZRhGUbyDZIfTo_A
S-P-,1657625489431,3,34142,26094,102428,2.3333333333333335,4,3,7,2,37,SUCCESS,102428,PRO,MxT5p4ZvSTOcc6ANa8VZNg
AIDeepRacer,1656635016588,3,34220,30198,102661,3.3333333333333335,2,8,10,2,38,SUCCESS,102661,PRO,pIRbdCx6QYatgVXm2p5GbA
Maximus-KK,1657022263501,3,35063,32601,105191,1.6666666666666667,0,5,5,114,39,SUCCESS,105191,PRO,SUzu0ImUSkOv8U68lX_4Pg
CodeMachine,1657160227196,3,35730,35272,107190,1.0,3,0,3,17,40,SUCCESS,107190,PRO,b_WzN_r8ToGPle_8bl2tMA
JPMC-TeamOne-BuenosAires,1657562141368,3,38188,36138,114565,3.6666666666666665,1,10,11,6,41,SUCCESS,114565,PRO,Fy8bvUIzSN-N-e3D74JhPw
GoodEveningWeAreFromUkraine,1656667525488,3,39171,34712,117514,3.3333333333333335,4,6,10,2,42,SUCCESS,117514,PRO,oX4dpYxLTFG2UU6NprA-7g
Fumiaki,1656636434291,3,39197,33926,117593,4.333333333333333,0,13,13,1,43,SUCCESS,117593,PRO,5RzBNYRAQoWVausi3eyhRg
Yuliya,1657369077050,3,39801,33820,119403,4.0,5,7,12,29,44,SUCCESS,119403,PRO,JWJgkv8bSKeMIGYZ9roR-A
JPMC-Columbus-AngryWookie,1657938426197,3,40095,35465,120286,1.6666666666666667,4,1,5,245,45,SUCCESS,120286,PRO,rIIziACfQnGou4zeDTbyTg
OsyOsy,1657379675489,3,43233,35573,129701,3.3333333333333335,7,3,10,8,46,SUCCESS,129701,PRO,3itfR0AOSiGl4x2s6JthHw
ABaykov,1656907376050,3,43715,39064,131147,5.333333333333333,1,15,16,8,47,SUCCESS,131147,PRO,aa28j7SWTd-LxMzvFoj_bA
qnet1,1657705226810,3,43781,41074,131345,1.6666666666666667,1,4,5,42,48,SUCCESS,131345,PRO,ndHmswy4RUa6R8LcyvrxOA
Kire,1656679781199,3,44388,43202,133165,3.0,5,4,9,7,49,SUCCESS,133165,PRO,N0y9CR6fQN-a4UlAFsTC5Q
