Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
rosscomp1,1659045965808,3,18974,18661,56922,0.0,0,0,0,4821,1,SUCCESS,56922,PRO,fb0d597a87f94697aa1c6w
JJ,1658591347305,3,19018,18731,57055,0.0,0,0,0,6254,2,SUCCESS,57055,PRO,afdcX_4vRH6Ussd0mbg5LQ
Karl-NAB,1659302644194,3,19680,19324,59042,0.0,0,0,0,5222,3,SUCCESS,59042,PRO,4vOOxLIsSjeL2WFaO5o_fQ
TonyJ,1659023407286,3,19749,19593,59249,0.0,0,0,0,4606,4,SUCCESS,59249,PRO,af962be5a4ed4c57af807w
JPMC-BMTH-CTRL-PLUS-SPEED,1658848068707,3,19906,19672,59718,0.0,0,0,0,2433,5,SUCCESS,59718,PRO,TSoego0RTCazPagbkqTnlw
Duckworth,1658462647057,3,19931,19456,59795,0.0,0,0,0,2985,6,SUCCESS,59795,PRO,VIu9BQ4-Th6gUqu60ztwUQ
Ernesto-PhilJ,1658330162748,3,20177,20004,60531,0.0,0,0,0,2798,7,SUCCESS,60531,PRO,8zBEAp0-S5yGbcZvytGZGQ
ferrite,1659021040021,3,20462,20067,61387,0.0,0,0,0,1413,8,SUCCESS,61387,PRO,SRAgn9lMTCmIjaBREP7hxA
AJM-Model-1,1658954520457,3,20510,20195,61530,0.0,0,0,0,2913,9,SUCCESS,61530,PRO,gdsU9bkGRWW7LTEHP4rGgQ
JPMC-DriftKing-Houston,1658301796737,3,20526,20130,61580,0.0,0,0,0,464,10,SUCCESS,61580,PRO,fngewpiZSZm11yX7YgwnMA
dartjason,1658854986602,3,20841,20727,62524,0.0,0,0,0,3918,11,SUCCESS,62524,PRO,JSflDq5rQgKEuA5Ots4kDQ
JPMC-LONDON-HandsFree,1657220270357,3,20865,20008,62595,0.0,0,0,0,418,12,SUCCESS,62595,PRO,DZAYqyd-Tp6eE15IopWCgQ
ADA,1657038990686,3,20886,20596,62658,0.0,0,0,0,630,13,SUCCESS,62658,PRO,KiqOhQPjTamuBXicXnKGEA
JPMC-MUMBAI-FormulaAI,1657868307884,3,20985,20460,62956,0.0,0,0,0,1258,14,SUCCESS,62956,PRO,Gx2StgEoSza3Gxxo4Oghug
LeadingAI,1658195786589,3,21039,20403,63119,0.0,0,0,0,3225,15,SUCCESS,63119,PRO,VP5wwaH5T4GciaMX2ocEvQ
TimC,1658153303366,3,21040,20391,63122,0.0,0,0,0,1953,16,SUCCESS,63122,PRO,5uT4nmOrSdWr814lPIdrGg
Fumiaki,1659299439196,3,21085,20736,63257,0.0,0,0,0,1162,17,SUCCESS,63257,PRO,5RzBNYRAQoWVausi3eyhRg
