Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1648942283993,3,23534,21739,70603,0.3333333333333333,1,0,1,3,1,SUCCESS,70603,PRO,afdcX_4vRH6Ussd0mbg5LQ
atnmn,1648978189537,3,27151,26403,81455,0.0,0,0,0,554,2,SUCCESS,81455,PRO,b3960b6c6f58458880ceew
ferrite,1648937722577,3,30628,27726,91884,1.0,0,3,3,34,3,SUCCESS,91884,PRO,SRAgn9lMTCmIjaBREP7hxA
PolishThunder,1648799319543,3,32173,30533,96520,1.3333333333333333,1,3,4,99,4,SUCCESS,96520,PRO,qi512oGVTry8V-KtP6j2_w
PaloAlto#1095,1648937073321,3,34085,31857,102256,0.6666666666666666,2,0,2,6,5,SUCCESS,102256,PRO,67QRyD_OTAG-4sD2l7rdmA
Yuliya,1648968889333,3,36241,33859,108724,2.6666666666666665,2,6,8,9,6,SUCCESS,108724,PRO,JWJgkv8bSKeMIGYZ9roR-A
Doug-Racer,1648902602831,3,36265,33533,108797,2.6666666666666665,0,8,8,309,7,SUCCESS,108797,PRO,1R021ZoDQrqxSUiHfBvyEw
Rober,1648801210283,3,37147,33134,111443,3.3333333333333335,0,9,10,1,8,SUCCESS,111443,PRO,KrRSYhzKTfONjRaDUc_ubQ
AJM-Model-1,1648906448076,3,39000,34339,117000,2.3333333333333335,2,5,7,4,9,SUCCESS,117000,PRO,gdsU9bkGRWW7LTEHP4rGgQ
Ensono-Ernesto,1648795403952,3,40987,40598,122963,4.0,3,9,12,2,10,SUCCESS,122963,PRO,8zBEAp0-S5yGbcZvytGZGQ
Pyrenees,1648786150376,3,41910,40274,125732,3.3333333333333335,3,7,10,15,11,SUCCESS,125732,PRO,QsdAd2KLSj2GYVHS0P6ZQA
AIDeepRacer,1648953812689,3,43975,39136,131925,5.0,2,13,15,3,12,SUCCESS,131925,PRO,pIRbdCx6QYatgVXm2p5GbA
technopro#SHIBAZAKI-Tetsuya,1648927113362,3,45552,41940,136656,4.0,3,9,12,20,13,SUCCESS,136656,PRO,zGkD2T4QSY26nKoy_pOsbA
AstaRomeo,1648978384582,3,45917,39394,137751,2.0,3,3,6,4,14,SUCCESS,137751,PRO,ze0VVPonQs-1R3uAR9ga7g
Bandwidth-RnD,1648964489103,3,45979,42125,137939,5.333333333333333,1,15,16,67,15,SUCCESS,137939,PRO,77V1kp1kRJCO5D4zgSrqxA
Ashiq,1648968090987,3,47035,43299,141107,3.0,4,5,9,5,16,SUCCESS,141107,PRO,afEastFHR7maoIMhMnROJw
U8ntVerstappen-1b,1648919705727,3,47891,40535,143673,5.0,1,14,15,4,17,SUCCESS,143673,PRO,CQe3VgWbSbOBjPw37HgVng
AM730,1648983074528,3,47995,44401,143985,4.333333333333333,3,10,13,19,18,SUCCESS,143985,PRO,BVyCq7XIT-ObuDsJfFVtDA
EnBW-Flitzer,1648787995220,3,48420,44605,145261,4.666666666666667,6,8,14,1,19,SUCCESS,145261,PRO,je1HIMgRQtibB3H9325TRw
Xavier,1648968980632,3,48531,45001,145594,4.333333333333333,5,8,13,1,20,SUCCESS,145594,PRO,pPhTbPBRSg-L3tYPKcCjcA
F1-DevelopersIO,1648868463065,3,48800,41530,146402,6.0,3,15,18,14,21,SUCCESS,146402,PRO,UzQrKbzfSKyZCEf6eD2PBA
ocroucher,1648979699446,3,50487,47716,151461,3.0,7,2,9,5,22,SUCCESS,151461,PRO,u92WL690Q7GW_NuoMp7RZQ
BoltronRacingTeam,1648778952617,3,51065,45799,153195,6.333333333333333,4,15,19,4,23,SUCCESS,153195,PRO,Lkrg6gQPQ5qwn61K16MHhg
CriticalSystem#9091,1648821378097,3,51246,49065,153739,6.666666666666667,2,18,20,1,24,SUCCESS,153739,PRO,JoxXbOQdR0SjaaGmCADuNg
Shreyasi,1648909941447,3,51649,43159,154948,7.0,1,18,21,3,25,SUCCESS,154948,PRO,bCy_5iYESeGwCbF5orExPw
husky01,1648793155037,3,51799,49533,155397,5.333333333333333,2,14,16,9,26,SUCCESS,155397,PRO,G2ClJ7dCRKiNybbq4iAk-A
BennyLBS,1648815890368,3,52826,51797,158478,6.333333333333333,4,15,19,2,27,SUCCESS,158478,PRO,wD3fjDFZTJaZd9AU7WRDlA
Adam-Niu,1648780480136,3,53041,48384,159123,5.666666666666667,5,12,17,7,28,SUCCESS,159123,PRO,-mYtVYWFRXaby3hy_KwQWw
ManchesterW,1648903422136,3,54287,48533,162863,4.666666666666667,2,12,14,15,29,SUCCESS,162863,PRO,mAPrSQTNSDGet0HhNthXAA
livDaliberti,1648781333620,3,54354,43995,163062,7.0,6,15,21,1,30,SUCCESS,163062,PRO,vcy3kp2SQVOVFpFeCqptzA
Dug-Racer,1648771717613,3,54397,49986,163191,4.0,4,8,12,1,31,SUCCESS,163191,PRO,ebaac7d1eb7b4d3f9ae5cQ
GoodEveningWeAreFromUkraine,1648891516297,3,55082,50661,165247,5.333333333333333,2,14,16,12,32,SUCCESS,165247,PRO,oX4dpYxLTFG2UU6NprA-7g
AccessibleScript#1486,1648827430120,3,55261,50663,165784,5.333333333333333,7,9,16,3,33,SUCCESS,165784,PRO,M9pIf5qlQh-iUjGJpiNaHg
muzi,1648836778058,3,57269,51668,171807,9.666666666666666,0,29,29,5,34,SUCCESS,171807,PRO,-MRzonoQTti4O6q-Q7tYmQ
gcjordi,1648822293279,3,60376,54793,181130,5.666666666666667,10,7,17,2,35,SUCCESS,181130,PRO,4n-0HYIyQ2241dJ4tZirRg
