Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1650899263495,3,20797,20334,62393,0.0,0,0,0,4250,1,SUCCESS,62393,PRO,afdcX_4vRH6Ussd0mbg5LQ
rosscomp1,1650475337457,3,21419,21065,64257,0.0,0,0,0,3529,2,SUCCESS,64257,PRO,fb0d597a87f94697aa1c6w
DBro,1651027755395,3,21440,20658,64322,0.0,0,0,0,1889,3,SUCCESS,64322,PRO,jEkEOpjZRhGUbyDZIfTo_A
CGS-Huge-Hadr0n,1650918458241,3,21568,21191,64706,0.0,0,0,0,3255,4,SUCCESS,64706,PRO,63LA0_QCQ1-fRLzXgWmAeQ
Ernesto-PhilJ,1650001202907,3,21793,21205,65379,0.0,0,0,0,2627,5,SUCCESS,65379,PRO,8zBEAp0-S5yGbcZvytGZGQ
AIDeepRacer,1651299353554,3,21851,21268,65553,0.0,0,0,0,938,6,SUCCESS,65553,PRO,pIRbdCx6QYatgVXm2p5GbA
PolishThunder,1650784501005,3,21884,21265,65654,0.0,0,0,0,3623,7,SUCCESS,65654,PRO,qi512oGVTry8V-KtP6j2_w
Karl-NAB,1650435239045,3,21889,21059,65668,0.0,0,0,0,3570,8,SUCCESS,65668,PRO,4vOOxLIsSjeL2WFaO5o_fQ
TonyJ,1650751088522,3,22062,21615,66187,0.0,0,0,0,4934,9,SUCCESS,66187,PRO,af962be5a4ed4c57af807w
Duckworth,1651121166464,3,22119,21519,66358,0.0,0,0,0,4037,10,SUCCESS,66358,PRO,VIu9BQ4-Th6gUqu60ztwUQ
ZoD,1651031172260,3,22465,22201,67396,0.0,0,0,0,2363,11,SUCCESS,67396,PRO,TFtvCas4TRWchrBPMyGh0A
Deepak-dpk,1650920910191,3,22530,22071,67592,0.0,0,0,0,1291,12,SUCCESS,67592,PRO,gDTBFK77TM6wD6uObZlulA
