Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
condoriano,1606740736332,3,20323,19476,60971,0.0,0,0,0,42,1,SUCCESS,60971,xq_a3388T3Ob0PANJ2qulQ
JPMC-Vega-Hyderabad,1606760050349,3,21851,21250,65553,0.0,0,0,0,221,2,SUCCESS,65553,yQSFail2SLGaFehqTOx1dA
Mungi,1606684887318,3,21865,21415,65597,0.0,0,0,0,264,3,SUCCESS,65597,RgTvucbNQja7yiYbgh2p9A
kimwooglae,1606779099042,3,22568,22337,67706,0.0,0,0,0,3382,4,SUCCESS,67706,bOqKo-ebR_essdUaZVGO4Q
CGS-EnormousElectron,1606370987158,3,22676,21653,68029,0.0,0,0,0,73,5,SUCCESS,68029,ICfnmfZPQ2u2cmAyZsCFeQ
JPMC-HandsFree-London,1606774605840,3,22790,22260,68371,0.0,0,0,0,467,6,SUCCESS,68371,DZAYqyd-Tp6eE15IopWCgQ
VaughanDiesel,1606753011201,3,22800,22465,68401,0.0,0,0,0,294,7,SUCCESS,68401,ca37b6d347cd4f69aa20bw
think,1606779004541,3,22866,22063,68600,0.0,0,0,0,3708,8,SUCCESS,68600,IHHC4YftQLaMAs0VyXFJzw
AJM-Model-1,1606774575159,3,23854,23463,71563,0.0,0,0,0,1253,9,SUCCESS,71563,gdsU9bkGRWW7LTEHP4rGgQ
CGS-LargeLattice,1605486479339,3,24612,23528,73838,0.0,0,0,0,4,10,SUCCESS,73838,o6NgljsnTOOelVAsofMR3g
skoota,1605565132295,3,25377,24655,76132,0.0,0,0,0,903,11,SUCCESS,76132,-1lhRLeeRTCRUGoxx3ybDA
TimJ-RAIxKMITL,1606624256327,3,25931,25853,77793,0.0,0,0,0,5,12,SUCCESS,77793,wyRAIaIhSBaYDKQWDjr3KA
blueberrypie,1606572184977,3,26046,25736,78139,0.0,0,0,0,1218,13,SUCCESS,78139,EmZsQC41RtW5hhxb6z2-xQ
piano,1606670542537,3,26059,24860,78179,0.0,0,0,0,3403,14,SUCCESS,78179,UlhPeJD_R1mP1YVlotOxSA
ProteusXplorer,1606418609620,3,26450,25934,79352,0.0,0,0,0,251,15,SUCCESS,79352,iRqwbBoKQY-tP2tGpIMlxA
Slow-And-Steady,1606722192852,3,26633,26061,79900,0.0,0,0,0,533,16,SUCCESS,79900,0RPBTs2xSo--jGeO_frV5Q
Otaboroid,1606462694486,3,27368,27231,82104,0.0,0,0,0,61,17,SUCCESS,82104,UZOXxzgqTEq-U_FlPY-vGQ
WaveLabCup-test,1606459373185,3,28089,27617,84269,0.0,0,0,0,158,18,SUCCESS,84269,VoDpVnVvR6CwWViNtPYWXA
TienHoang-DBS,1606096262750,3,29038,28476,87115,0.0,0,0,0,0,19,SUCCESS,87115,6IwkeVP_SV-fxpC-59lOog
DBS-RMS-Falcon9,1605149247824,3,29430,26738,88292,0.0,0,0,0,9,20,SUCCESS,88292,IfnUN8lFTOW8-pJvnRaSsg
RockyMtnDemon,1606520381608,3,29617,29364,88853,0.0,0,0,0,86,21,SUCCESS,88853,CqrGZs3YQkeRHmrWFIRP1g
TAIRANO-KIYOMORI,1606380174054,3,30856,30596,92569,0.0,0,0,0,5,22,SUCCESS,92569,la1EHR0kSByt3GoF_d7avA
CKJ-Test-Race,1605053659506,3,31432,31063,94298,0.0,0,0,0,33,23,SUCCESS,94298,JRT_cd9TRteO-vBvU9bHZw
nbz,1606551380918,3,32166,31228,96500,0.0,0,0,0,106,24,SUCCESS,96500,8FY8Uq37SymGhEe9E3CkLw
MPQRT,1606743814467,3,32663,32105,97990,0.0,0,0,0,6,25,SUCCESS,97990,YFMbUfUkToeDUC25FsULxw
leo-DNPds,1606498030554,3,32712,31197,98136,0.0,0,0,0,64,26,SUCCESS,98136,5306ba34dbe645ed8e2bfQ
windawer2,1606404946597,3,33579,32814,100738,0.0,0,0,0,1134,27,SUCCESS,100738,Gx_2WujeTtGGnWiA5gk9xA
GT-DevelopersIO,1605526971282,3,34353,28869,103059,2.0,0,6,6,0,28,SUCCESS,103059,8WSp4P7ZRn-jJgZLnugwkA
Altwarp,1606210603796,3,34944,33138,104833,0.0,0,0,0,29,29,SUCCESS,104833,r2KQz4W5RJCmzK-OZcLNhg
sungin,1605320779856,3,35794,32403,107383,0.0,0,0,0,3,30,SUCCESS,107383,UjWA02dnRaKZ93FLnuKlSQ
Test1-2,1605537683172,3,36074,35109,108224,0.0,0,0,0,9,31,SUCCESS,108224,-gS_xaU_Rb6RiQhrUSyXLw
kawatakzk-practice-01,1606652718420,3,36162,35060,108488,0.0,0,0,0,72,32,SUCCESS,108488,jy5_7zoaRh68o3X6mU1YwQ
waka,1606737781646,3,36317,35802,108951,0.0,0,0,0,6,33,SUCCESS,108951,z8j3mFBhTG2Rkaj90Z-xLA
TeradaMotors,1605937047568,3,36329,35524,108989,0.0,0,0,0,294,34,SUCCESS,108989,k7WwYesVQSmNs3i2ICUNFg
REACTJSNerd,1605398137950,3,36501,36074,109505,0.0,0,0,0,9,35,SUCCESS,109505,3gc76G7TT2iCudqisiZz1w
Demo01,1606206671996,3,36676,35379,110029,0.0,0,0,0,155,36,SUCCESS,110029,XaDWpf3zQEqZHiWOO7gGvA
DrunkenOctopusEngineering,1605186131914,3,37078,34736,111235,1.3333333333333333,0,4,4,2,37,SUCCESS,111235,kJp3EuEbR7intKCp9JxK2Q
Aiis-DNP,1605759678887,3,37788,36339,113364,0.0,0,0,0,73,38,SUCCESS,113364,3dc2b18519ed4213867ddQ
BoogieTimeProductions,1606222411260,3,37860,37056,113581,0.0,0,0,0,600,39,SUCCESS,113581,MUyQlFafT0yFhQr1sApn9Q
hirosys,1606754796773,3,38417,36987,115251,0.0,0,0,0,216,40,SUCCESS,115251,DhYHXwMpSFuKMR0_Hv3Ndg
onlythree,1605435370255,3,38614,33333,115844,1.0,0,3,3,4,41,SUCCESS,115844,23e254b25ea0443389ed6w
JPMC-TeamOne-BuenosAires,1606007330750,3,38703,37460,116110,0.0,0,0,0,117,42,SUCCESS,116110,Fy8bvUIzSN-N-e3D74JhPw
