Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,CodeMachine,1696214663795,3,22394,21929,67184,0.0,0,0,0,3,SUCCESS,67184,b_WzN_r8ToGPle_8bl2tMA
2,JPMC-London-Griffc,1696159822119,3,24760,22802,74282,0.3333333333333333,0,1,1,2,SUCCESS,74282,S1EcBZeaRjW2s85WNzBBog
3,Ansh7,1696222350935,3,24952,24268,74858,0.0,0,0,0,3,SUCCESS,74858,JCwxucKeRWO_Eij9nr98UQ
4,IcePandaBoom,1696142830471,3,26315,24260,78946,0.6666666666666666,0,2,2,1,SUCCESS,78946,BTPWujqqTBOWGAFvEKyRaA
5,BoltronRacingTeam,1696224180175,3,31138,29939,93416,0.3333333333333333,0,1,1,1,SUCCESS,93416,Lkrg6gQPQ5qwn61K16MHhg
6,coppermannzero,1696189076906,3,31510,31335,94531,0.0,0,0,0,2,SUCCESS,94531,LXqv_TvTTi6p7jCcGd4vtg
7,MTFHammerdown,1696213118628,3,34173,34003,102521,0.0,0,0,0,4,SUCCESS,102521,7J7DkEoLQpWaSyQ8hbT9mA
8,JPMC-DriftKing-Houston,1696120868686,3,34840,32346,104520,2.6666666666666665,0,8,8,1,SUCCESS,104520,fngewpiZSZm11yX7YgwnMA
9,Yuliya,1696157042164,3,37062,36050,111186,0.6666666666666666,0,2,2,4,SUCCESS,111186,JWJgkv8bSKeMIGYZ9roR-A
10,Zeddx,1696228662722,3,37906,34139,113720,1.3333333333333333,0,4,4,6,SUCCESS,113720,lB7OvrjXS7CM0NMeM6IDPg
11,PrototypeBooster#2771,1696223430352,3,38731,34329,116194,3.0,0,9,9,4,SUCCESS,116194,4TqhNztdSU-vCI9DtVpzNQ
12,TimJWhite,1696181992253,3,38778,35598,116336,4.0,0,12,12,2,SUCCESS,116336,3dDHylmQSi-Rzd9uUamhlQ
13,BLR-ALLisWELL,1696143961009,3,39537,35737,118613,3.0,0,9,9,8,SUCCESS,118613,YvlaCbHmTcK1pwMngoUyBw
14,SuperSpeed,1696127013089,3,41558,35059,124675,2.0,0,6,6,2,SUCCESS,124675,rrvpIT85SiutUEtx03yQ_A
