Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1698706384428,3,18149,17922,54447,0.0,0,0,0,46,SUCCESS,54447,fb0d597a87f94697aa1c6w
2,JJ,1698713277738,3,18329,18063,54987,0.0,0,0,0,50,SUCCESS,54987,afdcX_4vRH6Ussd0mbg5LQ
3,ZhengYi-NYCU-CGI,1698732129703,3,19105,18873,57316,0.0,0,0,0,47,SUCCESS,57316,qY4J9IzvQS6a1N-KZXwviA
4,Duckworth,1698245163070,3,19195,18669,57585,0.0,0,0,0,38,SUCCESS,57585,VIu9BQ4-Th6gUqu60ztwUQ
5,CodeMachine,1698788688388,3,19305,18861,57917,0.0,0,0,0,37,SUCCESS,57917,b_WzN_r8ToGPle_8bl2tMA
6,TonyJ,1698700145150,3,19335,18870,58005,0.0,0,0,0,49,SUCCESS,58005,af962be5a4ed4c57af807w
7,BlazeJ,1698636591909,3,19353,19130,58060,0.0,0,0,0,2,SUCCESS,58060,wLnVTSqtROmx0WyQxjR3-g
8,ferrite,1698190851048,3,19819,19600,59458,0.0,0,0,0,19,SUCCESS,59458,SRAgn9lMTCmIjaBREP7hxA
9,EmilyLin,1697713113871,3,19949,19535,59847,0.0,0,0,0,3,SUCCESS,59847,-PWx1u0HTAGMbrfekOMmLA
10,DaVinciDriver,1698614141898,3,19955,19736,59866,0.0,0,0,0,47,SUCCESS,59866,XtzXYz2pRByDnXz90XNGSw
11,Off-track,1698794347129,3,19973,19805,59920,0.0,0,0,0,46,SUCCESS,59920,1R021ZoDQrqxSUiHfBvyEw
12,PolishThunder,1698441342998,3,20019,19674,60057,0.0,0,0,0,41,SUCCESS,60057,qi512oGVTry8V-KtP6j2_w
13,nickyl,1698028900564,3,20041,19736,60124,0.0,0,0,0,5,SUCCESS,60124,O0GALYAoRfGA0kUV6ftgqQ
14,Rober-rNiubo,1698592625552,3,20042,19597,60127,0.0,0,0,0,50,SUCCESS,60127,KrRSYhzKTfONjRaDUc_ubQ
15,IcePandaBoom,1697012351376,3,20108,19797,60325,0.0,0,0,0,30,SUCCESS,60325,BTPWujqqTBOWGAFvEKyRaA
16,Deepak-dpk,1698767786781,3,20130,19798,60390,0.0,0,0,0,50,SUCCESS,60390,gDTBFK77TM6wD6uObZlulA
17,JPMC-London-Griffc,1698607565940,3,20215,19931,60646,0.0,0,0,0,49,SUCCESS,60646,S1EcBZeaRjW2s85WNzBBog
18,MadCross,1698769312391,3,20371,20008,61115,0.0,0,0,0,28,SUCCESS,61115,Msh-oGccTR2Yn31a5coUHA
19,BennyLBS,1698547356570,3,20376,20325,61128,0.0,0,0,0,4,SUCCESS,61128,wD3fjDFZTJaZd9AU7WRDlA
20,RayG-DBS,1698610014468,3,20457,20060,61372,0.0,0,0,0,46,SUCCESS,61372,YNrvM9f5RteeSrCl7oFC5w
21,Hins,1698753996601,3,20466,19739,61400,0.0,0,0,0,11,SUCCESS,61400,TrdfMZyuRVWfUUCH-IYRKg
22,AJM-Model-1,1698330156290,3,20469,20273,61407,0.0,0,0,0,24,SUCCESS,61407,gdsU9bkGRWW7LTEHP4rGgQ
23,Marco-Solo,1698667464087,3,20641,20332,61924,0.0,0,0,0,50,SUCCESS,61924,Hg2CJNXMRmijQmd_jMSJyw
24,Eviden-Mark-Ross,1698595997982,3,20663,20267,61989,0.0,0,0,0,50,SUCCESS,61989,F_ThjPFRSx-guPadHlwEuA
25,DoomBuggy,1698763509243,3,20818,20392,62455,0.0,0,0,0,13,SUCCESS,62455,QakV_nzOTm2q_NhqUMwIJw
26,LeadingAI,1698344029919,3,20976,20599,62928,0.0,0,0,0,30,SUCCESS,62928,VP5wwaH5T4GciaMX2ocEvQ
27,Breadcentric,1698776563655,3,21109,20672,63327,0.0,0,0,0,37,SUCCESS,63327,SjNec5b-SpOk7y9b6rh4KQ
28,m45,1698757213046,3,21152,20928,63457,0.0,0,0,0,33,SUCCESS,63457,EUSWllrrTRep0vB4VQ4RSg
29,barkingdog,1698789558519,3,21191,20925,63573,0.0,0,0,0,44,SUCCESS,63573,b3960b6c6f58458880ceew
30,BSi,1697410751949,3,21194,21015,63584,0.0,0,0,0,50,SUCCESS,63584,2eb231b0a43f4940bfed3w
31,JPMC-LONDON-HandsFree,1698579023180,3,21262,20934,63788,0.0,0,0,0,24,SUCCESS,63788,DZAYqyd-Tp6eE15IopWCgQ
32,TorontoBill,1698795698269,3,21486,21002,64460,0.0,0,0,0,9,SUCCESS,64460,BYJnwsm1RZya9TK3DltTsQ
33,JPMC-Speedy-Gonzales-LATAM,1697468444803,3,21554,21068,64664,0.0,0,0,0,48,SUCCESS,64664,McOa_W8cTW2EErfZhOoKxA
34,JPMC-HYD-CircuitBreakers,1698784202703,3,21597,21201,64793,0.0,0,0,0,15,SUCCESS,64793,5Z9lAFNASzesOzD7FFfSHw
35,JPMC-MUMBAI-001,1698783411278,3,21642,21338,64926,0.0,0,0,0,9,SUCCESS,64926,ZCj8B6bLQXe3PHdAV99vKw
36,IntelligentScript#9208,1698796740277,3,21750,21466,65251,0.0,0,0,0,6,SUCCESS,65251,KCnk3ZxQTHu_S7ya_durtg
37,JPMC-BA-MiguelG,1698781782706,3,21974,21528,65923,0.0,0,0,0,10,SUCCESS,65923,ITPfFYXmSXKi3TqsvUHRKw
38,londoso-monst,1697226678326,3,22128,21725,66385,0.0,0,0,0,20,SUCCESS,66385,mQQF2PEFSvmDfnR4HGLM1Q
39,-Just-Be-Better-,1698791400699,3,22286,22060,66858,0.0,0,0,0,50,SUCCESS,66858,X_dNmJilS8SDBQ44yzd2fg
