Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
rosscomp1,1669387262197,3,12376,12001,37130,0.0,0,0,0,5735,1,SUCCESS,37130,fb0d597a87f94697aa1c6w
RayG-DBS,1669763234146,3,12598,11994,37796,0.0,0,0,0,4422,2,SUCCESS,37796,YNrvM9f5RteeSrCl7oFC5w
DaVinciDriver,1669440505245,3,12842,12599,38528,0.0,0,0,0,2545,3,SUCCESS,38528,XtzXYz2pRByDnXz90XNGSw
Ernesto-PhilJ,1669233607087,3,13107,12730,39322,0.0,0,0,0,3721,4,SUCCESS,39322,8zBEAp0-S5yGbcZvytGZGQ
BennyLBS,1669436264832,3,13108,12927,39324,0.0,0,0,0,1032,5,SUCCESS,39324,wD3fjDFZTJaZd9AU7WRDlA
nickyl,1668986422150,3,13197,12867,39591,0.0,0,0,0,1414,6,SUCCESS,39591,O0GALYAoRfGA0kUV6ftgqQ
TonyJ,1669727106178,3,13947,13324,41843,0.0,0,0,0,3480,7,SUCCESS,41843,af962be5a4ed4c57af807w
JerryLee,1669671221043,3,14085,13535,42256,0.0,0,0,0,2526,8,SUCCESS,42256,BMjoJ3L7ShGsF5gA1lHdkw
JPMC-HYD-CircuitBreakers,1669980739854,3,14107,13867,42323,0.0,0,0,0,29,9,SUCCESS,42323,5Z9lAFNASzesOzD7FFfSHw
JPMC-LONDON-HandsFree,1669062703523,3,14620,14260,43860,0.0,0,0,0,54,10,SUCCESS,43860,DZAYqyd-Tp6eE15IopWCgQ
IcePandaBoom,1668844528622,3,14662,14327,43986,0.0,0,0,0,5,11,SUCCESS,43986,BTPWujqqTBOWGAFvEKyRaA
JPMC-HYD-02,1667541988547,3,14709,14333,44127,0.0,0,0,0,27,12,SUCCESS,44127,LKdw_hyKTSu7moFuxbmiZw
Joffe,1668629900780,3,15017,14398,45052,0.0,0,0,0,7,13,SUCCESS,45052,ce17e3bfe82649448e2f3w
DoomBuggy,1669498613044,3,15040,14735,45122,0.0,0,0,0,3,14,SUCCESS,45122,QakV_nzOTm2q_NhqUMwIJw
PolishThunder,1669335490751,3,15128,14931,45386,0.0,0,0,0,28,15,SUCCESS,45386,qi512oGVTry8V-KtP6j2_w
Mr-Anderson,1670013303513,3,15285,14940,45857,0.0,0,0,0,1394,16,SUCCESS,45857,PVsbhx4xRi6aO--P4-kcNA
Velocity-5dl,1670033504253,3,15617,14858,46853,0.0,0,0,0,1816,17,SUCCESS,46853,DBVc9n_uQ0-r-Cqkz3YweA
ferrite,1667466964198,3,15772,15125,47317,0.0,0,0,0,218,18,SUCCESS,47317,SRAgn9lMTCmIjaBREP7hxA
EP-RIO,1668295677457,3,15796,15328,47390,0.0,0,0,0,47,19,SUCCESS,47390,_ARh_JWqRH-khggA_9cN0Q
Galileo,1669153543777,3,16042,15475,48128,0.0,0,0,0,1962,20,SUCCESS,48128,Y79AzaaOR-u4LVKMxu1Mdw
LeadingAI,1667883729799,3,16180,15925,48542,1.0,0,3,3,2,21,SUCCESS,48542,VP5wwaH5T4GciaMX2ocEvQ
sashok,1670071538486,3,16196,15527,48588,0.0,0,0,0,198,22,SUCCESS,48588,4e974f933e034a43b1936w
SonOfABrick,1667441790208,3,16197,15927,48593,0.0,0,0,0,54,23,SUCCESS,48593,m8-vwu_bTOe4AU9tGKLvpg
RobinCastro-DBS,1669932955540,3,16286,16135,48858,0.0,0,0,0,46,24,SUCCESS,48858,7KrbyQXvTBOxnBa0p9YuUA
Tomorrowland-Speedway,1669561250788,3,16286,15734,48860,0.0,0,0,0,3092,25,SUCCESS,48860,AuyCOezGRKOT-zoMo85Ekg
ADA,1669644296883,3,16529,16065,49587,0.0,0,0,0,3,26,SUCCESS,49587,KiqOhQPjTamuBXicXnKGEA
JPMC-BA-D3,1668977260392,3,16909,16335,50727,0.0,0,0,0,234,27,SUCCESS,50727,Fy8bvUIzSN-N-e3D74JhPw
JPMC-HYD-SmartAccelerators,1667715765155,3,16997,16531,50992,0.0,0,0,0,10,28,SUCCESS,50992,6jJ_fiuUQb2PZXOGkr3V7g
Deepak-dpk,1669449361746,3,17183,17067,51549,0.0,0,0,0,134,29,SUCCESS,51549,gDTBFK77TM6wD6uObZlulA
MattKreder,1669155822227,3,17238,16655,51716,0.0,0,0,0,1201,30,SUCCESS,51716,cVk-aYKdRUmuL0qmjyzmag
AndalasRacing,1667386340310,3,17351,16998,52055,0.0,0,0,0,14,31,SUCCESS,52055,-JjyIeMsSVeXzrvwoMB7xg
JPMC-London-Adam,1667753384321,3,17598,16805,52796,0.0,0,0,0,11,32,SUCCESS,52796,MKyQktY7RcKa36uMHbmmJQ
sivas,1667553679783,3,17750,16269,53251,0.3333333333333333,0,1,1,58,33,SUCCESS,53251,mOcZW4PTTy2BWQZjxxHPHA
CreativeSpeedyMoto,1669894087523,3,17885,16266,53656,0.3333333333333333,0,1,1,142,34,SUCCESS,53656,IrbZiqxfSRez8yytp67RmQ
rhkdgh930,1669866201241,3,17954,16536,53864,0.3333333333333333,0,1,1,24,35,SUCCESS,53864,mfuWRN0CQaK2pTjvRRlbNA
YeeV3,1668172706618,3,18132,17797,54396,0.0,0,0,0,112,36,SUCCESS,54396,2oh5oCejTRmaLwy3yG4Qnw
Cheaty-McCheatface,1668732150363,3,18198,17071,54594,0.0,0,0,0,2703,37,SUCCESS,54594,2R1bsOUiRceGpNP9wKliAw
MadCross,1669996541725,3,18240,16668,54722,0.3333333333333333,0,1,1,6,38,SUCCESS,54722,Msh-oGccTR2Yn31a5coUHA
GoodEveningWeAreFromUkraine,1669447105701,3,18263,17459,54790,0.0,0,0,0,398,39,SUCCESS,54790,oX4dpYxLTFG2UU6NprA-7g
VelocityVirtuoso#8123,1669799990849,3,18308,17800,54924,0.0,0,0,0,5319,40,SUCCESS,54924,SOaLDMtJTQWr55eR6v710Q
Mentaiko-DevelopersIO,1669625272372,3,18553,18403,55661,0.0,0,0,0,1539,41,SUCCESS,55661,Wt5C8BPAS0OPlzY3-txb-w
ProgrammingSemicolon#4665,1669627126641,3,18574,17930,55723,0.0,0,0,0,26,42,SUCCESS,55723,fJDrBlVpSmGtKKg4VDVAfw
Marco-Petralia,1669303899283,3,18708,18067,56125,0.0,0,0,0,40,43,SUCCESS,56125,Ok4vyAe8T4mFkrhhn39AKw
KeimolaRacingTeam,1668883278579,3,18796,17861,56388,0.0,0,0,0,30,44,SUCCESS,56388,4AZIrKR6TLGYn0I4dp9PDA
Eviden-Mark-Ross,1668178609632,3,18842,18397,56527,0.0,0,0,0,94,45,SUCCESS,56527,F_ThjPFRSx-guPadHlwEuA
JPMC-London-Griffc,1668980069087,3,18887,17668,56661,0.3333333333333333,0,1,1,2,46,SUCCESS,56661,S1EcBZeaRjW2s85WNzBBog
Carvai,1668306209031,3,19019,18805,57057,0.0,0,0,0,2,47,SUCCESS,57057,SsDvF8JeRvaeXye0kQfvpA
LeetWorkaround#9088,1670068029545,3,19085,18134,57256,0.0,0,0,0,7,48,SUCCESS,57256,bGc4gvRSSrmed0EUZ2EbUw
MachineMachine#6941,1669931356656,3,19154,17870,57463,0.0,0,0,0,4,49,SUCCESS,57463,X14c7Rl3RAqdBEWREgkF_Q
SquareTester#0057,1668963810838,3,19449,18001,58349,0.3333333333333333,0,1,1,2,50,SUCCESS,58349,AGu0DJDxTQyqbuQ4TX7fsw
Neil-the-tortoise-Clark,1667834119595,3,19530,17398,58591,0.3333333333333333,0,1,1,15,51,SUCCESS,58591,SM7LSJiKRViYz4b7yAcSWA
drunken-monkey,1668977641807,3,19553,19269,58661,0.0,0,0,0,53,52,SUCCESS,58661,c7a82cb998e44f9abd469Q
Jerec,1669706916983,3,19574,19138,58722,0.0,0,0,0,9,53,SUCCESS,58722,RH6ep-5mRmmVLqHClba8_Q
UsableSwitch#5159,1669751190074,3,19706,19062,59118,0.0,0,0,0,15,54,SUCCESS,59118,K3PKNo1iStiTTHSFU51ioA
S-P-,1667687137229,3,19768,18349,59306,0.3333333333333333,0,1,1,27,55,SUCCESS,59306,MxT5p4ZvSTOcc6ANa8VZNg
FabLaud79,1667484992401,3,19776,19201,59328,0.0,0,0,0,149,56,SUCCESS,59328,5krI0fmLRGyCQVe0_NTgJw
MaartenBruntink,1668692837905,3,19886,19465,59659,0.0,0,0,0,54,57,SUCCESS,59659,BiDnPYPCS86lDuLun8nIbQ
JPMC-Speedy-Gonzales-LATAM,1669144367805,3,19908,19736,59726,0.0,0,0,0,13,58,SUCCESS,59726,McOa_W8cTW2EErfZhOoKxA
Adriana-STATE-FARM-Pittsburgh,1668214268387,3,20086,19535,60260,0.0,0,0,0,181,59,SUCCESS,60260,gfl0ymRXSQqnvwDsmWkIVw
LetGoSuAndGeol,1669558369697,3,20086,19861,60260,0.0,0,0,0,36,60,SUCCESS,60260,_xUabJEYSnqJhWotqRSR5g
BooleanZone#1860,1669781103076,3,20200,19202,60601,0.3333333333333333,0,1,1,12,61,SUCCESS,60601,BQJyTo71SmO4K9oaDvqZTg
Dikingtest,1667310013656,3,20242,19003,60727,0.3333333333333333,0,1,1,56,62,SUCCESS,60727,V7hZig2GQ_mNOkxRXPlTug
-Just-Be-Better-,1667534430268,3,20331,19734,60993,0.0,0,0,0,183,63,SUCCESS,60993,X_dNmJilS8SDBQ44yzd2fg
Cloud-Ultra-Pro,1668354507404,3,20621,20335,61863,0.0,0,0,0,195,64,SUCCESS,61863,R22FBKQsSMKmRaTpNdD76A
CK-Yeung,1669269755976,3,20644,20330,61933,0.0,0,0,0,20,65,SUCCESS,61933,RYJ_AvUITYOnZiROfqggDA
EatMyGas,1669494756662,3,20707,20265,62123,0.0,0,0,0,926,66,SUCCESS,62123,G49XjRGRR76Xv00WxIMvnQ
kashi,1669828720641,3,20730,20399,62190,0.0,0,0,0,20,67,SUCCESS,62190,oq7yCLy5QAeEP6k7o53L8A
AWS-Demo-Racer,1669746574820,3,20775,20593,62325,0.0,0,0,0,2,68,SUCCESS,62325,n0VAbUiwRbmjqXj2bNf1eA
KeithWallaceDR93,1669852366716,3,20797,19541,62391,0.3333333333333333,0,1,1,27,69,SUCCESS,62391,fIiCVKAUQ2C9cNl6HHuJyw
nalbam-me,1669648831862,3,20974,20533,62923,0.0,0,0,0,3280,70,SUCCESS,62923,PnRru4vBRkeyT4xX6LOCtw
