Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
DeepGame#0428,1659347718419,3,28040,24936,84120,2.0,0,6,6,5,1,SUCCESS,84120,OPEN,XJNMPh7lSd6ywcha-m24Cw
RoadRash-SGP-2022,1659345926335,3,31330,30258,93991,0.0,0,0,0,1,2,SUCCESS,93991,OPEN,WSgyYux8TK-P40l8VL8jRg
KCKKC,1659334816750,3,32579,30331,97739,2.6666666666666665,0,8,8,3,3,SUCCESS,97739,OPEN,v6AQ3jpESJuMkjcXmoetCA
ShadowClone,1659334722066,3,36764,33403,110292,2.0,0,6,6,5,4,SUCCESS,110292,OPEN,uvPSnqCZQbiS8tEoqFzRMg
Harshal#3468,1659337114434,3,37777,35335,113332,3.6666666666666665,0,11,11,3,5,SUCCESS,113332,OPEN,YrEBk7N2RLuP_Ol0PvlUzA
ProvisionalCommand#2504,1659343407624,3,43240,37932,129720,6.333333333333333,0,19,19,4,6,SUCCESS,129720,OPEN,8SQgyMCmS0epfsGO-IOzlQ
Guok,1659318339285,3,44594,41463,133784,2.0,0,6,6,10,7,SUCCESS,133784,OPEN,4KEAgZjyRQ669V2MR_J2HA
FunctionalAbstraction#1818,1659340352345,3,48164,47533,144492,5.0,0,15,15,1,8,SUCCESS,144492,OPEN,q5jyVoFGRwCgrO3-N_tt4Q
FuturisticAbstraction#2935,1659341233256,3,48202,42673,144606,4.666666666666667,0,14,14,1,9,SUCCESS,144606,OPEN,UPqC55hQR0yrADfngCRleA
Perry-fromPek17,1659335804946,3,48530,40532,145591,4.333333333333333,0,13,13,1,10,SUCCESS,145591,OPEN,fwHFRFrPSeWIub0bVhdIrw
JPMC-BLR-Infinity-Beyond,1659337750703,3,49417,42859,148253,8.0,0,24,24,2,11,SUCCESS,148253,OPEN,FJ2CDWDHTm27SCfHqEpdXQ
RocketRequirements#3568,1659329570718,3,49486,49250,148460,0.0,0,0,0,1,12,SUCCESS,148460,OPEN,xZpZKEM4QlWokWxcOxgFog
Stuff#SP2I,1659325644127,3,50687,43937,152061,9.0,0,27,27,1,13,SUCCESS,152061,OPEN,BexJMusHSqmSz7qTcwM5zA
Team7-HUATAH,1659342125460,3,52776,42138,158329,9.0,0,27,27,2,14,SUCCESS,158329,OPEN,ZV2FVzEyR3m3cnyPqJhpAA
Dr-Virpid,1659328570543,3,53093,49815,159281,2.0,0,6,6,1,15,SUCCESS,159281,OPEN,z2Y500teSUO7oiP9Ymx-ow
UrgentDocumentation#8778,1659348181036,3,53264,51601,159792,8.333333333333334,0,25,25,4,16,SUCCESS,159792,OPEN,hiP14IaDRmGCnhv6cI5Qrg
Parametric-Manu,1659324255027,3,54730,50403,164192,1.3333333333333333,0,4,4,2,17,SUCCESS,164192,OPEN,ZDsYOV6IR5KOw2sG_4iDig
Dikingtest,1659342310533,3,56424,53337,169274,7.666666666666667,0,23,23,2,18,SUCCESS,169274,OPEN,V7hZig2GQ_mNOkxRXPlTug
ConnectedGlyph#8940,1659333307597,3,57883,56456,173650,1.3333333333333333,0,4,4,1,19,SUCCESS,173650,OPEN,cwBhYYfcSIyn1LiuZN2CGg
PythonVariable#7137,1659338379180,3,57931,43067,173794,12.0,0,36,36,2,20,SUCCESS,173794,OPEN,m_o0pKe3SYSXVQT8WVa-_Q
CrypticSwitch#2702,1659347681275,3,58265,54796,174797,0.6666666666666666,0,2,2,1,21,SUCCESS,174797,OPEN,Nnts6-QuT-WXqgvXKHYXpw
SanjeevSingh10,1659337491215,3,58398,57122,175196,11.666666666666666,0,35,35,2,22,SUCCESS,175196,OPEN,GRsXm2aGTzq1nu7PLWeQuw
Team3-HavingFun,1659337168748,3,59661,57925,178984,1.3333333333333333,0,4,4,2,23,SUCCESS,178984,OPEN,Ujxc5BVYQdqIMm-pPM5azw
NeuralObject#3750,1659327224926,3,60376,56936,181130,0.6666666666666666,0,2,2,1,24,SUCCESS,181130,OPEN,awVJqIB9S5ekY5PhTXMg4w
PathingInterface#8007,1659335850461,3,62779,57998,188339,2.3333333333333335,0,7,7,1,25,SUCCESS,188339,OPEN,9JNDhgXKT7C3S7aWEiJV-w
a-tayo,1659313760970,3,63201,61064,189604,1.6666666666666667,0,5,5,1,26,SUCCESS,189604,OPEN,daFelJN9TqSnXumewbWPdQ
ElevnthKuria,1659343781627,3,64242,59598,192728,2.3333333333333335,0,7,7,2,27,SUCCESS,192728,OPEN,5yf_W_u1Rjenw6xkV9V3Dw
ProgrammingAttention#6183,1659336570358,3,65041,59074,195124,2.3333333333333335,0,7,7,1,28,SUCCESS,195124,OPEN,C2YPXXyvQVupsMGylW9DjA
WeiXing,1659331488810,3,67465,61923,202397,2.6666666666666665,0,8,8,1,29,SUCCESS,202397,OPEN,YbQKlSXKT5--9eUUURIC0A
BigArch,1659344496763,3,68532,63519,205596,1.6666666666666667,0,5,5,2,30,SUCCESS,205596,OPEN,vNFbNaPfQtqb28dgfygTrw
Dust,1659328866551,3,71087,68339,213263,2.6666666666666665,0,8,8,5,31,SUCCESS,213263,OPEN,VdyJWYIMSz-qIKdhYdpBVw
WebToken#5606,1659345414628,3,71753,70267,215261,0.0,0,0,0,2,32,SUCCESS,215261,OPEN,vwjhDx0pSP-U422pO1zpMg
CurlyBraces#3065,1659346375473,3,72421,71400,217264,5.0,0,15,15,1,33,SUCCESS,217264,OPEN,B_VBBd0bTbCm_g57OdjUnQ
ethz,1659329462177,3,72931,72673,218793,0.0,0,0,0,1,34,SUCCESS,218793,OPEN,RJofbzrWRMKwt5G4P46C9g
TechnicalPresentation#0971,1659342631943,3,74684,71455,224054,6.0,0,18,18,1,35,SUCCESS,224054,OPEN,6Wto8uyfQtml3Tby0kbdpQ
FormulaicSchema#2815,1659345191672,3,76220,68735,228660,15.666666666666666,0,47,47,1,36,SUCCESS,228660,OPEN,zPOPeq1wR1uNJz6iQOvoww
NestedComment#5339,1659325471734,3,79982,77399,239948,7.666666666666667,0,23,23,1,37,SUCCESS,239948,OPEN,9fTSqntgQpy4Q5o7EMGlfQ
FiniteError#5139,1659347099419,3,81084,72865,243253,7.333333333333333,0,22,22,1,38,SUCCESS,243253,OPEN,meDcaHmsTeuVtTVBYQOZ0Q
yoozoojustsoso,1659339191903,3,87198,71331,261595,18.333333333333332,0,55,55,2,39,SUCCESS,261595,OPEN,jjtWD0fpQ_quTSPo5LB4Og
LoopingScope#8744,1659336704937,3,99261,92194,297785,13.0,0,39,39,1,40,SUCCESS,297785,OPEN,E6GXtCD9RgmvvPtus0dxew
TestableZone#1714,1659346810662,3,107064,92126,321192,15.333333333333334,0,46,46,1,41,SUCCESS,321192,OPEN,6mnSCEzkQ6yKzero6PIDpA
CriticalDescriptor#6446,1659322040348,3,112464,105932,337392,16.666666666666668,0,50,50,2,42,SUCCESS,337392,OPEN,t7Hp4Ea8QxeD-yBzCHvvpw
Mohammed22,1659317225793,3,198064,194870,594193,11.0,0,33,33,3,43,SUCCESS,594193,OPEN,w5hGfW_fQNyA98X3_xf0YA
