Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JPMC-HYD-02,1661774210791,3,14440,14071,43322,0.0,0,0,0,106,1,SUCCESS,43322,OPEN,LKdw_hyKTSu7moFuxbmiZw
JPMC-HYD-SpeedSters,1661931284483,3,14485,14127,43456,0.0,0,0,0,15,2,SUCCESS,43456,OPEN,6fdcVCAkQtCCsyHEO0LNiA
rajeevmahajanhsbc,1661936352079,3,15063,14460,45191,0.0,0,0,0,1957,3,SUCCESS,45191,OPEN,oZbvChkkTtaadMmb0rbwTA
Corellian-Corvette,1661486299756,3,16906,16595,50718,0.0,0,0,0,64,4,SUCCESS,50718,OPEN,e67f8b02bb65487fa4c3bw
MadCross,1660722793030,3,17840,17463,53520,0.0,0,0,0,7,5,SUCCESS,53520,OPEN,Msh-oGccTR2Yn31a5coUHA
VariableValue#5595,1661947502787,3,18018,16732,54055,0.3333333333333333,0,1,1,143,6,SUCCESS,54055,OPEN,nk-9XTjkQB6Mve37xFtwCw
NullValue#2479,1661974379996,3,21374,19001,64123,0.6666666666666666,0,2,2,11,7,SUCCESS,64123,OPEN,ePNrHP_JSa2ImRjRMrzBDA
AccessibleSchematic#8504,1661984819668,3,22778,21128,68336,0.3333333333333333,0,1,1,7,8,SUCCESS,68336,OPEN,rmboH0OPT9KG9iWFSJ4TbQ
IrisJiang,1661828039116,3,22950,21124,68850,0.3333333333333333,0,1,1,88,9,SUCCESS,68850,OPEN,i3RzP_N0Rk-3nqXMRsrA0g
JPMC-HYD-FANTASTIC-FOUR,1661943150142,3,23465,22600,70396,1.0,0,3,3,1537,10,SUCCESS,70396,OPEN,V0qPcq3FQhyn3gy0ysuUHw
leverbiang,1661949010925,3,23485,23200,70457,1.0,0,3,3,2,11,SUCCESS,70457,OPEN,Q6OG2KizTjensD8rSPV_Yw
JPMC-C0nf1ckr3,1661528616268,3,24442,23062,73328,2.3333333333333335,0,7,7,28,12,SUCCESS,73328,OPEN,RpbuejNxQ96VNzolo2UVWQ
JPMC-HYD-09,1661972714863,3,24665,22070,73996,0.6666666666666666,0,2,2,76,13,SUCCESS,73996,OPEN,vA_gK0vxTNWI-MTWEWLAxw
Zoom#2106,1660525219815,3,25306,24603,75920,0.0,0,0,0,133,14,SUCCESS,75920,OPEN,m0sZDNf3T--wa5Crxo9bAw
JPMC-NPD-DR,1659716740113,3,25572,24937,76716,0.0,0,0,0,20,15,SUCCESS,76716,OPEN,6e4e3a3d175c4074818b5Q
