Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1627649809384,3,21888,21748,65664,0.0,0,0,0,5555,1,SUCCESS,65664,PRO,afdcX_4vRH6Ussd0mbg5LQ
Karl-NAB,1627620759042,3,22158,22126,66475,0.0,0,0,0,4261,2,SUCCESS,66475,PRO,4vOOxLIsSjeL2WFaO5o_fQ
ZhengYi-NYCU-CGI,1627038336033,3,22616,22508,67850,0.0,0,0,0,140,3,SUCCESS,67850,PRO,qY4J9IzvQS6a1N-KZXwviA
Ensono-Ernesto,1627140843423,3,22753,22588,68259,0.0,0,0,0,3266,4,SUCCESS,68259,PRO,8zBEAp0-S5yGbcZvytGZGQ
rosscomp1,1627672106387,3,22971,22799,68913,0.0,0,0,0,2240,5,SUCCESS,68913,PRO,fb0d597a87f94697aa1c6w
Yi-LI-NYCU-CGI,1626927905022,3,23492,23412,70476,0.0,0,0,0,222,6,SUCCESS,70476,PRO,jrJHq8pZQAyj4gGqMw8-DQ
JPMC-Ace-Hyderabad,1626247920425,3,23626,23410,70879,0.0,0,0,0,245,7,SUCCESS,70879,PRO,6fdcVCAkQtCCsyHEO0LNiA
JPMC-Rogue-Hyderabad,1626201815401,3,23636,23447,70909,0.0,0,0,0,660,8,SUCCESS,70909,PRO,LKdw_hyKTSu7moFuxbmiZw
Yoway-NYCU-CGI,1626401318441,3,23726,23404,71179,0.0,0,0,0,93,9,SUCCESS,71179,PRO,1fBE9Y-DR4aOhdY6ydu-rA
AJM-Model-1,1627765676583,3,23831,23796,71494,0.0,0,0,0,2652,10,SUCCESS,71494,PRO,gdsU9bkGRWW7LTEHP4rGgQ
PolishThunder,1626006020338,3,23923,23569,71769,0.0,0,0,0,773,11,SUCCESS,71769,PRO,qi512oGVTry8V-KtP6j2_w
Duckworth,1626336365935,3,23977,23464,71932,0.0,0,0,0,4850,12,SUCCESS,71932,PRO,VIu9BQ4-Th6gUqu60ztwUQ
TonyJ,1627314665031,3,24011,23787,72035,0.0,0,0,0,4989,13,SUCCESS,72035,PRO,af962be5a4ed4c57af807w
GT-DevelopersIO,1627681242988,3,24279,24100,72837,0.0,0,0,0,1491,14,SUCCESS,72837,PRO,8WSp4P7ZRn-jJgZLnugwkA
ZoD,1627341965756,3,24285,23596,72855,0.0,0,0,0,3227,15,SUCCESS,72855,PRO,TFtvCas4TRWchrBPMyGh0A
RobinCastro-DBS,1626562455643,3,24446,24198,73340,0.0,0,0,0,2512,16,SUCCESS,73340,PRO,7KrbyQXvTBOxnBa0p9YuUA
Matt,1627361728048,3,24927,24847,74782,0.0,0,0,0,3867,17,SUCCESS,74782,PRO,cVk-aYKdRUmuL0qmjyzmag
AIDeepRacer,1627272174083,3,24934,24748,74803,0.0,0,0,0,380,18,SUCCESS,74803,PRO,pIRbdCx6QYatgVXm2p5GbA
dartjason,1627199491486,3,24939,24684,74819,0.0,0,0,0,3532,19,SUCCESS,74819,PRO,JSflDq5rQgKEuA5Ots4kDQ
CGS-LargeLattice,1627266287166,3,25619,25127,76858,0.0,0,0,0,2529,20,SUCCESS,76858,PRO,o6NgljsnTOOelVAsofMR3g
Penguin-DNPds,1626812851746,3,26544,26135,79633,0.0,0,0,0,235,21,SUCCESS,79633,PRO,Nr3YCYWGTA631Xqa0uDPhw
Rober,1627696603990,3,26865,26522,80596,0.0,0,0,0,936,22,SUCCESS,80596,PRO,KrRSYhzKTfONjRaDUc_ubQ
EnBW-Flitzer,1627716220716,3,27198,26782,81596,0.0,0,0,0,566,23,SUCCESS,81596,PRO,je1HIMgRQtibB3H9325TRw
skoota,1627681522087,3,27554,25907,82662,0.3333333333333333,0,1,1,2157,24,SUCCESS,82662,PRO,-1lhRLeeRTCRUGoxx3ybDA
alexj,1626786369746,3,28441,27838,85323,0.0,0,0,0,94,25,SUCCESS,85323,PRO,Km6btE1_SFCCCqWJ4H6Fyg
kimwooglae,1627263312984,3,28618,28264,85854,0.0,0,0,0,5407,26,SUCCESS,85854,PRO,bOqKo-ebR_essdUaZVGO4Q
JPMC-Singapore-Chetak,1626372097994,3,30674,30535,92023,0.0,0,0,0,1076,27,SUCCESS,92023,PRO,LJzDpiNuTFeHu9dsqp1APw
ABaykov,1627659144192,3,32773,30604,98321,0.3333333333333333,1,0,1,233,28,SUCCESS,98321,PRO,aa28j7SWTd-LxMzvFoj_bA
atnmn,1627379177389,3,33229,29452,99688,0.6666666666666666,2,0,2,1226,29,SUCCESS,99688,PRO,b3960b6c6f58458880ceew
JPMC-DriftKing-Houston,1625793382140,3,34271,30212,102814,2.0,1,5,6,17,30,SUCCESS,102814,PRO,fngewpiZSZm11yX7YgwnMA
ProteusXplorer,1627513604559,3,36231,35582,108693,0.0,0,0,0,28,31,SUCCESS,108693,PRO,iRqwbBoKQY-tP2tGpIMlxA
MiLKB,1626337874882,3,36441,34447,109325,0.3333333333333333,0,1,1,3650,32,SUCCESS,109325,PRO,8KL8u0H3RIWxgP14x_RC6w
Mungi,1627511292408,3,37140,36606,111421,1.0,0,3,3,6,33,SUCCESS,111421,PRO,RgTvucbNQja7yiYbgh2p9A
Breadcentric,1625205919033,3,37596,37277,112790,2.6666666666666665,1,7,8,79,34,SUCCESS,112790,PRO,SjNec5b-SpOk7y9b6rh4KQ
think,1625803286338,3,38352,33890,115056,2.0,1,5,6,3050,35,SUCCESS,115056,PRO,IHHC4YftQLaMAs0VyXFJzw
Ohrid,1626021316955,3,39518,36171,118555,0.6666666666666666,1,1,2,56,36,SUCCESS,118555,PRO,78e6a549fe0a4a8e90b41w
Doug-Racer,1626852605808,3,41831,37998,125495,0.6666666666666666,0,2,2,1880,37,SUCCESS,125495,PRO,1R021ZoDQrqxSUiHfBvyEw
JPMC-TeamOne-BuenosAires,1625523631184,3,42198,36445,126594,4.666666666666667,0,14,14,6,38,SUCCESS,126594,PRO,Fy8bvUIzSN-N-e3D74JhPw
JPMC-Ann-NJ,1626234285635,3,42410,36168,127230,1.0,1,2,3,13,39,SUCCESS,127230,PRO,sGrJzwIVRZ6-HawSmV1Tyg
JPMC-KWGK-HongKong,1627458981414,3,42894,40696,128682,0.6666666666666666,1,1,2,153,40,SUCCESS,128682,PRO,zKdKXknwQVCObGdEgutObQ
Jochem,1625162285785,3,43204,37911,129613,3.3333333333333335,3,7,10,0,41,SUCCESS,129613,PRO,RBPhZc5eTVmEF_gpSV7skg
