Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Tomorrowland-Speedway,1656635324672,3,23240,22119,69720,1.3333333333333333,0,4,4,4,1,SUCCESS,69720,OPEN,AuyCOezGRKOT-zoMo85Ekg
UniStars-CN,1656643233390,3,31178,28534,93534,3.6666666666666665,0,11,11,11,2,SUCCESS,93534,OPEN,mzaaWUl8QAiWL0N1YA4lVA
Everest-DNPds,1656637905134,3,31196,27070,93590,3.0,0,9,9,1,3,SUCCESS,93590,OPEN,13eb4731e0c1457ca4d7dw
KM-Harrier,1656640762576,3,31599,24738,94798,2.6666666666666665,0,8,8,11,4,SUCCESS,94798,OPEN,3b8cUKuuQfOWQgfjZSeVFw
TheStatPack,1656640049479,3,32197,30789,96592,1.3333333333333333,0,4,4,1,5,SUCCESS,96592,OPEN,zNSRuW7ORymm5UM-ZWAfKw
BooleanSchematic#2578,1656643274753,3,32285,29989,96856,3.6666666666666665,0,11,11,2,6,SUCCESS,96856,OPEN,mjPPkYPpQJu5EToSlJbWwQ
JavaAttention#7758,1656636713359,3,32673,29620,98021,2.0,0,6,6,1,7,SUCCESS,98021,OPEN,u_JUmum5Q0mfhRy1MtE8cw
Challengers,1656647139904,3,34763,33059,104291,1.0,0,3,3,1,8,SUCCESS,104291,OPEN,IqFVuW6hSKSHGd6d31KQuA
NekoKart-Platium,1656644628337,3,34916,31946,104748,3.6666666666666665,0,11,11,1,9,SUCCESS,104748,OPEN,XLUm_PwpR9STCSh9riGWsA
Ajmal-karayil,1656644647094,3,38551,34070,115655,4.333333333333333,0,13,13,1,10,SUCCESS,115655,OPEN,s9gISAfJR3ORSDG1YXeaAQ
jay-mehta,1656643415038,3,39285,33525,117857,2.6666666666666665,0,8,8,2,11,SUCCESS,117857,OPEN,MJYXVkfAT1G52oL_AVrpPw
SonicRiders,1656636322285,3,39913,34599,119741,3.3333333333333335,0,10,10,6,12,SUCCESS,119741,OPEN,I0wshWhYQnaIzY-ti4ag4g
DataTron13-Terry,1656633721621,3,40426,37135,121279,4.666666666666667,0,14,14,3,13,SUCCESS,121279,OPEN,25X7iKhPQTitX63qwKBNgg
PassingShell#9222,1656645800513,3,42999,40469,128998,3.6666666666666665,0,11,11,1,14,SUCCESS,128998,OPEN,UlIEDwwYRYyksYuS_HRngg
FocusedSchematic#5375,1656642391471,3,44066,42660,132199,4.333333333333333,0,13,13,1,15,SUCCESS,132199,OPEN,_9R7j9kgT7GSje2gmbwwpQ
M-A-SIVASANKARAN,1656640690567,3,44632,41494,133897,4.0,0,12,12,2,16,SUCCESS,133897,OPEN,21U4CH_XRQWk_AboiPJYTA
FPS,1656639417644,3,45286,31932,135859,4.666666666666667,0,14,14,3,17,SUCCESS,135859,OPEN,IO7_6aa3TjigEoWJxhVbAw
anindo-basu-semi,1656645207407,3,46152,44464,138458,2.0,0,6,6,3,18,SUCCESS,138458,OPEN,YIWvXb5CSySEAxmsXJ77Yg
Divya-Chembachere,1656642551077,3,46606,41340,139819,7.666666666666667,0,23,23,5,19,SUCCESS,139819,OPEN,Ow7VAPzgTJi2Vdaa8lgpag
ThisLog#2633,1656639778685,3,47064,41402,141193,6.666666666666667,0,20,20,1,20,SUCCESS,141193,OPEN,3dwL3fcSTjGJcj1xC5EUKA
DropTableCars,1656635221111,3,47730,39061,143192,6.666666666666667,0,20,20,1,21,SUCCESS,143192,OPEN,YazjPRVVTCGcMqKfJOQgIw
