Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
TCL-hkhk,1658362850069,3,17200,16736,51600,0.0,0,0,0,19,1,SUCCESS,51600,OPEN,dvSI235lSC-b66qVLsdsAQ
TCL-igoon#03,1658282618826,3,17974,17865,53924,0.0,0,0,0,8,2,SUCCESS,53924,OPEN,KiipY4EIR1KqJwOyeCbjyA
pssuperracer,1658907182471,3,19374,19070,58122,0.0,0,0,0,72,3,SUCCESS,58122,OPEN,AcAZ1cy3SO2gPp2T4JShOA
TCL-Jaeyoon,1658150707523,3,19680,18473,59040,0.0,0,0,0,3,4,SUCCESS,59040,OPEN,MDPKctYXRd-P1V177yc7rA
TCL-JANG,1658290469546,3,20443,18343,61331,0.3333333333333333,0,1,1,5,5,SUCCESS,61331,OPEN,7SQaVHumR2iVRLIVH50Xmw
rajeevmahajan,1658945260009,3,22285,21797,66855,0.0,0,0,0,719,6,SUCCESS,66855,OPEN,qJTNbrs8SfCysfN0TWtZog
JPMC-MUM-CrusaderBulls,1659072364759,3,22595,22008,67786,0.3333333333333333,0,1,1,14,7,SUCCESS,67786,OPEN,RNdbImCBTyGJPqHWaLqN1w
Ansh7,1658052461281,3,22641,22067,67924,1.0,0,3,3,131,8,SUCCESS,67924,OPEN,JCwxucKeRWO_Eij9nr98UQ
Chicken-and-rabbit-craziest-duo,1658402734337,3,22950,22398,68852,0.0,0,0,0,52,9,SUCCESS,68852,OPEN,eocuTuXWSKOXBRTqs1nhEw
bluetulipz,1658702459044,3,23135,21073,69405,1.6666666666666667,0,5,5,4,10,SUCCESS,69405,OPEN,GrkENmL5SSi-6fRB8bWBpg
Tomorrowland-Speedway,1656635324672,3,23240,22119,69720,1.3333333333333333,0,4,4,4,11,SUCCESS,69720,OPEN,AuyCOezGRKOT-zoMo85Ekg
iana,1659309295082,3,23674,22534,71024,1.3333333333333333,0,4,4,1,12,SUCCESS,71024,OPEN,kT1EZyf8Rwmns8U0CBRa7w
Lman,1657815517645,3,23715,20401,71146,1.0,0,3,3,47,13,SUCCESS,71146,OPEN,scmMmIFGSwea2W_D0pVy8g
SlowCoach,1658322038270,3,23753,23529,71259,0.0,0,0,0,39,14,SUCCESS,71259,OPEN,tzgiczNvTDS_Zu6p9WfvHg
MAD-Racer,1659108928491,3,24239,21859,72719,1.6666666666666667,0,5,5,10,15,SUCCESS,72719,OPEN,AcW1K19vT9Ou3_Tjm7Djog
HKDRCLUB-OscarYuen,1658684476023,3,24418,24273,73256,1.0,0,3,3,129,16,SUCCESS,73256,OPEN,HDqNUBXbQtmlmEB2FRBDNQ
Megal0man,1656685156826,3,24574,22463,73723,0.6666666666666666,0,2,2,3,17,SUCCESS,73723,OPEN,jBOixZg5ROyBmCBSYg8a-Q
HameenHitain#42,1659090538629,3,24707,22928,74121,0.3333333333333333,0,1,1,96,18,SUCCESS,74121,OPEN,44YjKeFtRFyv_g8ljvEg1w
satussy777,1659246403086,3,24997,23259,74991,0.6666666666666666,0,2,2,117,19,SUCCESS,74991,OPEN,IYaF6LtbRWmZE9xBm87JmQ
TheRealTeam5,1657813646723,3,25153,23732,75460,0.3333333333333333,0,1,1,1,20,SUCCESS,75460,OPEN,I_uY0xOFTG2BWPzp5qb6TA
ss0428,1658835370441,3,25195,24861,75585,0.0,0,0,0,36,21,SUCCESS,75585,OPEN,X9tIpi7hRaakcAF4O8IR4A
JPMC-MUM-006,1658830382418,3,25219,21543,75658,1.0,0,3,3,46,22,SUCCESS,75658,OPEN,mvhmcw-ET5igAaFz3O6kGw
BooleanSchematic#2578,1656648434447,3,25550,22930,76650,1.6666666666666667,0,5,5,3,23,SUCCESS,76650,OPEN,mjPPkYPpQJu5EToSlJbWwQ
MachineWorkaround#6914,1659233899918,3,25597,23390,76793,1.6666666666666667,0,5,5,23,24,SUCCESS,76793,OPEN,Es3zuRD6RTq34vfn2S9jCw
Rags,1656956236927,3,25906,25655,77720,1.0,0,3,3,84,25,SUCCESS,77720,OPEN,v1zM80KGQRm2OOu9UC7VUQ
PITS-YUME,1658926663726,3,25962,24278,77887,0.3333333333333333,0,1,1,20,26,SUCCESS,77887,OPEN,CThkSPLERtyRM5OptykzEQ
Rajnikanth,1657038342202,3,26281,24036,78843,0.6666666666666666,0,2,2,21,27,SUCCESS,78843,OPEN,AdCipooySZmrcQTSzIvTjw
MachineZone#4719,1658944800491,3,26485,24860,79457,1.6666666666666667,0,5,5,8,28,SUCCESS,79457,OPEN,P1kZXiciS16dqQa-ZxWVsg
esbjj,1657284328483,3,26708,25397,80126,1.3333333333333333,0,4,4,13,29,SUCCESS,80126,OPEN,omkLRZbNTc2ixWvpWcQZxQ
JPMC-CMH-VictorEchoNovember,1658892513738,3,26755,25341,80265,0.3333333333333333,0,1,1,77,30,SUCCESS,80265,OPEN,bf79533e497f4bb89ea79w
InfiniteMetaclass#0706,1658330658082,3,26816,26530,80449,0.0,0,0,0,141,31,SUCCESS,80449,OPEN,0TsmQ9OPQiKoQEaeUgd80Q
DaCart#9669,1658293659527,3,26945,26595,80837,0.0,0,0,0,8,32,SUCCESS,80837,OPEN,LoR7JNgBRMOG11uxdgPX2A
