Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
Rezso-ShallowMind,1607002936251,1,25413,25413,163975,0.3333333333333333,1,1,2,0,1,SUCCESS,25413,dwgMw5QySEO1qh2lftRTOA
IcePandaBoom,1607002613584,1,31084,31084,174135,1.8,2,7,9,1,2,SUCCESS,31084,BTPWujqqTBOWGAFvEKyRaA
JPMC-Rogue-Hyderabad,1607002331596,1,37109,37109,135592,4.333333333333333,9,4,13,0,3,SUCCESS,37109,LKdw_hyKTSu7moFuxbmiZw
Kire,1607001900703,1,37734,37734,124138,1.6666666666666667,2,3,5,0,4,SUCCESS,37734,N0y9CR6fQN-a4UlAFsTC5Q
Breadcentric,1607001840873,1,41305,41305,136148,4.333333333333333,6,7,13,0,5,SUCCESS,41305,SjNec5b-SpOk7y9b6rh4KQ
Garage-ISEP,1607001829095,1,43669,43669,142318,3.0,4,5,9,0,6,SUCCESS,43669,fzU7aL-jTYm9zKtUHFVFyw
remove,1606995876892,1,44596,44596,137811,4.333333333333333,4,9,13,0,7,SUCCESS,44596,TSoego0RTCazPagbkqTnlw
alexj,1606989970661,1,46184,46184,147289,1.6666666666666667,3,2,5,0,8,SUCCESS,46184,Km6btE1_SFCCCqWJ4H6Fyg
TARS,1606996407386,1,56873,56873,169037,11.5,18,5,23,0,9,SUCCESS,56873,e256657c1f4d40d08dfc7w
Matt,1607000844582,1,60398,60398,139983,8.5,8,9,17,0,10,SUCCESS,60398,cVk-aYKdRUmuL0qmjyzmag
Rober,1606896595331,1,73660,73660,153262,13.5,6,21,27,0,11,SUCCESS,73660,KrRSYhzKTfONjRaDUc_ubQ
Etaggel,1606994065627,1,77329,77329,77329,3.0,3,0,3,0,12,SUCCESS,77329,BwHxax8oR-e8kzZqNd5_Sw
