Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
JJ,1609156342812,3,19861,19568,59583,0.0,0,0,0,5753,1,SUCCESS,59583,afdcX_4vRH6Ussd0mbg5LQ
Karl-NAB,1608515659237,3,22534,21661,67603,0.0,0,0,0,5767,2,SUCCESS,67603,4vOOxLIsSjeL2WFaO5o_fQ
dartjason,1609163010506,3,22688,22158,68066,0.0,0,0,0,1944,3,SUCCESS,68066,JSflDq5rQgKEuA5Ots4kDQ
JPMC-DriftKing-Houston,1609254858268,3,22714,21153,68142,0.0,0,0,0,48,4,SUCCESS,68142,fngewpiZSZm11yX7YgwnMA
AJM-Model-1,1609287607469,3,23009,20411,69029,0.3333333333333333,1,0,1,2378,5,SUCCESS,69029,gdsU9bkGRWW7LTEHP4rGgQ
kimmizian,1609048535990,3,23193,22731,69579,0.0,0,0,0,5710,6,SUCCESS,69579,t6NwFsqgS4mYnFeR3KVxsg
JPMC-Rogue-Hyderabad,1609445826869,3,23354,20767,70063,0.3333333333333333,0,1,1,514,7,SUCCESS,70063,LKdw_hyKTSu7moFuxbmiZw
condoriano,1609423442461,3,23694,23442,71082,0.0,0,0,0,188,8,SUCCESS,71082,xq_a3388T3Ob0PANJ2qulQ
PoChun-NCTU-CGI,1609140138446,3,23900,22285,71702,0.0,0,0,0,236,9,SUCCESS,71702,P7SrLqBvRKS2fNy2goovqw
PolishThunder,1609274951323,3,24158,22069,72475,0.3333333333333333,1,0,1,4660,10,SUCCESS,72475,qi512oGVTry8V-KtP6j2_w
MiLKB,1609289850331,3,24180,24109,72540,0.0,0,0,0,4157,11,SUCCESS,72540,8KL8u0H3RIWxgP14x_RC6w
Ernesto,1609309718316,3,24202,23560,72606,0.0,0,0,0,2320,12,SUCCESS,72606,8zBEAp0-S5yGbcZvytGZGQ
think,1608965504771,3,24375,23342,73125,0.0,0,0,0,3651,13,SUCCESS,73125,IHHC4YftQLaMAs0VyXFJzw
Yxcas-DBS,1609398465440,3,25006,22676,75020,0.3333333333333333,1,0,1,3020,14,SUCCESS,75020,NdVUBlBJRqiz_zbY7Xn-2g
Duckworth,1609189267374,3,25044,24351,75133,0.0,0,0,0,664,15,SUCCESS,75133,VIu9BQ4-Th6gUqu60ztwUQ
kimwooglae,1608415109224,3,25174,24811,75522,0.0,0,0,0,3605,16,SUCCESS,75522,bOqKo-ebR_essdUaZVGO4Q
Robin-Castro,1609342985939,3,25302,22189,75906,0.3333333333333333,1,0,1,5911,17,SUCCESS,75906,qaH8R2-8TlG79mslpdPfGg
Deepak-dpk,1607869435622,3,26095,23250,78285,0.3333333333333333,1,0,1,68,18,SUCCESS,78285,gDTBFK77TM6wD6uObZlulA
Smiles93,1607499240460,3,27099,26543,81298,0.0,0,0,0,438,19,SUCCESS,81298,ZQh09nrpQCmztIynuKW9bw
ep-dr-racer1,1608649030266,3,27105,22385,81315,0.6666666666666666,1,1,2,2410,20,SUCCESS,81315,vEZxFEnhQHeI5tKR4Tz3rQ
piano,1608379360565,3,27376,24620,82129,0.3333333333333333,1,0,1,3572,21,SUCCESS,82129,UlhPeJD_R1mP1YVlotOxSA
nalbam-me,1606944648566,3,27550,26616,82651,0.0,0,0,0,168,22,SUCCESS,82651,PnRru4vBRkeyT4xX6LOCtw
DBro,1607606531114,3,27743,23864,83229,0.6666666666666666,2,0,2,2851,23,SUCCESS,83229,jEkEOpjZRhGUbyDZIfTo_A
JPMC-RogerRabbit-Houston,1606975775158,3,27943,21566,83829,1.0,2,1,3,10,24,SUCCESS,83829,DXXOncNRR1iiqhBvpPO-_A
S-P-,1608020222662,3,28070,23233,84212,0.6666666666666666,2,0,2,85,25,SUCCESS,84212,MxT5p4ZvSTOcc6ANa8VZNg
CGS-LargeLattice,1608777618946,3,28178,24134,84536,0.6666666666666666,1,1,2,181,26,SUCCESS,84536,o6NgljsnTOOelVAsofMR3g
Jochem,1608462034386,3,28279,22014,84838,1.0,3,0,3,20,27,SUCCESS,84838,RBPhZc5eTVmEF_gpSV7skg
blueberrypie,1609375201143,3,28941,22990,86825,1.0,2,1,3,1042,28,SUCCESS,86825,EmZsQC41RtW5hhxb6z2-xQ
GT-DevelopersIO,1607052215882,3,30156,27474,90468,0.3333333333333333,1,0,1,17,29,SUCCESS,90468,8WSp4P7ZRn-jJgZLnugwkA
