Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,Liao,1717214801895,3,17334,16938,52002,0.0,0,0,0,1,SUCCESS,17334,1mW7p6I1Q0-cB3Up-esBeQ
2,JPMC-London-Griffc,1717237523817,3,18373,17876,55121,0.0,0,0,0,1,SUCCESS,18373,S1EcBZeaRjW2s85WNzBBog
3,Jochem,1717236695925,3,18775,18730,56327,0.0,0,0,0,1,SUCCESS,18775,RBPhZc5eTVmEF_gpSV7skg
4,JPMC-ALLisWELL,1717246230878,3,20220,20131,60662,0.0,0,0,0,2,SUCCESS,20220,YvlaCbHmTcK1pwMngoUyBw
5,CodeMachine,1717200010606,3,21641,21135,64925,0.0,0,0,0,1,SUCCESS,21641,b_WzN_r8ToGPle_8bl2tMA
6,RayG-DBS,1717200478251,3,24639,23872,73919,0.0,0,0,0,1,SUCCESS,24639,YNrvM9f5RteeSrCl7oFC5w
7,FocusedExpert#7259,1717223690029,3,26219,25121,78658,0.0,0,0,0,16,SUCCESS,26219,3MZZuFygRjm1Za-OUz0ufg
8,MaxCommercientRacer,1717274450829,3,28596,24729,85790,0.3333333333333333,0,1,1,7,SUCCESS,28596,unpG_64uQWGGWy5XyNr85Q
9,IcePandaBoom,1717224042926,3,29109,28465,87327,1.0,0,3,3,1,SUCCESS,29109,BTPWujqqTBOWGAFvEKyRaA
10,--E2--,1717247200987,3,29599,22859,88798,0.6666666666666666,0,2,2,1,SUCCESS,29599,4eJQf1tiRFK1yE7PUW6CdA
11,YA#88,1717230334972,3,30086,22732,90260,0.6666666666666666,0,2,2,4,SUCCESS,30086,KBCP86t4SpaGJhXNb26AcQ
12,Akiva,1717277932320,3,30108,26468,90324,0.3333333333333333,0,1,1,1,SUCCESS,30108,hsfJQ05mShW_UFBDkcXFyw
13,reddevilgp,1717277347827,3,30488,24139,91466,0.6666666666666666,0,2,2,3,SUCCESS,30488,luqmCfV3Qk6HWz85EeQ0XA
14,Deepak-dpk,1717237210192,3,30553,27001,91661,1.3333333333333333,0,4,4,1,SUCCESS,30553,gDTBFK77TM6wD6uObZlulA
15,TPC-Tech,1717265915856,3,30640,20924,91921,1.0,0,3,3,1,SUCCESS,30640,iEfWhIPLS865MMzpmLNdqQ
16,DaVinciDriver,1717225411537,3,31685,20799,95055,1.0,0,3,3,1,SUCCESS,31685,XtzXYz2pRByDnXz90XNGSw
17,ryu,1717229971757,3,31975,24807,95927,0.6666666666666666,0,2,2,1,SUCCESS,31975,VJ3BbvBVTJul_5HJYllepg
18,Alind,1717201082378,3,32684,28335,98054,0.3333333333333333,0,1,1,2,SUCCESS,32684,WQ9eQJteSeiuzRYlPqqljQ
19,Seab,1717201625433,3,32709,32465,98127,0.0,0,0,0,1,SUCCESS,32709,mjD1OGTXQfKTXMPWVq29rg
20,TKU-CSIE-G03-Jason,1717247249785,3,34176,30064,102528,0.3333333333333333,0,1,1,3,SUCCESS,34176,epj1uh6vS0WoZMyWuMxWsg
21,TrainingSeason-OpenAI,1717219020524,3,35418,23400,106256,1.0,0,3,3,3,SUCCESS,35418,2ZrGrnCTTLac0_y0h4IxEQ
22,GammaScript#5560,1717209064833,3,35554,31468,106664,0.3333333333333333,0,1,1,3,SUCCESS,35554,3RI5XwTESXKL1vXskRfohA
23,Lee0602,1717202462891,3,36020,28599,108061,1.6666666666666667,0,5,5,3,SUCCESS,36020,ZHF2XODuQbS-C6lN50M2PQ
24,MemoryTable#3636,1717226589819,3,36219,35990,108657,0.0,0,0,0,3,SUCCESS,36219,vPLUHGoxR66Q0ordmB1jGQ
25,Eviden-Ketan-Sharma,1717264326268,3,36464,30337,109393,0.6666666666666666,0,2,2,4,SUCCESS,36464,hxYsETpxSC-0azhmF5hnMQ
26,DustyRacing,1717254135400,3,36707,28996,110123,1.6666666666666667,0,5,5,3,SUCCESS,36707,Vlo2vVAfQrqWadXhqFE38A
27,ProcessingLog#9593,1717254180600,3,37082,33199,111247,0.3333333333333333,0,1,1,1,SUCCESS,37082,HEEniShbSpGgchYzrHXvpw
28,Galaxy-Destroyer,1717228844507,3,37084,33132,111253,1.3333333333333333,0,4,4,11,SUCCESS,37084,R5dbzb_dTHeWKz89XJfXSQ
29,UpgradedState#1901,1717237535351,3,37778,30928,113334,0.6666666666666666,0,2,2,1,SUCCESS,37778,UjRWY3I2Sk6gxdakDx1utA
30,CarrerDelBlanquer2,1717260637222,3,39330,34998,117991,0.3333333333333333,0,1,1,5,SUCCESS,39330,4gTWESbfSMOefvxyse-nlw
31,Eviden-SharanJeevangi-India,1717259095411,3,40886,40332,122658,0.0,0,0,0,2,SUCCESS,40886,ahNlbPHuRHe5OrNByB0ojQ
32,DraftGlyph#6294,1717211717788,3,42287,34864,126861,1.6666666666666667,0,5,5,1,SUCCESS,42287,kJi6KnsVTtSelXgrsCaArA
33,Eviden-Navn33t-Singh,1717253609155,3,42379,27800,127139,2.3333333333333335,0,7,7,3,SUCCESS,42379,abV36aIgT1Kkmf-Bm6H3TA
34,Ple-Racer,1717208490428,3,42777,41729,128331,1.0,0,3,3,2,SUCCESS,42777,kKTUsN7tQ4qOqVXF1zs8VQ
35,SilEye,1717233877723,3,44865,41461,134595,2.3333333333333335,0,7,7,2,SUCCESS,44865,y-L1qKgjS2iMcNjbnxNC_Q
36,gcjordi,1717268828569,3,45222,38341,135668,1.6666666666666667,0,5,5,2,SUCCESS,45222,4n-0HYIyQ2241dJ4tZirRg
37,Decio-HotWheels,1717202502906,3,45884,38863,137652,1.6666666666666667,0,5,5,4,SUCCESS,45884,n5_HZz5pQT2PezY067cYQA
38,BlackJack,1717233176315,3,46731,29323,140195,1.6666666666666667,0,5,5,1,SUCCESS,46731,8mI_soJ5RUCCNlvMMoERbQ
39,tranvietdung-DBS,1717201938333,3,46774,37257,140323,2.0,0,6,6,1,SUCCESS,46774,3OwVWi6tQDCpBzKpWfHj7Q
40,yukke#5413,1717236088993,3,46931,40326,140795,1.6666666666666667,0,5,5,2,SUCCESS,46931,R5Bm0iNCQNyJt66i8Hn68g
41,Zooom#32289216,1717237503546,3,47311,40474,141935,2.6666666666666665,0,8,8,1,SUCCESS,47311,cLBKyiaZRMSvEyXhvbnxNg
42,Enginever,1717257070017,3,47375,37133,142125,2.0,0,6,6,1,SUCCESS,47375,Ym4u3vKwSOSEhejti-8AYQ
43,Rohit07,1717220956914,3,48589,48273,145769,2.0,0,6,6,1,SUCCESS,48589,_1nLI5wJRdylu_dAX_7tJQ
44,Gunny,1717259252949,3,48708,41866,146126,0.6666666666666666,0,2,2,1,SUCCESS,48708,m5-I630sTqyWjEYTg5eO9Q
45,AleCi,1717276424407,3,49620,39395,148862,2.0,0,6,6,1,SUCCESS,49620,R3HcTqybRx26I4O6xo9Qcg
46,onlythree,1717232715434,3,49709,43129,149128,2.6666666666666665,0,8,8,7,SUCCESS,49709,23e254b25ea0443389ed6w
47,TimJWhite,1717208621034,3,52531,39197,157594,3.3333333333333335,0,10,10,1,SUCCESS,52531,3dDHylmQSi-Rzd9uUamhlQ
