Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1661582180762,3,20353,19737,61060,0.0,0,0,0,4491,1,SUCCESS,61060,PRO,afdcX_4vRH6Ussd0mbg5LQ
rosscomp1,1660778104332,3,20573,20275,61720,0.0,0,0,0,5629,2,SUCCESS,61720,PRO,fb0d597a87f94697aa1c6w
TonyJ,1661303766714,3,21085,20726,63256,0.0,0,0,0,7155,3,SUCCESS,63256,PRO,af962be5a4ed4c57af807w
JPMC-BMTH-CTRL-PLUS-SPEED,1661208305137,3,21373,21195,64121,0.0,0,0,0,2403,4,SUCCESS,64121,PRO,TSoego0RTCazPagbkqTnlw
Karl-NAB,1661021466321,3,21396,21128,64188,0.0,0,0,0,5553,5,SUCCESS,64188,PRO,4vOOxLIsSjeL2WFaO5o_fQ
Ernesto-PhilJ,1660524962937,3,21574,21113,64723,0.0,0,0,0,3577,6,SUCCESS,64723,PRO,8zBEAp0-S5yGbcZvytGZGQ
Duckworth,1661951407225,3,21908,21669,65726,0.0,0,0,0,3768,7,SUCCESS,65726,PRO,VIu9BQ4-Th6gUqu60ztwUQ
Off-track,1660536005906,3,22014,21268,66044,0.0,0,0,0,4145,8,SUCCESS,66044,PRO,1R021ZoDQrqxSUiHfBvyEw
ferrite,1661181937895,3,22286,21935,66860,0.0,0,0,0,722,9,SUCCESS,66860,PRO,SRAgn9lMTCmIjaBREP7hxA
JPMC-MUMBAI-FormulaAI,1661712555969,3,22331,21805,66995,0.0,0,0,0,4410,10,SUCCESS,66995,PRO,Gx2StgEoSza3Gxxo4Oghug
PolishThunder,1661843373218,3,22350,21933,67050,0.0,0,0,0,822,11,SUCCESS,67050,PRO,qi512oGVTry8V-KtP6j2_w
ZoD,1661738467971,3,22480,21809,67441,0.0,0,0,0,2420,12,SUCCESS,67441,PRO,TFtvCas4TRWchrBPMyGh0A
Yi-LI-NYCU-CGI,1661584385172,3,22647,22395,67942,0.0,0,0,0,564,13,SUCCESS,67942,PRO,jrJHq8pZQAyj4gGqMw8-DQ
ZhengYi-NYCU-CGI,1661582755806,3,22769,22533,68307,0.0,0,0,0,693,14,SUCCESS,68307,PRO,qY4J9IzvQS6a1N-KZXwviA
JPMC-LONDON-HandsFree,1660787452796,3,22818,22406,68455,0.0,0,0,0,203,15,SUCCESS,68455,PRO,DZAYqyd-Tp6eE15IopWCgQ
