Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
VaughanDiesel,1614807526257,3,29157,27727,87471,0.0,0,0,0,82,1,SUCCESS,87471,OPEN,ca37b6d347cd4f69aa20b0fe73e3ff2e
satussy777,1615113022499,3,34365,30529,103095,1.6666666666666667,0,5,5,26,2,SUCCESS,103095,OPEN,IYaF6LtbRWmZE9xBm87JmQ
GregRacing,1614993330952,3,35027,33131,105081,1.6666666666666667,0,5,5,6,3,SUCCESS,105081,OPEN,Ub6W3fjfSfyP6XPNdIJ-7g
jmp543,1614831969713,3,35719,35609,107158,0.0,0,0,0,45,4,SUCCESS,107158,OPEN,OWV55vVEQVu5iDqbn3FZKQ
Redfalcon5,1615125364371,3,39043,32445,117129,1.0,0,3,3,18,5,SUCCESS,117129,OPEN,72fe3611f672449f8be96fc16e2ec4ed
Jerec,1615082254083,3,40350,39095,121050,0.0,0,0,0,3,6,SUCCESS,121050,OPEN,RH6ep-5mRmmVLqHClba8_Q
TestVinodRacer,1615132976308,3,40715,38675,122146,0.3333333333333333,0,1,1,25,7,SUCCESS,122146,OPEN,mwy3gUcWR3qTSJx2l1k1FA
s1thind,1615123467069,3,40823,31866,122470,1.6666666666666667,0,5,5,15,8,SUCCESS,122470,OPEN,VW2LZeOaQP2xEkygggDjUg
hypersky,1614659253981,3,41683,39660,125051,0.3333333333333333,0,1,1,15,9,SUCCESS,125051,OPEN,539a3d99c68045b4b97849dec4a9c391
WaveLabCup-test,1614766164753,3,42201,37131,126605,1.6666666666666667,0,5,5,3,10,SUCCESS,126605,OPEN,VoDpVnVvR6CwWViNtPYWXA
Groovy-DNPds,1614940843361,3,42624,39550,127874,0.3333333333333333,0,1,1,15,11,SUCCESS,127874,OPEN,a4fb0e167d0e4112942c1a60e640aa58
Kalky,1614755412104,3,42633,40704,127901,0.3333333333333333,0,1,1,11,12,SUCCESS,127901,OPEN,zcjxG8iZRhe9_7G7lnW5xg
drunken-monkey,1614698648381,3,44177,40399,132532,0.6666666666666666,0,2,2,8,13,SUCCESS,132532,OPEN,c7a82cb998e44f9abd469e974352461d
KaiRacer,1614938330732,3,44636,38810,133910,2.0,0,6,6,7,14,SUCCESS,133910,OPEN,je1HIMgRQtibB3H9325TRw
Dharani1,1614945598202,3,46325,44335,138977,2.3333333333333335,0,7,7,13,15,SUCCESS,138977,OPEN,vOqSw7ybRum3Mg_j6uNPyA
CaliSchwiizer,1614913129663,3,46365,46188,139097,0.0,0,0,0,0,16,SUCCESS,139097,OPEN,5058375c4d2440908e5b1e0cbcfa56e7
seren-kim,1614825928871,3,46696,43010,140090,0.6666666666666666,0,2,2,8,17,SUCCESS,140090,OPEN,iJQrkL-bTP2OASSovOEn5A
LeagueRacerName,1614938210312,3,46775,43453,140326,0.6666666666666666,0,2,2,5,18,SUCCESS,140326,OPEN,7Es4hz1fTEOpDA35Ul6b1A
Wasabi-DevelopersIO,1614953408845,3,48010,42688,144030,1.0,0,3,3,110,19,SUCCESS,144030,OPEN,Fmb5j9UgQ_2xkleK0vwXOg
GB2000,1614677905002,3,48088,47538,144264,3.0,0,9,9,10,20,SUCCESS,144264,OPEN,H6ehi2HVQLK4I2BNsVY4xg
NowSomeDonkeyCar,1614676282383,3,49230,45473,147690,2.6666666666666665,0,8,8,92,21,SUCCESS,147690,OPEN,d7Pg_Ma0QlmH09hFeOkSUg
GoodmanKR,1614822701233,3,49361,40684,148085,2.6666666666666665,0,8,8,96,22,SUCCESS,148085,OPEN,f905b742ca594aadb529eeab54e1721f
SVDeepRacer,1614946791411,3,51100,44209,153301,1.3333333333333333,0,4,4,5,23,SUCCESS,153301,OPEN,6yTWu8nzRYGZtNReHyCpow
My-First-Deep-Racer,1614796167164,3,51106,46936,153320,0.6666666666666666,0,2,2,0,24,SUCCESS,153320,OPEN,Elcr3Cw7QOG81a4Qc9Fbrw
DRacerNeerajU,1615105953391,3,51142,48915,153427,0.3333333333333333,0,1,1,15,25,SUCCESS,153427,OPEN,lFpXvly8RQCvxTsQDJ3DRQ
sbhimalingam,1615064176783,3,51498,50395,154494,1.0,0,3,3,15,26,SUCCESS,154494,OPEN,zPVq7hnXQLybB6RsXG9r3g
Holden-Grapes,1614880561392,3,51570,51405,154712,2.0,0,6,6,4,27,SUCCESS,154712,OPEN,4P4pFL5AT0ea23kGBM1z3g
GummyBear,1614778347646,3,51926,48387,155780,0.6666666666666666,0,2,2,0,28,SUCCESS,155780,OPEN,6ec0eaaca4ea4f518879c9cc784c2bed
hduddu,1615006388451,3,52043,51745,156130,3.0,0,9,9,6,29,SUCCESS,156130,OPEN,YHbUwOXoSSmS8HL0Y5B_hQ
tomroy1,1615094275159,3,53197,47103,159591,3.0,0,9,9,7,30,SUCCESS,159591,OPEN,8CwswwMISfOCu4CF4xJcbw
AsimMohanty,1615107857940,3,53417,46786,160253,2.3333333333333335,0,7,7,12,31,SUCCESS,160253,OPEN,DLVEcVw4TRuHWOsb2QxDrg
10namarie,1614842526170,3,53474,52977,160424,0.0,0,0,0,7,32,SUCCESS,160424,OPEN,fdoDLYvsR1WHMw-AJnpKlA
Liluter-Dron,1614649072565,3,54196,51515,162589,0.6666666666666666,0,2,2,0,33,SUCCESS,162589,OPEN,xqLl_sVoTQ2zfGYXDT0Bqw
LuckyMan,1614944976640,3,55334,51660,166004,1.6666666666666667,0,5,5,8,34,SUCCESS,166004,OPEN,hbVXmPNNTAGt_ndmy0JCtg
muzi,1614780468087,3,55610,51736,166831,3.6666666666666665,0,11,11,10,35,SUCCESS,166831,OPEN,-MRzonoQTti4O6q-Q7tYmQ
rnarukulla-1,1615130602031,3,56318,45564,168954,3.0,0,9,9,16,36,SUCCESS,168954,OPEN,Hs7ghuzHSPWj1IqkDHLVyA
MarsLander,1614732309802,3,57324,53540,171973,3.6666666666666665,0,11,11,14,37,SUCCESS,171973,OPEN,3Z5FYGyvRb-pphbE37YSRQ
PacemakersEh,1614738921917,3,57490,49404,172470,2.3333333333333335,0,7,7,4,38,SUCCESS,172470,OPEN,BcsxPSRpTUuIqQ4VreDSxg
AshishRacer,1615131493520,3,59248,54538,177744,1.6666666666666667,0,5,5,2,39,SUCCESS,177744,OPEN,z-4K8GxyTbqoRnnME0tm2g
Peppy,1614946664448,3,59331,55344,177994,1.6666666666666667,0,5,5,3,40,SUCCESS,177994,OPEN,ZPf5JabDSaq8qpU5CJd5GQ
ConnorSutton-01,1614670187316,3,59569,55871,178707,0.6666666666666666,0,2,2,13,41,SUCCESS,178707,OPEN,Kov6lrsUSuK9Qgfd8xvDig
CreateAndDigress,1615058358167,3,59817,52177,179453,2.6666666666666665,0,8,8,2,42,SUCCESS,179453,OPEN,GOtLMztSQaevpB0Od-A4AQ
Heisenberg,1614632479798,3,60420,58674,181262,0.3333333333333333,0,1,1,6,43,SUCCESS,181262,OPEN,rofJ2ac4Q16ZbbkZ8vu_uA
nine9,1615098967084,3,60775,50341,182327,3.0,0,9,9,9,44,SUCCESS,182327,OPEN,nh20eR6wSW2uOCJ_nRnUvg
funny,1615051542515,3,60808,60560,182424,0.0,0,0,0,9,45,SUCCESS,182424,OPEN,272054021dac4ddf95cf06e17807cd91
manzooi,1614833666916,3,61018,60730,183055,0.0,0,0,0,0,46,SUCCESS,183055,OPEN,d69bf69bafe74307b325ff7bafdb1f0c
Roxnea,1614947118534,3,62451,58562,187353,2.6666666666666665,0,8,8,0,47,SUCCESS,187353,OPEN,LHIDSY-SSsKelTxF_GQupw
GregData,1615077741865,3,63176,60614,189529,0.3333333333333333,0,1,1,15,48,SUCCESS,189529,OPEN,Z-BexzJgT7SrCl6P2fLtrA
