Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
ZhengYi-NYCU-CGI,1617093020001,3,23549,23314,70649,0.0,0,0,0,3,1,SUCCESS,70649,OPEN,qY4J9IzvQS6a1N-KZXwviA
Mungi,1616715508077,3,24675,24249,74027,0.0,0,0,0,12,2,SUCCESS,74027,OPEN,RgTvucbNQja7yiYbgh2p9A
Yi-LI-NYCU-CGI,1617110001744,3,25085,23405,75256,0.3333333333333333,0,1,1,0,3,SUCCESS,75256,OPEN,jrJHq8pZQAyj4gGqMw8-DQ
AIDeepRacer,1617078747666,3,25264,24459,75793,0.0,0,0,0,205,4,SUCCESS,75793,OPEN,pIRbdCx6QYatgVXm2p5GbA
Yoway-NYCU-CGI,1616753234425,3,25268,22356,75805,0.3333333333333333,0,1,1,0,5,SUCCESS,75805,OPEN,1fBE9Y-DR4aOhdY6ydu-rA
BeaconHillTheFastestVer2,1616479896330,3,25765,25263,77297,0.0,0,0,0,13,6,SUCCESS,77297,OPEN,BUbocVkQRdei8Y1XTAJiaQ
TimJ-KMITLXRAI,1616820135455,3,26077,25606,78232,0.0,0,0,0,23,7,SUCCESS,78232,OPEN,6PMVB8-LSQGASZ9NtO9A2Q
VaughanDiesel,1616341556304,3,26469,25720,79407,0.0,0,0,0,450,8,SUCCESS,79407,OPEN,ca37b6d347cd4f69aa20bw
s1thind,1616721733256,3,26517,26198,79551,0.0,0,0,0,109,9,SUCCESS,79551,OPEN,VW2LZeOaQP2xEkygggDjUg
Jerec,1616581366621,3,26811,26461,80433,0.0,0,0,0,230,10,SUCCESS,80433,OPEN,RH6ep-5mRmmVLqHClba8_Q
GregRacing,1616581185193,3,26985,26126,80956,0.0,0,0,0,25,11,SUCCESS,80956,OPEN,Ub6W3fjfSfyP6XPNdIJ-7g
