Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,AIDeepRacer,1681587276329,3,19376,19065,58130,0.0,0,0,0,2,SUCCESS,58130,pIRbdCx6QYatgVXm2p5GbA
2,nickyl,1681601062582,3,19888,19600,59666,0.0,0,0,0,10,SUCCESS,59666,O0GALYAoRfGA0kUV6ftgqQ
3,Ensono-Ernesto,1681754030434,3,20086,19799,60259,0.0,0,0,0,4,SUCCESS,60259,8zBEAp0-S5yGbcZvytGZGQ
4,ADA,1681340471201,3,20154,19656,60462,0.0,0,0,0,15,SUCCESS,60462,KiqOhQPjTamuBXicXnKGEA
5,BennyLBS,1681476512433,3,20174,19871,60524,0.0,0,0,0,3,SUCCESS,60524,wD3fjDFZTJaZd9AU7WRDlA
6,PolishThunder,1681335480801,3,20242,19936,60728,0.0,0,0,0,26,SUCCESS,60728,qi512oGVTry8V-KtP6j2_w
7,JPMC-KWGKMY-HongKong,1681516833348,3,20465,20397,61396,0.0,0,0,0,33,SUCCESS,61396,zKdKXknwQVCObGdEgutObQ
8,Rober-rNiubo,1681332222650,3,20553,20265,61661,0.0,0,0,0,22,SUCCESS,61661,KrRSYhzKTfONjRaDUc_ubQ
9,JPMC-Speedy-Gonzales-LATAM,1681337375991,3,20620,20073,61862,0.0,0,0,0,1,SUCCESS,61862,McOa_W8cTW2EErfZhOoKxA
10,JPMC-LONDON-HandsFree,1681327277539,3,20685,20402,62055,0.0,0,0,0,15,SUCCESS,62055,DZAYqyd-Tp6eE15IopWCgQ
11,Marco-Eviden,1681650111633,3,20840,20196,62522,0.0,0,0,0,17,SUCCESS,62522,Hg2CJNXMRmijQmd_jMSJyw
12,DaVinciDriver,1681750064940,3,20953,20659,62859,0.0,0,0,0,7,SUCCESS,62859,XtzXYz2pRByDnXz90XNGSw
13,Duckworth,1681228995818,3,21063,20868,63190,0.0,0,0,0,2,SUCCESS,63190,VIu9BQ4-Th6gUqu60ztwUQ
14,BSi,1681462857842,3,21105,20460,63317,0.0,0,0,0,10,SUCCESS,63317,2eb231b0a43f4940bfed3w
15,Eviden-Mark-Ross,1681135237954,3,21220,20998,63660,0.0,0,0,0,9,SUCCESS,63660,F_ThjPFRSx-guPadHlwEuA
16,Hins,1681387529197,3,21465,20998,64395,0.0,0,0,0,2,SUCCESS,64395,TrdfMZyuRVWfUUCH-IYRKg
17,DarkStar,1680940123368,3,21530,21134,64591,0.0,0,0,0,4,SUCCESS,64591,RqPwhBT9R1Oxro8xj4XNmA
18,Galileo,1681630557828,3,21551,21392,64653,0.0,0,0,0,18,SUCCESS,64653,Y79AzaaOR-u4LVKMxu1Mdw
19,Velocity-5dl,1681706876712,3,21574,21201,64724,0.0,0,0,0,20,SUCCESS,64724,DBVc9n_uQ0-r-Cqkz3YweA
20,Off-track,1680974250741,3,22118,21194,66355,0.3333333333333333,0,1,1,2,SUCCESS,66355,1R021ZoDQrqxSUiHfBvyEw
21,Jochem,1681800492986,3,22145,21531,66435,0.0,0,0,0,1,SUCCESS,66435,RBPhZc5eTVmEF_gpSV7skg
22,Deepak-dpk,1680714034026,3,22175,21997,66526,0.0,0,0,0,1,SUCCESS,66526,gDTBFK77TM6wD6uObZlulA
23,Gareth-Eviden,1681718386639,3,22930,22724,68791,0.0,0,0,0,6,SUCCESS,68791,Z8QUP846RHyf1P4p_KO-LQ
24,EP-RIO,1680588291261,3,23442,22933,70326,0.0,0,0,0,30,SUCCESS,70326,_ARh_JWqRH-khggA_9cN0Q
25,nero-DNPds,1681810144054,3,23597,22673,70792,0.0,0,0,0,8,SUCCESS,70792,fdqnbHDPSbKcnf8kE5xuMQ
26,CodeMachine,1681545087892,3,23865,22868,71595,0.0,0,0,0,17,SUCCESS,71595,b_WzN_r8ToGPle_8bl2tMA
27,barkingdog,1681604578449,3,23873,22533,71619,0.0,0,0,0,1,SUCCESS,71619,b3960b6c6f58458880ceew
28,Mentaiko-DevelopersIO,1681605320664,3,24130,23801,72390,0.0,0,0,0,4,SUCCESS,72390,Wt5C8BPAS0OPlzY3-txb-w
29,tranvietdung-DBS,1681569509974,3,24375,23863,73127,0.0,0,0,0,6,SUCCESS,73127,3OwVWi6tQDCpBzKpWfHj7Q
30,Chicken-and-rabbit-craziest-duo,1680927520316,3,24776,23531,74330,0.3333333333333333,0,1,1,4,SUCCESS,74330,eocuTuXWSKOXBRTqs1nhEw
31,CM#95,1681121678745,3,24778,24341,74334,0.0,0,0,0,1,SUCCESS,74334,GVgIxJBXQHiwofIqHY4U1A
32,Jerec,1681744283437,3,24797,22531,74393,0.3333333333333333,0,1,1,3,SUCCESS,74393,RH6ep-5mRmmVLqHClba8_Q
33,DoomBuggy,1681189779278,3,25196,22927,75588,0.6666666666666666,0,2,2,3,SUCCESS,75588,QakV_nzOTm2q_NhqUMwIJw
34,CH-Shin#technopro,1681117541136,3,25842,25203,77526,0.0,0,0,0,20,SUCCESS,77526,z_o7oTr8SwyPS6Qq-D4Uvw
35,RobinCastro-DBS,1680739648865,3,26178,21857,78536,1.3333333333333333,0,4,4,1,SUCCESS,78536,7KrbyQXvTBOxnBa0p9YuUA
36,Jianlong,1680843994744,3,26397,25932,79192,0.0,0,0,0,25,SUCCESS,79192,vpsHYdBtSIq__1M9j1R21Q
37,Aurora-DNPds,1681812043925,3,26440,24724,79322,0.6666666666666666,0,2,2,2,SUCCESS,79322,26fba66bedca4aa3bca47w
38,londoso-monst,1681573140767,3,26819,26531,80458,0.0,0,0,0,16,SUCCESS,80458,mQQF2PEFSvmDfnR4HGLM1Q
39,rapirapi-BIP,1681747251682,3,27531,26202,82593,0.3333333333333333,0,1,1,12,SUCCESS,82593,qsYR-A-0S2OHA1cvbeFfSg
40,GoodEveningWeAreFromUkraine,1681677159241,3,27621,27061,82863,0.0,0,0,0,26,SUCCESS,82863,oX4dpYxLTFG2UU6NprA-7g
41,IcePandaBoom,1680332831832,3,28087,26321,84262,0.6666666666666666,0,2,2,1,SUCCESS,84262,BTPWujqqTBOWGAFvEKyRaA
42,JPMC-AngryWookie-Columbus,1681528596099,3,28646,27390,85939,0.3333333333333333,0,1,1,2,SUCCESS,85939,rIIziACfQnGou4zeDTbyTg
43,Banbone,1680940472996,3,28909,28400,86728,0.0,0,0,0,19,SUCCESS,86728,iTaYYJwUSXWPbqTcxyO0ZA
44,Langley-BIP,1681815431971,3,29863,28262,89591,0.3333333333333333,0,1,1,4,SUCCESS,89591,8JXLSKkhQVin2JwAVdbPzw
45,Seab,1680781413011,3,29952,29733,89858,0.0,0,0,0,4,SUCCESS,89858,mjD1OGTXQfKTXMPWVq29rg
46,ToK-A2D,1680783422590,3,29998,29800,89994,0.0,0,0,0,16,SUCCESS,89994,N7RG_zpMTI62_zwTZMn3Dg
47,MineSweeper,1680489803960,3,30331,29002,90994,1.3333333333333333,0,4,4,13,SUCCESS,90994,cJBGnsm2SneQEkwWruZDgw
48,BoltronRacingTeam,1680317112971,3,30420,29195,91260,0.3333333333333333,0,1,1,2,SUCCESS,91260,Lkrg6gQPQ5qwn61K16MHhg
49,Adam-Niu,1680636235439,3,30420,30069,91260,0.0,0,0,0,20,SUCCESS,91260,-mYtVYWFRXaby3hy_KwQWw
50,Cinderpelt,1681655215386,3,30509,28533,91528,0.3333333333333333,0,1,1,4,SUCCESS,91528,1UgtHyGoRa-lnh8JgVEtuw
51,nalbam-me,1681465979825,3,30729,27869,92187,0.6666666666666666,0,2,2,23,SUCCESS,92187,PnRru4vBRkeyT4xX6LOCtw
52,C3Ro-Monst,1680308321251,3,30754,30661,92262,0.0,0,0,0,3,SUCCESS,92262,61QIIR_GTpCM0JoUAsdwew
53,FabRacer,1681737012219,3,30828,30664,92486,0.0,0,0,0,50,SUCCESS,92486,YXjU-6WZTe65g7_YyZPJrA
54,Thoughtworks-SDV,1681662408711,3,31177,29736,93531,0.3333333333333333,0,1,1,3,SUCCESS,93531,chMgM6ZjRSqs4DrQzXNyrw
55,masaki-systems,1681009185597,3,31397,30862,94193,0.0,0,0,0,37,SUCCESS,94193,V1ivpKOPSGWKc3SxuA8YmA
56,monstsquad,1680307515103,3,31442,29991,94327,0.3333333333333333,0,1,1,1,SUCCESS,94327,DrMkcpQaSYCRAUD22iT2ng
57,TSS-samaujs,1680875984788,3,31443,29806,94331,0.0,0,0,0,7,SUCCESS,94331,BteX7647QUyM2a2hexL2ZA
58,Gr1zzli3,1681232705251,3,31642,30266,94927,1.3333333333333333,0,4,4,40,SUCCESS,94927,yDIET1T2TTmh48Lj1Kh9kQ
59,JPMC-Delaware-Sandbox06,1681136033329,3,31781,29469,95344,0.3333333333333333,0,1,1,50,SUCCESS,95344,liKDowM7Rka8dOtW9yyAQw
60,Everest-DNPds,1681184943208,3,31841,31531,95525,1.0,0,3,3,3,SUCCESS,95525,13eb4731e0c1457ca4d7dw
61,WhoIsRacerX,1681218076008,3,32173,31659,96521,0.0,0,0,0,5,SUCCESS,96521,MowBV-yeT8yKlEDGHHdbbg
62,Zeddx,1681186932574,3,32285,30259,96857,0.6666666666666666,0,2,2,23,SUCCESS,96857,lB7OvrjXS7CM0NMeM6IDPg
