Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1682896336521,3,18507,18400,55522,0.0,0,0,0,44,SUCCESS,55522,fb0d597a87f94697aa1c6w
2,JJ,1682891926579,3,18753,18464,56259,0.0,0,0,0,50,SUCCESS,56259,afdcX_4vRH6Ussd0mbg5LQ
3,Version-Infinite,1682854601151,3,18996,18665,56990,0.0,0,0,0,50,SUCCESS,56990,N5Bzb-oJTAup8q3QAYGZww
4,AIDeepRacer,1682467782829,3,19020,18732,57062,0.0,0,0,0,47,SUCCESS,57062,pIRbdCx6QYatgVXm2p5GbA
5,DBro,1682888695335,3,19085,18994,57255,0.0,0,0,0,50,SUCCESS,57255,jEkEOpjZRhGUbyDZIfTo_A
6,DaVinciDriver,1682579317636,3,19242,18866,57727,0.0,0,0,0,50,SUCCESS,57727,XtzXYz2pRByDnXz90XNGSw
7,Karl-NAB,1682856152171,3,19308,19261,57925,0.0,0,0,0,50,SUCCESS,57925,4vOOxLIsSjeL2WFaO5o_fQ
8,nickyl,1682740719678,3,19378,19002,58134,0.0,0,0,0,50,SUCCESS,58134,O0GALYAoRfGA0kUV6ftgqQ
9,TonyJ,1682898664801,3,19440,19201,58321,0.0,0,0,0,42,SUCCESS,58321,af962be5a4ed4c57af807w
10,AJM-Model-1,1682886651720,3,19507,19130,58522,0.0,0,0,0,33,SUCCESS,58522,gdsU9bkGRWW7LTEHP4rGgQ
11,BennyLBS,1682668807812,3,19664,19261,58993,0.0,0,0,0,50,SUCCESS,58993,wD3fjDFZTJaZd9AU7WRDlA
12,RayG-DBS,1682890542808,3,19683,19333,59051,0.0,0,0,0,38,SUCCESS,59051,YNrvM9f5RteeSrCl7oFC5w
13,PolishThunder,1682377205350,3,19709,19067,59127,0.0,0,0,0,50,SUCCESS,59127,qi512oGVTry8V-KtP6j2_w
14,ferrite,1682888503206,3,19730,19399,59192,0.0,0,0,0,44,SUCCESS,59192,SRAgn9lMTCmIjaBREP7hxA
15,RobinCastro-DBS,1682570129122,3,19753,19265,59259,0.0,0,0,0,46,SUCCESS,59259,7KrbyQXvTBOxnBa0p9YuUA
16,Ernesto-PhilJ,1682248802857,3,19796,19464,59390,0.0,0,0,0,50,SUCCESS,59390,8zBEAp0-S5yGbcZvytGZGQ
17,Jochem,1682843662226,3,19863,19796,59591,0.0,0,0,0,50,SUCCESS,59591,RBPhZc5eTVmEF_gpSV7skg
18,Hins,1682862490690,3,19954,19538,59862,0.0,0,0,0,3,SUCCESS,59862,TrdfMZyuRVWfUUCH-IYRKg
