Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Rober,1634252098900,1,21798.0,21798.0,160017.0,1.0,6,0,6,1,1,SUCCESS,21798,OPEN,KrRSYhzKTfONjRaDUc_ubQ
Carvai,1634236369377,1,21997.0,21997.0,170759.0,2.6,11,2,13,1,2,SUCCESS,21997,OPEN,SsDvF8JeRvaeXye0kQfvpA
SorinB,1634263151580,1,22337.0,22337.0,166232.0,1.3333333333333333,2,6,8,2,3,SUCCESS,22337,OPEN,TFtvCas4TRWchrBPMyGh0A
CGS-Huge-Hadr0n,1634253041978,1,22719.0,22719.0,155823.0,1.0,1,5,6,1,4,SUCCESS,22719,OPEN,63LA0_QCQ1-fRLzXgWmAeQ
Ernesto,1634238840535,1,25070.0,25070.0,161451.0,2.0,7,3,10,1,5,SUCCESS,25070,OPEN,8zBEAp0-S5yGbcZvytGZGQ
JPMC-Ace-Hyderabad,1634235477311,1,25446.0,25446.0,143311.0,1.8,5,4,9,1,6,SUCCESS,25446,OPEN,6fdcVCAkQtCCsyHEO0LNiA
JPMC-Singapore-Chetak,1634198615324,1,25856.0,25856.0,167901.0,1.5,5,4,9,1,7,SUCCESS,25856,OPEN,LJzDpiNuTFeHu9dsqp1APw
JPMC-BMTH-RacersOfTheLostArk,1634263167960,1,29201.0,29201.0,155185.0,3.75,5,10,15,2,8,SUCCESS,29201,OPEN,4607b3c36ab4490cad7a4w
AJM-Model-1,1634256268292,1,29498.0,29498.0,155019.0,3.0,11,1,12,1,9,SUCCESS,29498,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
RobinCastro-DBS,1634200680478,1,29754.0,29754.0,177914.0,3.8,9,10,19,1,10,SUCCESS,29754,OPEN,7KrbyQXvTBOxnBa0p9YuUA
JPMC-Rogue-Hyderabad,1634233726943,1,30067.0,30067.0,171262.0,3.2,12,4,16,1,11,SUCCESS,30067,OPEN,LKdw_hyKTSu7moFuxbmiZw
ADA,1634263171493,1,31278.0,31278.0,166600.0,1.6,6,2,8,2,12,SUCCESS,31278,OPEN,KiqOhQPjTamuBXicXnKGEA
Penguin-DNPds,1634221088110,1,31533.0,31533.0,155636.0,3.5,11,3,14,1,13,SUCCESS,31533,OPEN,Nr3YCYWGTA631Xqa0uDPhw
Matt,1634248931897,1,31608.0,31608.0,149340.0,3.5,13,1,14,1,14,SUCCESS,31608,OPEN,cVk-aYKdRUmuL0qmjyzmag
dartjason,1634251818828,1,34602.0,34602.0,170249.0,4.5,12,6,18,1,15,SUCCESS,34602,OPEN,JSflDq5rQgKEuA5Ots4kDQ
TonyJ,1634251182158,0,,,,0.0,0,0,0,2,16,SUCCESS,9223372036854775742,OPEN,af962be5a4ed4c57af807w
