Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Rober,1634263142943,1,21464.0,21464.0,179591.0,0.8571428571428571,6,0,6,2,1,SUCCESS,21464,OPEN,KrRSYhzKTfONjRaDUc_ubQ
CGS-Huge-Hadr0n,1634263597158,1,21471.0,21471.0,172930.0,0.7142857142857143,2,3,5,2,2,SUCCESS,21471,OPEN,63LA0_QCQ1-fRLzXgWmAeQ
Carvai,1634236369377,1,21997.0,21997.0,170759.0,2.6,11,2,13,2,3,SUCCESS,21997,OPEN,SsDvF8JeRvaeXye0kQfvpA
AJM-Model-1,1634263278080,1,22072.0,22072.0,175326.0,0.42857142857142855,2,1,3,2,4,SUCCESS,22072,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
SorinB,1634263151580,1,22337.0,22337.0,166232.0,1.3333333333333333,2,6,8,2,5,SUCCESS,22337,OPEN,TFtvCas4TRWchrBPMyGh0A
JPMC-Rogue-Hyderabad,1634263159793,1,22581.0,22581.0,140487.0,1.6,5,3,8,2,6,SUCCESS,22581,OPEN,LKdw_hyKTSu7moFuxbmiZw
JPMC-Ace-Hyderabad,1634263118797,1,25007.0,25007.0,176987.0,3.4,15,2,17,2,7,SUCCESS,25007,OPEN,6fdcVCAkQtCCsyHEO0LNiA
Ernesto,1634238840535,1,25070.0,25070.0,161451.0,2.0,7,3,10,2,8,SUCCESS,25070,OPEN,8zBEAp0-S5yGbcZvytGZGQ
JPMC-Singapore-Chetak,1634198615324,1,25856.0,25856.0,167901.0,1.5,5,4,9,2,9,SUCCESS,25856,OPEN,LJzDpiNuTFeHu9dsqp1APw
Penguin-DNPds,1634263361149,1,28380.0,28380.0,153783.0,3.5,7,7,14,2,10,SUCCESS,28380,OPEN,Nr3YCYWGTA631Xqa0uDPhw
JPMC-BMTH-RacersOfTheLostArk,1634263167960,1,29201.0,29201.0,155185.0,3.75,5,10,15,2,11,SUCCESS,29201,OPEN,4607b3c36ab4490cad7a4w
RobinCastro-DBS,1634200680478,1,29754.0,29754.0,177914.0,3.8,9,10,19,2,12,SUCCESS,29754,OPEN,7KrbyQXvTBOxnBa0p9YuUA
dartjason,1634263507891,1,30446.0,30446.0,69302.0,3.5,1,6,7,2,13,SUCCESS,30446,OPEN,JSflDq5rQgKEuA5Ots4kDQ
ADA,1634263171493,1,31278.0,31278.0,166600.0,1.6,6,2,8,2,14,SUCCESS,31278,OPEN,KiqOhQPjTamuBXicXnKGEA
Matt,1634248931897,1,31608.0,31608.0,149340.0,3.5,13,1,14,2,15,SUCCESS,31608,OPEN,cVk-aYKdRUmuL0qmjyzmag
TonyJ,1634251182158,0,,,,0.0,0,0,0,2,16,SUCCESS,9223372036854775742,OPEN,af962be5a4ed4c57af807w
