Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
rosscomp1,1670450827003,3,12909,12267,38727,0.0,0,0,0,1,1,SUCCESS,38727,fb0d597a87f94697aa1c6w
BennyLBS,1670463254689,3,13686,12866,41058,0.0,0,0,0,2,2,SUCCESS,41058,wD3fjDFZTJaZd9AU7WRDlA
nickyl,1670463092880,3,14973,13132,44919,0.3333333333333333,0,1,1,1,3,SUCCESS,44919,O0GALYAoRfGA0kUV6ftgqQ
JPMC-Rogue-HYD,1670467243340,3,15175,13665,45527,0.3333333333333333,0,1,1,2,4,SUCCESS,45527,LKdw_hyKTSu7moFuxbmiZw
PolishThunder,1670465378023,3,16375,15874,49126,0.0,0,0,0,23,5,SUCCESS,49126,qi512oGVTry8V-KtP6j2_w
TonyJ,1670467481848,3,18381,17865,55145,1.0,0,3,3,1,6,SUCCESS,55145,af962be5a4ed4c57af807w
amkerr,1670458711314,3,18398,17868,55194,0.0,0,0,0,57,7,SUCCESS,55194,2R1bsOUiRceGpNP9wKliAw
Tomorrowland-Speedway,1670462735196,3,18462,16534,55387,0.3333333333333333,0,1,1,6,8,SUCCESS,55387,AuyCOezGRKOT-zoMo85Ekg
raj-1205,1670457462850,3,23662,23328,70987,0.0,0,0,0,2,9,SUCCESS,70987,558a49745f8843aea7db6w
AravindVCyber,1670468532307,3,25665,24396,76997,0.3333333333333333,0,1,1,1,10,SUCCESS,76997,4WpVgL2TRrW0orrL7I6wpA
CleanHacker#1729,1670465464415,3,26009,23735,78027,0.3333333333333333,0,1,1,8,11,SUCCESS,78027,2DKXcqsqSKCgFZSLE5b83A
nalbam-me,1670469030832,3,27264,24663,81792,1.6666666666666667,0,5,5,2,12,SUCCESS,81792,PnRru4vBRkeyT4xX6LOCtw
MobileGlyph#6651,1670466089318,3,29109,26202,87329,2.6666666666666665,0,8,8,1,13,SUCCESS,87329,rWu0pZ9kSBW7SCICeyBgNw
RacingPhoenix,1670468655946,3,29533,27798,88599,1.3333333333333333,0,3,4,1,14,SUCCESS,88599,czOx0b4wS2uL4vzU92TnCg
20181345,1670458949019,3,38951,36056,116853,4.0,0,12,12,1,15,SUCCESS,116853,l2IS8IOAQUKKfya56O0hUg
allthmbsamy,1670456526763,3,43113,39737,129339,6.0,0,18,18,7,16,SUCCESS,129339,yBF92DAoRYSy4L-UtDVU3g
10xPointer#4221,1670465928792,3,43912,41397,131738,4.333333333333333,0,13,13,3,17,SUCCESS,131738,3wyw2NKNRQWiatM61C-qCw
20180436,1670465871973,3,45177,44802,135531,8.0,0,24,24,2,18,SUCCESS,135531,0V4eRl8kR4iImWxYoXrJ-w
Everest-DNPds,1670468473267,3,47664,36068,142994,6.666666666666667,0,20,20,4,19,SUCCESS,142994,13eb4731e0c1457ca4d7dw
ImportantWorkaround#2203,1670458411353,3,49090,44734,147271,8.333333333333334,0,25,25,1,20,SUCCESS,147271,oKaw-e93Snq2aILID7KUng
InfiniteByte#2594,1670463247321,3,49598,42067,148796,6.0,0,18,18,1,21,SUCCESS,148796,6XFCi48mTVe0oLh8GVQuwA
gauravShah#7322,1670461056267,3,49668,43995,149005,9.666666666666666,0,29,29,3,22,SUCCESS,149005,9XJ8Z0YjTBeUtVaoKwv0cQ
404-not-found-Regin,1670460954371,3,51952,44789,155857,10.0,0,30,30,1,23,SUCCESS,155857,TjrUF2K3R9SDOORVexG0-Q
ComplexObject#9246,1670466311448,3,56729,56601,170188,0.0,0,0,0,1,24,SUCCESS,170188,zc5Ixhm9TNm-WTt7CxZXuA
RickyTW,1670466491533,3,58854,51160,176563,11.666666666666666,0,35,35,2,25,SUCCESS,176563,144febd7865941228bc43w
HashableEngineer,1670468270839,3,59263,26064,177790,12.666666666666666,0,38,38,1,26,SUCCESS,177790,ajSy_TQOSP2z1nquyTPzXw
CH-Shin#technorpo,1670463297999,3,61198,56140,183596,11.333333333333334,0,34,34,1,27,SUCCESS,183596,z_o7oTr8SwyPS6Qq-D4Uvw
Initial-D-GTR,1670450911087,3,63576,58469,190729,12.333333333333334,0,37,37,1,28,SUCCESS,190729,zpYjVIkVQFGCJ8gUV8w8_Q
nikhilkala,1670464818609,3,64820,61802,194460,13.666666666666666,0,41,41,1,29,SUCCESS,194460,UKO4WitGQRSkSrTqa8ZAIA
TabletDelta#5219,1670468445388,3,65219,56801,195658,13.333333333333334,0,40,40,1,30,SUCCESS,195658,gdSyZ1FUR0q9CYG0vVKxWA
20180707#4801,1670467388517,3,71423,67266,214270,15.0,0,45,45,1,31,SUCCESS,214270,k7z3Zm3GSQKYyUx2UYEc8Q
AndreiP-KiaSorento,1670454283918,3,71641,64596,214925,16.0,0,48,48,1,32,SUCCESS,214925,gI98iCqETmqBEhmCsbmS8A
NullHacker#6373,1670456897627,3,73687,71201,221062,8.666666666666666,0,26,26,1,33,SUCCESS,221062,GErXDaHUTEWNhLCwOjUmog
IterableBottleneck#4721,1670468154717,3,89865,87063,269595,21.666666666666668,0,65,65,1,34,SUCCESS,269595,WUf5h7bPR4yTzAEuE8OJag
