Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
JJ,1675091834097,3,11996,11792,35988,0.0,0,0,0,409,1,SUCCESS,35988,afdcX_4vRH6Ussd0mbg5LQ
rosscomp1,1671037938281,3,12731,12465,38193,0.0,0,0,0,7,2,SUCCESS,38193,fb0d597a87f94697aa1c6w
ZoD,1674935767584,3,12819,12686,38457,0.0,0,0,0,1380,3,SUCCESS,38457,TFtvCas4TRWchrBPMyGh0A
DaVinciDriver,1670796049471,3,12908,12475,38726,0.0,0,0,0,545,4,SUCCESS,38726,XtzXYz2pRByDnXz90XNGSw
Ernesto-PhilJ,1671445262443,3,13085,12931,39255,0.0,0,0,0,2590,5,SUCCESS,39255,8zBEAp0-S5yGbcZvytGZGQ
RayG-DBS,1670476475784,3,13151,12666,39455,0.0,0,0,0,2,6,SUCCESS,39455,YNrvM9f5RteeSrCl7oFC5w
nickyl,1674626924234,3,13220,12665,39660,0.0,0,0,0,4217,7,SUCCESS,39660,O0GALYAoRfGA0kUV6ftgqQ
Duckworth,1674335766433,3,13287,12870,39861,0.0,0,0,0,1052,8,SUCCESS,39861,VIu9BQ4-Th6gUqu60ztwUQ
TonyJ,1670859727817,3,13354,12798,40064,0.0,0,0,0,958,9,SUCCESS,40064,af962be5a4ed4c57af807w
BennyLBS,1673958138417,3,13377,13070,40132,0.0,0,0,0,215,10,SUCCESS,40132,wD3fjDFZTJaZd9AU7WRDlA
ferrite,1672243571217,3,13485,12863,40457,0.0,0,0,0,66,11,SUCCESS,40457,SRAgn9lMTCmIjaBREP7hxA
Rober-rNiubo,1673488206959,3,13641,13334,40923,0.0,0,0,0,280,12,SUCCESS,40923,KrRSYhzKTfONjRaDUc_ubQ
PolishThunder,1673847877436,3,13688,13073,41065,0.0,0,0,0,11384,13,SUCCESS,41065,qi512oGVTry8V-KtP6j2_w
JPMC-Speedy-Gonzales-LATAM,1675181844277,3,13840,13400,41522,0.0,0,0,0,978,14,SUCCESS,41522,McOa_W8cTW2EErfZhOoKxA
IcePandaBoom,1670486810352,3,14264,13803,42792,0.0,0,0,0,5,15,SUCCESS,42792,BTPWujqqTBOWGAFvEKyRaA
Velocity-5dl,1673813381916,3,14731,14468,44195,0.0,0,0,0,3816,16,SUCCESS,44195,DBVc9n_uQ0-r-Cqkz3YweA
Mr-Anderson,1672006752872,3,14997,14733,44992,0.0,0,0,0,200,17,SUCCESS,44992,PVsbhx4xRi6aO--P4-kcNA
DoomBuggy,1671254666029,3,15063,14275,45190,0.0,0,0,0,9,18,SUCCESS,45190,QakV_nzOTm2q_NhqUMwIJw
