Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
CGS-Ultimatum,1637824709327,3,10352,10077,31056,0.0,0,0,0,355,1,SUCCESS,31056,TV9WKnh6SqaCREjHP7EjCw
RobinCastro-DBS,1637503749746,3,10589,10452,31768,0.0,0,0,0,73,2,SUCCESS,31768,7KrbyQXvTBOxnBa0p9YuUA
Ensono-Ernesto,1637826542753,3,10888,10857,32664,0.0,0,0,0,206,3,SUCCESS,32664,8zBEAp0-S5yGbcZvytGZGQ
DoomBuggy,1637773102550,3,11211,10792,33633,0.0,0,0,0,8,4,SUCCESS,33633,QakV_nzOTm2q_NhqUMwIJw
DBro,1637447222132,3,11395,11276,34186,0.0,0,0,0,42,5,SUCCESS,34186,jEkEOpjZRhGUbyDZIfTo_A
Yuliya,1637712589043,3,11761,11501,35284,0.0,0,0,0,585,6,SUCCESS,35284,JWJgkv8bSKeMIGYZ9roR-A
racing-director,1637658692806,3,12683,12137,38050,0.0,0,0,0,56,7,SUCCESS,38050,xatwPe0GRi6-ntb20DPVpA
UnlimitedHappiness-2,1637730913658,3,12750,12257,38252,0.0,0,0,0,29,8,SUCCESS,38252,o-0H8EssSnOdpnutp931MA
ABaykov,1637509965469,3,12927,12456,38783,0.0,0,0,0,43,9,SUCCESS,38783,aa28j7SWTd-LxMzvFoj_bA
LTF-Group1,1637603620390,3,12947,12742,38843,0.0,0,0,0,21,10,SUCCESS,38843,XhZGo4L_RYqqDVvg5Cc3kA
JPMC-Rogue-Hyderabad,1637700802804,3,13144,12089,39433,0.3333333333333333,0,1,1,7,11,SUCCESS,39433,LKdw_hyKTSu7moFuxbmiZw
JPMC-MUMBAI-FormulaAI,1637009648843,3,13201,12798,39605,0.0,0,0,0,5,12,SUCCESS,39605,Gx2StgEoSza3Gxxo4Oghug
Doug-Racer,1637763615000,3,13253,12773,39759,0.0,0,0,0,751,13,SUCCESS,39759,1R021ZoDQrqxSUiHfBvyEw
Karl-NAB,1637198293311,3,13494,12412,40483,0.3333333333333333,0,1,1,1,14,SUCCESS,40483,4vOOxLIsSjeL2WFaO5o_fQ
AIDeepRacer,1637090813031,3,13562,12333,40688,0.3333333333333333,0,1,1,3,15,SUCCESS,40688,pIRbdCx6QYatgVXm2p5GbA
S-P-,1637369701958,3,13567,12276,40702,0.3333333333333333,0,1,1,3,16,SUCCESS,40702,MxT5p4ZvSTOcc6ANa8VZNg
Galileo,1637333061312,3,13616,13331,40849,0.0,0,0,0,120,17,SUCCESS,40849,Y79AzaaOR-u4LVKMxu1Mdw
Rossilon,1637681069501,3,14244,13737,42732,0.0,0,0,0,82,18,SUCCESS,42732,oX4dpYxLTFG2UU6NprA-7g
CGS-LargeLattice,1637233230375,3,14275,12928,42826,0.3333333333333333,0,1,1,6,19,SUCCESS,42826,o6NgljsnTOOelVAsofMR3g
TonyJ,1637532691756,3,14508,14334,43525,1.0,0,3,3,1,20,SUCCESS,43525,af962be5a4ed4c57af807w
Jochem,1637183343152,3,14729,14342,44189,0.0,0,0,0,6,21,SUCCESS,44189,RBPhZc5eTVmEF_gpSV7skg
Aurora-DNPds,1637023071615,3,14894,12603,44684,0.6666666666666666,0,2,2,3,22,SUCCESS,44684,26fba66bedca4aa3bca47w
satussy777,1637598812101,3,14905,14587,44715,1.0,0,3,3,80,23,SUCCESS,44715,IYaF6LtbRWmZE9xBm87JmQ
JPMC-DriftKing-Houston,1637007354003,3,14913,14795,44740,1.0,0,3,3,3,24,SUCCESS,44740,fngewpiZSZm11yX7YgwnMA
AJM-Model-1,1637667956743,3,14969,12859,44907,0.3333333333333333,0,1,1,1,25,SUCCESS,44907,gdsU9bkGRWW7LTEHP4rGgQ
nine9,1637582301054,3,15174,14795,45523,0.0,0,0,0,34,26,SUCCESS,45523,nh20eR6wSW2uOCJ_nRnUvg
ADA,1637072364778,3,15618,15273,46856,1.0,0,3,3,4,27,SUCCESS,46856,KiqOhQPjTamuBXicXnKGEA
Paradesi,1637550893395,3,16197,16007,48592,0.0,0,0,0,22,28,SUCCESS,48592,67697a7edfac47709d52dQ
5473461,1637311463454,3,16260,15727,48780,0.0,0,0,0,56,29,SUCCESS,48780,bZvqsUO2RPid7jYKLAx0Mw
Group7-2,1637559062530,3,16261,15915,48784,0.0,0,0,0,21,30,SUCCESS,48784,TQAS4TRGR1G7yudNWs0DVg
Ash-DNPds,1637216270293,3,16300,15210,48900,0.3333333333333333,0,1,1,108,31,SUCCESS,48900,9aced9109a634d11a3134w
JPMC-HYD-CircuitBreakers,1637166389385,3,16572,14931,49718,0.3333333333333333,0,1,1,5,32,SUCCESS,49718,vA_gK0vxTNWI-MTWEWLAxw
ZhengYi-NYCU-CGI,1637174597418,3,16640,16190,49922,1.0,0,3,3,1,33,SUCCESS,49922,qY4J9IzvQS6a1N-KZXwviA
hirosys,1637626219754,3,16842,16393,50526,0.0,0,0,0,875,34,SUCCESS,50526,DhYHXwMpSFuKMR0_Hv3Ndg
George-Ogden,1637434146819,3,16849,16536,50549,1.0,0,3,3,5,35,SUCCESS,50549,qc3M_AUPQYm7aArDQ-X3Kg
CGS-Huge-Hadr0n,1637535721489,3,17140,15997,51420,1.0,0,3,3,1,36,SUCCESS,51420,63LA0_QCQ1-fRLzXgWmAeQ
