Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,ZoD,1727655002645,3,16751,16397,50253,0.0,0,0,0,50,SUCCESS,16751,TFtvCas4TRWchrBPMyGh0A
2,rosscomp1,1727636165938,3,16887,16534,50662,0.0,0,0,0,50,SUCCESS,16887,fb0d597a87f94697aa1c6w
3,JJ,1727407243934,3,17044,16729,51133,0.0,0,0,0,22,SUCCESS,17044,afdcX_4vRH6Ussd0mbg5LQ
4,MarkRoss,1727679804056,3,17062,16605,51187,0.0,0,0,0,50,SUCCESS,17062,9OT4p4dXQ2K2J5pOUfeGfg
5,DBro,1727708496660,3,17154,16664,51463,0.0,0,0,0,40,SUCCESS,17154,jEkEOpjZRhGUbyDZIfTo_A
6,CodeMachine,1727487206765,3,17240,16866,51720,0.0,0,0,0,26,SUCCESS,17240,b_WzN_r8ToGPle_8bl2tMA
7,flatearth,1727526277118,3,17399,17064,52198,0.0,0,0,0,4,SUCCESS,17399,9e3a9607a4e04ba2b1a49w
8,Duckworth,1727697845489,3,17508,17259,52525,0.0,0,0,0,50,SUCCESS,17508,VIu9BQ4-Th6gUqu60ztwUQ
9,Ernesto-PhilJ,1726753079707,3,17532,17405,52596,0.0,0,0,0,50,SUCCESS,17532,8zBEAp0-S5yGbcZvytGZGQ
10,Nariox,1727723702363,3,17534,17209,52603,0.0,0,0,0,50,SUCCESS,17534,AUWR9HasSr2j2V1bbAptNw
11,AIDeepRacer,1726802545046,3,17601,17393,52803,0.0,0,0,0,50,SUCCESS,17601,pIRbdCx6QYatgVXm2p5GbA
12,Liao,1726036906517,3,17775,17268,53327,0.0,0,0,0,6,SUCCESS,17775,1mW7p6I1Q0-cB3Up-esBeQ
13,TonyJ,1727599026371,3,17862,17524,53586,0.0,0,0,0,50,SUCCESS,17862,af962be5a4ed4c57af807w
14,m45,1727717855440,3,17867,17531,53601,0.0,0,0,0,50,SUCCESS,17867,EUSWllrrTRep0vB4VQ4RSg
15,nickyl,1727671914356,3,17929,17601,53788,0.0,0,0,0,50,SUCCESS,17929,O0GALYAoRfGA0kUV6ftgqQ
16,BennyLBS,1727691160939,3,17931,17604,53793,0.0,0,0,0,50,SUCCESS,17931,wD3fjDFZTJaZd9AU7WRDlA
17,BSi,1727683269081,3,18041,17604,54124,0.0,0,0,0,50,SUCCESS,18041,2eb231b0a43f4940bfed3w
