Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
JPMC-Rogue-Hyderabad,1637631860480,1,24560,24560,77297,0.0,0,0,0,2,1,SUCCESS,24560,LKdw_hyKTSu7moFuxbmiZw
JPMC-Ace-Hyderabad,1637628980379,1,25043,25043,77895,0.0,0,0,0,1,2,SUCCESS,25043,6fdcVCAkQtCCsyHEO0LNiA
rosscomp1,1637631772975,1,25859,25859,82753,0.6666666666666666,0,2,2,2,3,SUCCESS,25859,fb0d597a87f94697aa1c6w
Karl-NAB,1637622245270,1,26452,26452,90752,1.0,0,3,3,2,4,SUCCESS,26452,4vOOxLIsSjeL2WFaO5o_fQ
CGS-Huge-Hadr0n,1637627961414,1,27362,27362,91704,1.0,0,3,3,1,5,SUCCESS,27362,63LA0_QCQ1-fRLzXgWmAeQ
Ernesto,1637618862095,1,28273,28273,97916,1.6666666666666667,0,5,5,2,6,SUCCESS,28273,8zBEAp0-S5yGbcZvytGZGQ
JPMC-DriftKing-Houston,1637611803675,1,28576,28576,66698,2.0,2,2,4,2,7,SUCCESS,28576,fngewpiZSZm11yX7YgwnMA
flatearth,1637628712902,1,28580,28580,61577,0.5,0,1,1,2,8,SUCCESS,28580,9e3a9607a4e04ba2b1a49w
CGS-LargeLattice,1637631824236,1,29412,29412,92433,1.6666666666666667,1,4,5,2,9,SUCCESS,29412,o6NgljsnTOOelVAsofMR3g
JJ,1637631852791,1,29745,29745,96885,1.3333333333333333,0,4,4,2,10,SUCCESS,29745,afdcX_4vRH6Ussd0mbg5LQ
Yi-LI-NYCU-CGI,1637632032818,1,30945,30945,95399,1.6666666666666667,0,5,5,2,11,SUCCESS,30945,jrJHq8pZQAyj4gGqMw8-DQ
DBro,1637628384354,1,32913,32913,70028,2.0,0,4,4,2,12,SUCCESS,32913,jEkEOpjZRhGUbyDZIfTo_A
Jochem,1637616971038,1,33544,33544,80229,2.5,1,4,5,2,13,SUCCESS,33544,RBPhZc5eTVmEF_gpSV7skg
PolishThunder,1637627376317,1,33783,33783,108760,3.3333333333333335,0,10,10,2,14,SUCCESS,33783,qi512oGVTry8V-KtP6j2_w
Joffe,1637627786217,1,34982,34982,73400,3.0,0,6,6,2,15,SUCCESS,34982,ce17e3bfe82649448e2f3w
Yoway-NYCU-CGI,1637632085398,1,37116,37116,87194,6.0,0,12,12,2,16,SUCCESS,37116,1fBE9Y-DR4aOhdY6ydu-rA
