Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
JPMC-Rogue-Hyderabad,1637631860480,1,24560,24560,77297,0.0,0,0,0,5,1,SUCCESS,24560,LKdw_hyKTSu7moFuxbmiZw
JPMC-Ace-Hyderabad,1637638290019,1,24629,24629,76476,0.0,0,0,0,4,2,SUCCESS,24629,6fdcVCAkQtCCsyHEO0LNiA
CGS-LargeLattice,1637637456968,1,25670,25670,82394,0.3333333333333333,0,1,1,5,3,SUCCESS,25670,o6NgljsnTOOelVAsofMR3g
rosscomp1,1637631772975,1,25859,25859,82753,0.6666666666666666,0,2,2,4,4,SUCCESS,25859,fb0d597a87f94697aa1c6w
CGS-Huge-Hadr0n,1637634945326,1,26180,26180,96964,2.0,0,6,6,4,5,SUCCESS,26180,63LA0_QCQ1-fRLzXgWmAeQ
flatearth,1637635401028,1,26242,26242,95080,1.6666666666666667,3,2,5,5,6,SUCCESS,26242,9e3a9607a4e04ba2b1a49w
Karl-NAB,1637622245270,1,26452,26452,90752,1.0,0,3,3,3,7,SUCCESS,26452,4vOOxLIsSjeL2WFaO5o_fQ
JPMC-DriftKing-Houston,1637634895869,1,27057,27057,89230,0.6666666666666666,1,1,2,4,8,SUCCESS,27057,fngewpiZSZm11yX7YgwnMA
Ensono-Ernesto,1637618862095,1,28273,28273,97916,1.6666666666666667,0,5,5,3,9,SUCCESS,28273,8zBEAp0-S5yGbcZvytGZGQ
JJ,1637636660911,1,29206,29206,102206,2.0,1,5,6,5,10,SUCCESS,29206,afdcX_4vRH6Ussd0mbg5LQ
Yi-LI-NYCU-CGI,1637632032818,1,30945,30945,95399,1.6666666666666667,0,5,5,3,11,SUCCESS,30945,jrJHq8pZQAyj4gGqMw8-DQ
DBro,1637628384354,1,32913,32913,70028,2.0,0,4,4,2,12,SUCCESS,32913,jEkEOpjZRhGUbyDZIfTo_A
Jochem,1637616971038,1,33544,33544,80229,2.5,1,4,5,2,13,SUCCESS,33544,RBPhZc5eTVmEF_gpSV7skg
PolishThunder,1637627376317,1,33783,33783,108760,3.3333333333333335,0,10,10,3,14,SUCCESS,33783,qi512oGVTry8V-KtP6j2_w
Joffe,1637627786217,1,34982,34982,73400,3.0,0,6,6,2,15,SUCCESS,34982,ce17e3bfe82649448e2f3w
Yoway-NYCU-CGI,1637632085398,1,37116,37116,87194,6.0,0,12,12,2,16,SUCCESS,37116,1fBE9Y-DR4aOhdY6ydu-rA
