Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
kimmizian,1606958999523,1,24933.0,24933.0,161941.0,0.3333333333333333,2,0,2,0,1,SUCCESS,24933.0,t6NwFsqgS4mYnFeR3KVxsg
Robin-Castro,1606956480311,1,32281.0,32281.0,162696.0,4.0,6,10,16,0,2,SUCCESS,32281.0,qaH8R2-8TlG79mslpdPfGg
Tapfer,1606828566250,1,36954.0,36954.0,165404.0,2.0,2,6,8,0,3,SUCCESS,36954.0,EMX6hc77RhyACpjFYBiWMw
ShinyThings-DBS,1606923751896,1,41883.0,41883.0,139635.0,8.0,13,3,16,0,4,SUCCESS,41883.0,_DmrtmMCQcuwssUB7luEFA
Smiles93,1606959465517,1,45051.0,45051.0,155089.0,3.6666666666666665,7,4,11,0,5,SUCCESS,45051.0,ZQh09nrpQCmztIynuKW9bw
EngChi-317552460329,1606958355896,1,50202.0,50202.0,177808.0,2.6666666666666665,6,2,8,0,6,SUCCESS,50202.0,_6D1Z8a5ShmiBUanu2pXrg
ep-dr-racer1,1606957227202,1,62020.0,62020.0,131458.0,13.5,3,24,27,0,7,SUCCESS,62020.0,vEZxFEnhQHeI5tKR4Tz3rQ
Cindy-DBS,1606959462256,1,148082.0,148082.0,148082.0,23.0,23,0,23,0,8,SUCCESS,148082.0,dkX_mR9zSYy9c2CprpaycQ
WtL,1606915509829,0,,,,0.0,0,0,0,0,9,SUCCESS,9.223372036854776e+18,I_Q-7JWAQPu35heiXkbwIg
MiLKB,1606952487367,0,,,,0.0,0,0,0,0,10,SUCCESS,,8KL8u0H3RIWxgP14x_RC6w
